round_shots,1000,600,300,400,300,200,200,300,200,200,200,200,200,200,200,200,200
round_queries,1000,1800,2100,6000,9900,16200,33800,103500,173400,375400,819000,1847400,4136200,9133400,20662200,45653000,92873000
round_k,0,1,3,7,16,40,84,172,433,938,2047,4618,10340,22833,51655,114132,232182
round_shots,1300,800,500,300,300,200,200,200,200,300,300,300,300,300,300,200,100
round_queries,1300,2400,3500,5700,12300,19400,40200,85000,175800,527700,1381500,3116700,6318900,14762100,38330100,66951800,74453100
round_k,0,1,3,9,20,48,100,212,439,879,2302,5194,10531,24603,63883,167379,372265
round_shots,1100,900,300,400,300,200,200,200,200,200,200,200,200,200,200,200,200
round_queries,1100,2700,2100,6000,13500,20200,41800,86600,191800,415000,932200,2038200,4607800,10464200,22090600,50319800,111086600
round_k,0,1,3,7,22,50,104,216,479,1037,2330,5095,11519,26160,55226,125799,277716
round_shots,1100,700,300,400,300,200,200,300,300,300,200,200,200,200,300,300,100
round_queries,1100,2100,2100,6000,13500,18600,38600,125700,291900,627900,962200,2028200,4467800,10217000,34133100,89968500,77138100
round_k,0,1,3,7,22,46,96,209,486,1046,2405,5070,11169,25542,56888,149947,385690
round_shots,1400,800,300,300,300,200,200,300,200,200,200,200,200,200,200,200,100
round_queries,1400,2400,2100,4500,11100,17000,36200,114300,201000,416200,921800,2059400,4695400,10677000,24109800,53808600,59592900
round_k,0,1,3,7,18,42,90,190,502,1040,2304,5148,11738,26692,60274,134521,297964
round_shots,1300,1100,300,400,200,300,200,200,200,200,200,200,300,400,300,200
round_queries,1300,3300,2100,6000,8200,24900,39000,82600,181000,401000,883800,1961400,6552300,22318800,45627900,77246200
round_k,0,1,3,7,20,41,97,206,452,1002,2209,4903,10920,27898,76046,193115
round_shots,1100,600,300,300,300,300,300,300,200,200,300,300,300,300,400,200,100
round_queries,1100,1800,2100,4500,9900,23100,57300,140700,240600,523000,1709700,3956700,7996500,17585700,47217200,61436600,68830700
round_k,0,1,3,7,16,38,95,234,601,1307,2849,6594,13327,29309,59021,153591,344153
round_shots,1300,800,300,300,300,200,300,200,200,200,200,200,200,200,200,200,100
round_queries,1300,2400,2100,4500,11100,19400,60300,101400,216200,469000,1049800,2381400,5406200,11613000,25537400,57791000,61799500
round_k,0,1,3,7,18,48,100,253,540,1172,2624,5953,13515,29032,63843,144477,308997
round_shots,1300,1100,300,300,300,300,200,300,200,300,200,200,200,200,200,200,100
round_queries,1300,3300,2100,4500,11100,26700,44600,134700,217000,690900,1067800,2293000,5101000,11676200,25731000,56347400,64374900
round_k,0,1,3,7,18,44,111,224,542,1151,2669,5732,12752,29190,64327,140868,321874
round_shots,1200,700,300,300,300,300,200,200,200,200,300,300,200,300,300,200,100
round_queries,1200,2100,2100,4500,11100,27900,43000,92600,203000,449800,1394700,3355500,5190200,16059900,38651100,60292200,61260500
round_k,0,1,3,7,18,46,107,231,507,1124,2324,5592,12975,26766,64418,150730,306302
round_shots,1000,800,400,300,300,200,200,200,200,200,200,300,300,300,300,200,100
round_queries,1000,2400,2800,5700,13500,21000,45000,96600,209000,462200,1016600,3261300,6668100,13730100,30941100,52838600,60175900
round_k,0,1,3,9,22,52,112,241,522,1155,2541,5435,11113,22883,51568,132096,300879
round_shots,1300,1000,300,300,300,200,200,200,200,200,200,200,200,200,300,300,100
round_queries,1300,3000,2100,4500,12300,19400,41800,91000,194600,420600,959000,2150600,4789000,10496600,33632100,82493100,61092500
round_k,0,1,3,7,20,48,104,227,486,1051,2397,5376,11972,26241,56053,137488,305462
round_shots,1400,700,400,300,300,200,200,200,200,200,200,200,200,200,200,200,200
round_queries,1400,2100,2800,4500,11100,17000,37000,79800,173000,387400,855400,1913400,4036200,8711800,19922600,45558200,103622600
round_k,0,1,3,7,18,42,92,199,432,968,2138,4783,10090,21779,49806,113895,259056
round_shots,1500,700,300,300,300,200,200,300,200,300,200,200,200,200,200,200,200
round_queries,1500,2100,2100,4500,9900,17000,37000,120900,210200,653700,1099000,2227400,4469800,9883800,22078600,49451400,112452600
round_k,0,1,3,7,16,42,92,201,525,1089,2747,5568,11174,24709,55196,123628,281131
round_shots,1200,500,300,600,400,200,300,200,200,200,200,200,200,200,300,200,200
round_queries,1200,1500,2100,9000,15600,16600,50700,89400,186600,408600,876200,1929000,4378200,9868200,32076300,51517800,111683000
round_k,0,1,3,7,19,41,84,223,466,1021,2190,4822,10945,24670,53460,128794,279207
round_shots,1500,800,400,400,300,300,200,200,300,300,300,200,200,200,200,200
round_queries,1500,2400,2800,6000,9900,21900,36600,75400,255900,667500,1767900,3097800,6905000,15413000,34678600,78784600
round_k,0,1,3,7,16,36,91,188,426,1112,2946,7744,17262,38532,86696,196961
round_shots,1000,700,300,300,300,200,200,200,200,200,200,200,200,200,200,200,200
round_queries,1000,2100,2100,4500,11100,17800,37000,76200,161400,359000,776600,1758200,3961400,8913400,19887000,43891000,99895800
round_k,0,1,3,7,18,44,92,190,403,897,1941,4395,9903,22283,49717,109727,249739
round_shots,1400,800,300,300,300,200,300,300,200,200,200,200,300,300,200,300
round_queries,1400,2400,2100,4500,12300,19400,59100,156300,261800,534200,1159800,2551800,8037900,17997900,30177000,102543900
round_k,0,1,3,7,20,48,98,260,654,1335,2899,6379,13396,29996,75442,170906
round_shots,1500,700,300,300,300,300,200,300,200,200,200,200,200,200,200,300,200
round_queries,1500,2100,2100,4500,9900,21900,36600,115500,157400,344200,758600,1731000,3699400,7931000,16441400,53326500,94986200
round_k,0,1,3,7,16,36,91,192,393,860,1896,4327,9248,19827,41103,88877,237465
round_shots,1100,800,300,300,300,200,200,200,200,300,200,200,200,200,200,200,200
round_queries,1100,2400,2100,4500,9900,16200,35400,76600,164200,506100,864600,1872200,4153800,9437400,21058600,47992200,108473800
round_k,0,1,3,7,16,40,88,191,410,843,2161,4680,10384,23593,52646,119980,271184
round_shots,1500,800,400,300,300,200,200,200,200,200,200,200,300,200,200,200,100
round_queries,1500,2400,2800,5700,12300,19400,39400,83400,186200,383400,840600,1909800,6044100,10851000,24609400,55546600,63088100
round_k,0,1,3,9,20,48,98,208,465,958,2101,4774,10073,27127,61523,138866,315440
round_shots,1200,800,300,300,300,300,200,200,200,200,200,200,300,300,200,300
round_queries,1200,2400,2100,4500,11100,27900,47400,98600,215000,461000,942200,2125400,6596100,16482900,28849000,96693900
round_k,0,1,3,7,18,46,118,246,537,1152,2355,5313,10993,27471,72122,161156
round_shots,1200,700,400,400,200,300,200,200,200,200,300,300,200,200,200,200,100
round_queries,1200,2100,2800,6000,6600,21900,40200,83400,181400,398600,1334100,3261300,4950600,10101400,23051400,52671800,60194100
round_k,0,1,3,7,16,36,100,208,453,996,2223,5435,12376,25253,57628,131679,300970
round_shots,1300,1000,300,300,200,300,200,200,200,200,200,200,200,200,200,200,200
round_queries,1300,3000,2100,4500,7400,24300,37000,80600,165800,341800,759800,1670600,3627400,8212200,18353800,41757000,95262600
round_k,0,1,3,7,18,40,92,201,414,854,1899,4176,9068,20530,45884,104392,238156
round_shots,1500,700,300,300,300,300,400,300,300,200,300,300,300,300,300,300,100
round_queries,1500,2100,2100,4500,11100,26700,79600,144300,345900,588600,1854300,4792500,9757500,19775100,46391700,110095500,73956900
round_k,0,1,3,7,18,44,99,240,576,1471,3090,7987,16262,32958,77319,183492,369784
round_shots,1500,900,300,400,300,200,200,200,300,300,200,200,200,200,300,300
round_queries,1500,2700,2100,6000,13500,20200,42600,89000,285900,719100,1117800,2474200,5412600,12013400,37386900,93038700
round_k,0,1,3,7,22,50,106,222,476,1198,2794,6185,13531,30033,62311,155064
round_shots,1000,500,300,400,300,200,200,200,200,200,200,200,200,200,200,200,200,100
round_queries,1000,1500,2100,6000,9900,15400,32200,66600,138200,289000,652600,1425800,2954200,6478200,13858600,31247800,71323000,75757100
round_k,0,1,3,7,16,38,80,166,345,722,1631,3564,7385,16195,34646,78119,178307,378785
round_shots,1500,900,400,300,300,200,300,300,300,400,400,200,200,200,200,100
round_queries,1500,2700,2800,5700,13500,21800,67500,180300,461700,1490000,3880400,5301400,11950600,27250200,62119000,70072500
round_k,0,1,3,9,22,54,112,300,769,1862,4850,13253,29876,68125,155297,350362
round_shots,1000,700,300,300,300,300,300,200,300,400,200,200,200,200,200,200
round_queries,1000,2100,2100,4500,9900,25500,65100,117800,383100,1290000,1824200,3699400,8263000,18608600,42102600,96201400
round_k,0,1,3,7,16,42,108,294,638,1612,4560,9248,20657,46521,105256,240503
round_shots,1500,800,400,400,300,200,200,200,300,300,200,200,200,200,300,200
round_queries,1500,2400,2800,7600,17100,26600,55400,121400,374700,925500,1582600,3485400,7877800,17929400,57443100,92330200
round_k,0,1,3,9,28,66,138,303,624,1542,3956,8713,19694,44823,95738,230825
round_shots,1400,900,300,300,300,200,200,200,200,200,200,400,200,200,200,200,100
round_queries,1400,2700,2100,4500,12300,18600,38600,86200,179800,383400,820200,3375600,4829000,10978200,25099000,54098200,56422900
round_k,0,1,3,7,20,46,96,215,449,958,2050,4219,12072,27445,62747,135245,282114
round_shots,1700,900,400,300,300,300,200,200,200,200,200,200,200,200,200,200
round_queries,1700,2700,2800,5700,14700,41700,73000,156600,347800,764200,1703800,3755400,8523400,19337800,43754600,99195400
round_k,0,1,3,9,24,69,182,391,869,1910,4259,9388,21308,48344,109386,247988
round_shots,1100,700,400,300,300,300,400,400,300,200,200,200,200,200,200,200
round_queries,1100,2100,2800,4500,11100,29100,86000,227600,401100,676200,1447400,3210600,7211000,16427400,36426600,81007000
round_k,0,1,3,7,18,48,107,284,668,1690,3618,8026,18027,41068,91066,202517
round_shots,1100,900,400,300,300,300,300,200,200,200,200,200,300,300,200,200
round_queries,1100,2700,2800,5700,12300,29100,73500,109400,243400,541800,1225000,2778200,9205500,23766900,39649000,79521800
round_k,0,1,3,9,20,48,122,273,608,1354,3062,6945,15342,39611,99122,198804
round_shots,1400,800,300,300,200,300,300,300,300,300,400,200,300,200,200,200
round_queries,1400,2400,2100,4500,8200,26700,62700,130500,326100,737700,2247600,3168600,9761700,17205800,37806600,85035000
round_k,0,1,3,7,20,44,104,217,543,1229,2809,7921,16269,43014,94516,212587
round_shots,1600,1100,500,300,600,300,300,400,300,400,300,300,200,200,200,200
round_queries,1600,3300,3500,4500,18600,24900,60300,204400,396900,1168400,2349900,6004500,10086600,20878600,46991000,107262200
round_k,0,1,3,7,15,41,100,255,661,1460,3916,10007,25216,52196,117477,268155
round_shots,1200,700,400,300,300,300,200,200,200,200,200,300,200,300,200,200
round_queries,1200,2100,2800,5700,14700,35100,54200,119000,259000,578200,1292600,3897300,6902200,22468500,36594200,75149800
round_k,0,1,3,9,24,58,135,297,647,1445,3231,6495,17255,37447,91485,187874
round_shots,1400,700,300,400,300,200,200,300,400,300,200,200,200,200,300,200,100
round_queries,1400,2100,2100,6000,13500,21000,45000,149700,431600,812100,1291000,2801800,5800600,11762600,37319700,65867800,74767100
round_k,0,1,3,7,22,52,112,249,539,1353,3227,7004,14501,29406,62199,164669,373835
round_shots,1400,800,400,300,300,200,200,200,200,200,200,200,300,200,200,200,200
round_queries,1400,2400,2800,4500,9900,16200,33800,69800,147000,297800,646200,1445400,4725300,8373800,18986200,43297400,99015800
round_k,0,1,3,7,16,40,84,174,367,744,1615,3613,7875,20934,47465,108243,247539
round_shots,1400,600,300,300,300,200,400,300,200,300,300,200,300,300,300,200
round_queries,1400,1800,2100,4500,11100,17000,69200,120900,204600,668100,1569300,2841400,9162300,24276900,58573500,95805400
round_k,0,1,3,7,18,42,86,201,511,1113,2615,7103,15270,40461,97622,239513
round_shots,1500,700,300,300,300,200,300,300,200,200,200,200,200,200,200,200,100
round_queries,1500,2100,2100,4500,11100,18600,60300,134700,245800,535400,1140600,2507800,5279800,11934200,25094600,55675400,61736900
round_k,0,1,3,7,18,46,100,224,614,1338,2851,6269,13199,29835,62736,139188,308684
round_shots,1200,1000,400,300,300,400,300,200,200,200,200,200,200,200,200,200
round_queries,1200,3000,2800,5700,13500,46800,95700,169800,351000,786200,1773800,4035400,8917000,20321800,46355800,105771400
round_k,0,1,3,9,22,58,159,424,877,1965,4434,10088,22292,50804,115889,264428
round_shots,1200,800,300,500,300,300,200,200,200,200,200,200,200,200,200,200,200
round_queries,1200,2400,2100,7500,9900,26700,39000,78200,162200,364200,800600,1745800,3590200,7762200,17715400,40201400,90665000
round_k,0,1,3,7,16,44,97,195,405,910,2001,4364,8975,19405,44288,100503,226662
round_shots,1600,700,400,400,300,300,200,300,300,200,200,200,200,300,300,300,100
round_queries,1600,2100,2800,6000,13500,27300,43000,133500,328500,537400,1192600,2675000,6015800,18949500,38856300,88922100,71583700
round_k,0,1,3,7,22,45,107,222,547,1343,2981,6687,15039,31582,64760,148203,357918
round_shots,1800,700,300,300,300,200,200,200,200,200,200,200,300,300,300,300,200
round_queries,1800,2100,2100,4500,12300,19400,41000,91000,187800,391400,883400,1983000,6390900,12933300,26396100,58278900,100648600
round_k,0,1,3,7,20,48,102,227,469,978,2208,4957,10651,21555,43993,97131,251621
round_shots,1400,700,300,300,300,300,200,300,300,300,300,200,200,200,200,200
round_queries,1400,2100,2100,4500,9900,24300,35800,111900,294900,755700,1924500,3287800,6957800,15599400,35619000,79417400
round_k,0,1,3,7,16,40,89,186,491,1259,3207,8219,17394,38998,89047,198543
round_shots,1400,700,400,300,300,200,200,200,200,200,200,200,200,200,300,200,200
round_queries,1400,2100,2800,5700,13500,21000,42600,89800,186200,405400,893800,2014200,4443400,10130600,31865100,51706200,103688600
round_k,0,1,3,9,22,52,106,224,465,1013,2234,5035,11108,25326,53108,129265,259221
round_shots,1500,700,400,400,600,300,300,200,200,200,200,200,200,200,200,200,100
round_queries,1500,2100,2800,6000,18600,23700,65700,114200,236600,523800,1167000,2604600,5889400,13341800,27908600,60011400,68557100
round_k,0,1,3,7,15,39,109,285,591,1309,2917,6511,14723,33354,69771,150028,342785
round_shots,1500,800,500,400,300,200,200,200,200,200,200,200,200,300,200,200,100
round_queries,1500,2400,3500,6000,13500,21800,47400,103800,208200,428600,966200,2167000,4804600,14526900,25334600,56277000,61792900
round_k,0,1,3,7,22,54,118,259,520,1071,2415,5417,12011,24211,63336,140692,308964
round_shots,1500,600,400,400,300,200,200,200,200,200,200,200,200,200,200,200,100
round_queries,1500,1800,2800,7600,12300,21400,45800,99000,214200,451400,1001800,2271800,5095400,11612200,26577000,59775800,67843300
round_k,0,1,3,9,20,53,114,247,535,1128,2504,5679,12738,29030,66442,149439,339216
round_shots,1400,700,300,300,300,300,300,300,300,300,300,300,200,200,200,300
round_queries,1400,2100,2100,4500,11100,26700,59700,141900,347700,833100,1721100,4019700,6975800,15389400,34935400,112562700
round_k,0,1,3,7,18,44,99,236,579,1388,2868,6699,17439,38473,87338,187604
round_shots,1200,700,300,300,300,300,300,200,200,200,300,300,200,200,200,300,100
round_queries,1200,2100,2100,4500,9900,24300,63900,103000,223000,483400,1450500,2918100,4744600,10807800,23372600,80061300,70943500
round_k,0,1,3,7,16,40,106,257,557,1208,2417,4863,11861,27019,58431,133435,354717
round_shots,1200,600,300,400,300,200,200,200,300,200,200,300,200,300,400,300,100
round_queries,1200,1800,2100,6000,13500,21800,45800,93000,308100,535400,1157000,3507300,5531000,17328900,52513200,99246300,67757500
round_k,0,1,3,7,22,54,114,232,513,1338,2892,5845,13827,28881,65641,165410,338787
round_shots,1200,700,300,300,300,200,300,200,200,200,200,200,200,200,200,200,300
