round_queries,400,3300,5000,19800,38300,248600,375500,6141100
round_k,1,12,49,191,621,1877,7301,30705
round_shots,200,900,200,200,200,100,100,100
round_queries,200,2700,4600,15400,47400,98700,302100,3830300
round_k,1,11,38,118,493,1510,4849,19151
round_shots,400,1100,200,200,100,100,100
round_queries,400,3300,5000,20200,42500,147500,1895700
round_k,1,12,50,212,737,2640,9478
round_shots,300,1100,200,100,100,200,200
round_queries,300,3300,5000,10300,31100,187800,3068200
round_k,1,12,51,155,469,2104,7670
round_shots,200,1100,200,200,200,100,100,100
round_queries,200,3300,1800,5400,20600,44700,149900,1899100
round_k,1,4,13,51,223,749,2543,9495
round_shots,200,1000,300,200,100,100,100,300,100
round_queries,200,3000,2700,5400,10300,30900,95700,980100,5585500
round_k,1,4,13,51,154,478,1633,6492,27927
round_shots,200,1000,200,200,100,100,100,100
round_queries,200,3000,4600,16200,31100,103300,379500,6217300
round_k,1,11,40,155,516,1897,6989,31086
round_shots,200,1100,100,100,100,100,100,100
round_queries,200,3300,2500,7500,22700,71300,249100,3997900
round_k,1,12,37,113,356,1245,4718,19989
round_shots,200,800,300,200,100,100,100,100
round_queries,200,2400,6300,15400,30500,92500,291700,4960500
round_k,1,10,38,152,462,1458,5717,24802
round_shots,300,900,200,200,100,100,100,100
round_queries,300,2700,4600,15400,32900,108100,358100,6065900
round_k,1,11,38,164,540,1790,7076,30329
round_shots,300,700,400,200,100,200,100,100
round_queries,300,2100,7600,15400,26500,160600,347300,5929700
round_k,1,9,38,132,401,1736,6850,29648
round_shots,200,1000,200,200,100,100,100,100
round_queries,200,3000,5000,21000,40500,139100,471500,6134100
round_k,1,12,52,202,695,2357,7406,30670
round_shots,300,1000,200,200,100,200,100,100
round_queries,300,3000,5000,19400,41700,280600,613300,7211300
round_k,1,12,48,208,701,3066,10262,36056
round_shots,400,900,200,200,100,200,100,100
round_queries,400,2700,4200,17000,31100,205400,431300,6711100
round_k,1,10,42,155,513,2156,8098,33555
round_shots,300,1100,200,200,200,100,100
round_queries,300,3300,5000,16200,69400,140700,2081700
round_k,1,12,40,173,703,2541,10408
round_shots,300,900,200,200,200,200,200,100
round_queries,300,2700,4600,15400,60600,246200,975000,7028500
round_k,1,11,38,151,615,2437,7376,35142
round_shots,300,1000,200,200,100,100,100,100
round_queries,300,3000,5000,16200,30500,96900,335900,5728300
round_k,1,12,40,152,484,1679,6505,28641
round_shots,300,1000,200,200,200,100,100,100
round_queries,300,3000,1800,5400,20600,45100,143700,2044300
round_k,1,4,13,51,225,718,2657,10221
round_shots,300,1200,200,200,200,200,100
