round_shots,1100,1300,300,300,200,300,200,300,200,200,200,200,200,300,300,200
round_queries,1100,3900,3300,7500,12200,36900,59400,180900,298600,653800,1453000,3212200,7167000,23699700,63537300,105342600
round_k,0,1,5,12,30,61,148,301,746,1634,3632,8030,17917,39499,105895,263356
round_shots,1600,1200,400,500,300,300,200,200,200,200,200,300,200,200,200,200
round_queries,1600,3600,4400,13500,21900,45300,72200,149800,324200,711000,1589000,4940100,7691000,15951800,35065000,74464600
round_k,0,1,5,13,36,75,180,374,810,1777,3972,8233,19227,39879,87662,186161
round_shots,1500,1400,300,200,300,300,200,200,200,200,200,200,200,200,200,200
round_queries,1500,4200,3300,5000,15300,38100,66200,142600,318200,667400,1461800,3120200,7088600,15847800,34969000,79650200
round_k,0,1,5,12,25,63,165,356,795,1668,3654,7800,17721,39619,87422,199125
round_shots,1100,1200,200,300,300,300,300,200,200,400,300,300,200,200,200
round_queries,1100,3600,2200,6900,17700,46500,128100,216600,463800,2031600,3805500,8832300,15093000,32635800,74186600
round_k,0,1,5,11,29,77,213,541,1159,2539,6342,14720,37732,81589,185466
round_shots,1600,1500,300,300,300,200,200,200,300,200,200,300,300,200,200,200
round_queries,1600,4500,3300,7500,18300,31800,66200,142200,431100,726200,1529000,4593300,11940900,20933800,46397800,105511400
round_k,0,1,5,12,30,79,165,355,718,1815,3822,7655,19901,52334,115994,263778
round_shots,1500,1300,400,200,300,200,200,200,300,300,300,300,200,200,300,100
round_queries,1500,3900,4400,5000,15300,27800,58200,126600,398100,1040100,2781300,6239700,9950600,20929000,67055700,50394500
round_k,0,1,5,12,25,69,145,316,663,1733,4635,10399,24876,52322,111759,251972
round_shots,1400,1300,400,300,300,200,300,300,300,300,300,400,200,200,200
round_queries,1400,3900,4400,7500,18300,29800,96900,252300,606300,1363500,3308100,11679600,16613800,37154600,84435800
round_k,0,1,5,12,30,74,161,420,1010,2272,5513,14599,41534,92886,211089
round_shots,1600,1400,300,300,300,300,300,200,400,300,300,200,200,300,200,200
round_queries,1600,4200,3300,7500,17700,42900,107700,171800,724400,1174500,2390100,3588600,7890200,25419900,43172600,86802600
round_k,0,1,5,12,29,71,179,429,905,1957,3983,8971,19725,42366,107931,217006
round_shots,1900,1300,300,300,300,300,200,200,200,400,300,300,200,200,300,100
round_queries,1900,3900,3300,6900,14100,38700,67400,146600,328200,1461200,3003300,6116700,9620600,20700200,69447300,61004300
round_k,0,1,5,11,23,64,168,366,820,1826,5005,10194,24051,51750,115745,305021
round_shots,1700,1600,300,200,300,300,200,200,300,300,300,300,300,400,300,100
round_queries,1700,4800,3300,4600,14100,35100,63000,137800,451500,1086300,2500500,5188500,10665900,35613200,71268900,49602100
round_k,0,1,5,11,23,58,157,344,752,1810,4167,8647,17776,44516,118781,248010
round_shots,1300,1200,300,300,200,200,200,300,300,200,200,200,200,200,200,300
round_queries,1300,3600,3300,7500,12600,27800,57800,188100,449100,743800,1616200,3637000,7751000,17535400,40059800,130909500
round_k,0,1,5,12,31,69,144,313,748,1859,4040,9092,19377,43838,100149,218182
round_shots,1600,1300,300,300,300,300,300,200,200,200,300,300,200,300,200,100
round_queries,1600,3900,3300,7500,18900,52500,134100,234200,513000,1155400,3720900,8927100,14921800,44835300,77260200,77487700
round_k,0,1,5,12,31,87,223,585,1282,2888,6201,14878,37304,74725,193150,387438
round_shots,1300,1200,400,300,400,300,300,300,300,200,200,200,200,200,300
round_queries,1300,3600,4400,7500,25200,51300,118500,306300,801900,1359000,2878600,6271400,14106600,31943400,102497700
round_k,0,1,5,12,31,85,197,510,1336,3397,7196,15678,35266,79858,170829
round_shots,1500,1300,500,300,200,300,300,300,300,200,200,200,400,300,300
round_queries,1500,3900,5500,8100,12600,41700,103500,271500,716100,1232200,2740200,6003000,26910800,55721700,116336100
round_k,0,1,5,13,31,69,172,452,1193,3080,6850,15007,33638,92869,193893
round_shots,1000,1200,300,300,200,300,200,200,400,200,200,200,200,200,200,200
round_queries,1000,3600,3300,7500,12200,36900,66200,142200,623600,848200,1714200,3722200,8072600,17157400,39062200,88663800
round_k,0,1,5,12,30,61,165,355,779,2120,4285,9305,20181,42893,97655,221659
round_shots,1300,1300,400,300,300,300,200,200,300,200,300,300,300,200,200,200
round_queries,1300,3900,4400,7500,18300,38100,60200,130600,413700,695400,2364900,6087900,15012300,24353000,49452200,108746200
round_k,0,1,5,12,30,63,150,326,689,1738,3941,10146,25020,60882,123630,271865
round_shots,1600,1500,200,300,300,300,200,200,200,200,200,200,200,200,200,300,100
