round_shots,2100,700,300,400,200,200,200,200,200,200
round_queries,2100,3500,5700,16400,18600,38200,81000,167400,369400,827000
round_k,0,2,9,20,46,95,202,418,923,2067
round_shots,2700,600,300,200,200,200,200,300,200,200
round_queries,2700,3000,5700,9400,19800,41400,87400,279300,483000,1128600
round_k,0,2,9,23,49,103,218,465,1207,2821
round_shots,1800,700,500,300,300,200,200,200,200,200
round_queries,1800,3500,6500,9900,20700,33400,71400,159400,361400,827400
round_k,0,2,6,16,34,83,178,398,903,2068
round_shots,2400,700,500,400,300,200,200,200,200,200,100
round_queries,2400,3500,6500,11600,19500,29000,67400,139400,284600,647800,746100
round_k,0,2,6,14,32,72,168,348,711,1619,3730
round_shots,3000,400,300,200,300,200,200,200,400,200
round_queries,3000,2000,3900,5400,17700,32600,71400,151000,653200,900600
round_k,0,2,6,13,29,81,178,377,816,2251
round_shots,2100,500,500,300,300,300,400,300,200,100
round_queries,2100,2500,6500,11100,26100,58500,187600,377700,649400,710700
round_k,0,2,6,18,43,97,234,629,1623,3553
round_shots,2500,400,500,300,200,200,200,400,300,100
round_queries,2500,2000,6500,11100,17400,38600,88200,384400,731700,614300
round_k,0,2,6,18,43,96,220,480,1219,3071
round_shots,2000,500,300,300,300,200,300,200,300,100
round_queries,2000,2500,5700,12900,29700,50200,154500,260200,870300,767900
round_k,0,2,9,21,49,125,257,650,1450,3839
round_shots,1700,500,300,300,200,200,300,300,200
round_queries,1700,2500,5700,12900,21800,49400,172500,474300,819800
round_k,0,2,9,21,54,123,287,790,2049
round_shots,2600,600,500,300,300,200,300,200,200,100
round_queries,2600,3000,6500,9900,20700,34200,116700,214600,489400,574500
round_k,0,2,6,16,34,85,194,536,1223,2872
round_shots,2300,600,600,600,200,200,200,200,200,200,100
round_queries,2300,3000,7800,17400,13000,26200,59800,129000,276600,615800,715300
round_k,0,2,6,14,32,65,149,322,691,1539,3576
round_shots,2500,600,600,300,200,300,200,200,200,300
round_queries,2500,3000,7800,9900,15800,47700,69800,145400,326200,1104300
round_k,0,2,6,16,39,79,174,363,815,1840
round_shots,1900,600,300,200,200,200,200,200,200,200
round_queries,1900,3000,5700,9400,19800,41400,86600,189400,436200,1001400
round_k,0,2,9,23,49,103,216,473,1090,2503
round_shots,1800,500,500,300,200,300,300,400,200,200
round_queries,1800,2500,6500,9900,13800,41700,106500,299600,393400,819400
round_k,0,2,6,16,34,69,177,374,983,2048
round_shots,1500,400,500,400,200,200,200,200,200,200
round_queries,1500,2000,6500,11600,15000,31000,63800,144600,333400,773800
round_k,0,2,6,14,37,77,159,361,833,1934
round_shots,2200,700,300,200,200,200,300,200,200,100
round_queries,2200,3500,5700,10200,22200,47000,150900,261800,587400,659700
round_k,0,2,9,25,55,117,251,654,1468,3298
round_shots,1800,600,300,200,200,200,200,200,300,100
round_queries,1800,3000,5700,10200,21400,44600,91000,209800,711300,476300
round_k,0,2,9,25,53,111,227,524,1185,2381
round_shots,1600,600,500,300,200,300,300,200,200,100
round_queries,1600,3000,6500,9900,15800,48900,126900,226200,527800,603700
round_k,0,2,6,16,39,81,211,565,1319,3018
round_shots,2100,700,300,200,200,200,300,200,200,100
round_queries,2100,3500,5700,9400,19800,43400,134100,231800,544600,600300
round_k,0,2,9,23,49,108,223,579,1361,3001
round_shots,2700,600,400,400,200,300,200,200,200,200
round_queries,2700,3000,5200,11600,15000,46500,83800,191000,436600,983400
round_k,0,2,6,14,37,77,209,477,1091,2458
round_shots,2800,700,500,300,300,200,200,200,200,200
round_queries,2800,3500,6500,9900,23700,41000,90200,180600,394600,921400
round_k,0,2,6,16,39,102,225,451,986,2303
round_shots,2900,600,300,200,300,200,200,200,200,100
round_queries,2900,3000,5700,10200,32100,52200,106200,238600,510600,599100
round_k,0,2,9,25,53,130,265,596,1276,2995
round_shots,2000,600,300,200,200,200,200,200,200,100
round_queries,2000,3000,5700,9400,19000,39800,89000,202600,465800,541900
round_k,0,2,9,23,47,99,222,506,1164,2709
round_shots,1800,600,300,300,200,200,200,200,200,100
round_queries,1800,3000,5700,12900,21800,50200,112600,233000,504600,540700
round_k,0,2,9,21,54,125,281,582,1261,2703
round_shots,2900,500,500,300,200,200,200,200,200,200
round_queries,2900,2500,6500,11100,18200,36600,82200,178200,401000,892600
round_k,0,2,6,18,45,91,205,445,1002,2231
round_shots,2300,700,300,200,300,400,400,200,200,100
round_queries,2300,3500,5700,10200,30900,100400,237200,297400,632200,710100
round_k,0,2,9,25,51,125,296,743,1580,3550
round_shots,2700,600,400,300,300,200,200,200,200,100
round_queries,2700,3000,7600,15300,38100,64600,141400,288600,653000,757500
round_k,0,2,9,25,63,161,353,721,1632,3787
round_shots,3100,600,500,400,500,300,200,200,300,100
round_queries,3100,3000,6500,13200,36500,59700,103400,228200,738300,570900
