round_k,2,11,39,158,620,2314,10858
round_shots,900,400,100,200,100,100,100,100
round_queries,900,2000,2300,13800,29500,97700,354900,6032100
round_k,2,11,34,147,488,1774,7019,30160
round_shots,700,400,200,200,100,100,100,100
round_queries,700,2000,4600,15800,32900,104100,355500,6247300
round_k,2,11,39,164,520,1777,7035,31236
round_shots,1100,300,200,200,200,200,200
round_queries,1100,1500,3800,13000,53400,242600,3022200
round_k,2,9,32,133,606,2518,7555
round_shots,900,300,200,200,100,200,100,100
round_queries,900,1500,3800,15000,30300,189000,387700,6823900
round_k,2,9,37,151,472,1938,7583,34119
round_shots,1000,300,300,200,100,100,100,100
round_queries,1000,1500,5700,14600,30700,98900,352900,5094500
round_k,2,9,36,153,494,1764,6891,25472
round_shots,1300,300,200,200,200,100,100,100
round_queries,1300,1500,4600,18200,70600,153300,556100,6967100
round_k,2,11,45,176,766,2780,11107,34835
round_shots,1100,400,200,200,100,100,200
round_queries,1100,2000,4600,18600,38100,122500,4561400
round_k,2,11,46,190,612,2236,11403
round_shots,1200,400,100,200,100,100,100,100
round_queries,1200,2000,2700,16200,31700,95700,322300,4590700
round_k,2,13,40,158,478,1611,6337,22953
round_shots,1200,200,200,300,200,100,100,100
round_queries,1200,600,1800,9300,18600,38900,131900,1946500
round_k,1,4,15,46,194,659,2395,9732
round_shots,1200,400,200,200,300,300,100
round_queries,1200,2000,4600,16600,108300,431700,2177300
round_k,2,11,41,180,719,2548,10886
round_shots,800,300,200,100,200,100,100,100
round_queries,800,1500,4600,7500,45000,104100,313500,4214500
round_k,2,11,37,112,520,1567,5238,21072
round_shots,900,300,200,200,100,200,100
round_queries,900,1500,4600,16600,36900,232200,1787100
round_k,2,11,41,184,580,2312,8935
round_shots,1300,300,200,200,100,100,100,100,100
round_queries,1300,900,1800,5400,11300,35700,114900,398700,6891300
round_k,1,4,13,56,178,574,1993,8007,34456
round_shots,900,300,200,200,100,100,100,100
round_queries,900,1500,3800,13000,24700,76500,261100,3064900
round_k,2,9,32,123,382,1305,4241,15324
round_shots,1100,200,300,200,200,100,100,100
round_queries,1100,1000,4500,10200,35800,76100,259900,3379500
round_k,2,7,25,89,380,1299,4842,16897
round_shots,1100,300,200,200,100,100,100,100
round_queries,1100,1500,3800,13000,27300,88900,316300,5277500
round_k,2,9,32,136,444,1581,6228,26387
round_shots,1000,200,200,200,200,100,100,100
round_queries,1000,600,1800,5400,19400,36700,121700,1797300
round_k,1,4,13,48,183,608,2275,8986
round_shots,900,300,200,200,100,100,100,100
round_queries,900,1500,4600,17800,36100,113900,411100,5493700
round_k,2,11,44,180,569,2055,7229,27468
round_shots,900,500,200,100,100,100,100,100
round_queries,900,2500,5400,8700,26100,82900,284300,4058300
round_k,2,13,43,130,414,1421,4730,20291
round_shots,700,400,200,200,100,100,200,100
round_queries,700,2000,4600,17400,28700,93900,669800,6535500
round_k,2,11,43,143,469,1674,7262,32677
round_shots,1200,200,300,200,200,100,100,100
round_queries,1200,600,2700,7400,27000,54300,177700,2470700
round_k,1,4,18,67,271,888,3201,12353
round_shots,600,300,200,200,200,100,100,100
round_queries,600,1500,3800,13000,44200,96100,341700,5641300
round_k,2,9,32,110,480,1708,6399,28206
round_shots,1000,200,200,200,100,200,100,100
round_queries,1000,1000,3000,9400,18500,119400,257900,3211700
round_k,2,7,23,92,298,1289,4989,16058
round_shots,1200,200,300,200,200,100,200,100
round_queries,1200,1000,4500,10200,36600,73500,523000,5516900
round_k,2,7,25,91,367,1307,6342,27584
round_shots,1100,300,200,200,100,100,100
round_queries,1100,1500,4600,18600,38500,126300,2046500
round_k,2,11,46,192,631,2188,10232
round_shots,1000,300,200,200,100,200,100,100
round_queries,1000,1500,4600,16600,30700,199800,411300,7205500
round_k,2,11,41,153,499,2056,7971,36027
round_shots,700,300,200,200,200,100,100,100
round_queries,700,1500,3800,13800,50200,104300,361900,6236700
round_k,2,9,34,125,521,1809,7242,31183
round_shots,1000,500,200,100,200,100,100,100
round_queries,1000,2500,5400,9100,54600,110700,377300,5824500
round_k,2,13,45,136,553,1886,7498,29122
round_shots,1000,200,300,200,100,100,100,100
round_queries,1000,1000,4500,10200,18300,55500,183100,2526500
round_k,2,7,25,91,277,915,3138,12632
round_shots,700,200,400,200,100,100,100,100
round_queries,700,1000,6000,10200,20500,64300,200900,2958700
round_k,2,7,25,102,321,1004,3576,14793
round_shots,900,300,200,200,100,100,100,100
round_queries,900,1500,3800,13000,25300,77500,264300,3459500
round_k,2,9,32,126,387,1321,4125,17297
round_shots,600,200,200,200,200,100,100,100
round_queries,600,1000,3800,13000,45000,93100,328500,4640500
round_k,2,9,32,112,465,1642,6035,23202
round_shots,1000,500,200,200,200,100,100
round_queries,1000,2500,5400,18200,75400,171500,2618300
round_k,2,13,45,188,857,3179,13091
round_shots,700,300,300,200,200,100,100,100
round_queries,700,1500,5700,12600,48200,73300,221500,3367700
round_k,2,9,31,120,366,1107,4189,16838
round_shots,1000,300,200,200,200,100,100,100
round_queries,1000,1500,3800,13000,49400,116900,416500,7287300
round_k,2,9,32,123,584,2082,7839,36436
round_shots,1000,300,200,100,100,100,100,100
round_queries,1000,1500,3800,7100,21300,68100,236900,3364500
round_k,2,9,35,106,340,1184,4209,16822
round_shots,1300,200,200,300,200,200,100,100
round_queries,1300,600,1800,8100,21400,68200,158300,2430100
round_k,1,4,13,53,170,791,2990,12150
round_shots,800,300,200,200,200,100,200
round_queries,800,1500,3800,13400,58200,126700,3363800
round_k,2,9,33,145,633,2162,8409
round_shots,1300,200,200,200,200,100,100,100
round_queries,1300,600,1800,5400,21000,46900,154700,2329700
round_k,1,4,13,52,234,773,2866,11648
round_shots,600,300,200,200,100,100,100,100
round_queries,600,1500,3800,12200,25900,84700,288300,3967500
round_k,2,9,30,129,423,1441,5275,19837
round_shots,900,300,200,200,100,100,200,100
round_queries,900,1500,3800,15000,33300,107500,771000,6513100
round_k,2,9,37,166,537,1927,8428,32565
round_shots,900,500,200,100,200,100,100,100
round_queries,900,2500,5400,9700,58200,125900,388100,6586700
round_k,2,13,48,145,629,1940,7748,32933
round_shots,700,300,200,200,300,100,200,100
round_queries,700,1500,3800,13800,69900,96500,679400,5817500
round_k,2,9,34,116,482,1698,7747,29087
round_shots,1000,400,100,300,200,100,100,100
round_queries,1000,2000,2300,20700,51400,110500,344700,5887700
round_k,2,11,34,128,552,1723,6662,29438
round_shots,800,200,200,200,100,100,100,100
round_queries,800,1000,3800,15000,32300,103300,373500,6436900
round_k,2,9,37,161,516,1867,7213,32184
round_shots,700,200,200,100,200,100,100,100
round_queries,700,1000,3800,6700,40200,90700,311100,5193500
round_k,2,9,33,100,453,1555,6043,25967
round_shots,600,300,200,200,200,100,100,100
round_queries,600,1500,4600,15400,64600,109100,327500,5813700
round_k,2,11,38,161,545,1637,6554,29068
round_shots,1000,400,200,200,100,100,100,100
round_queries,1000,2000,4600,17800,39300,122100,385700,4785100
round_k,2,11,44,196,610,1928,6039,23925
round_shots,1200,300,200,200,100,200,100,100
round_queries,1200,1500,3800,13800,26500,161400,316700,5296300
round_k,2,9,34,132,403,1583,5979,26481
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,1500,3800,13000,24500,75900,258100,4250700
round_k,2,9,32,122,379,1290,4889,21253
round_shots,900,200,300,200,100,100,100,100
round_queries,900,1000,4500,11400,23300,77100,270900,4238100
round_k,2,7,28,116,385,1354,5229,21190
round_shots,1200,300,300,200,100,100,100,100,100
round_queries,1200,900,2700,7400,13100,40700,131700,448300,7547700
round_k,1,4,18,65,203,658,2241,8435,37738
round_shots,800,300,200,200,300,100,100,100
round_queries,800,1500,3800,13800,80700,85700,286700,4137700
round_k,2,9,34,134,428,1433,5066,20688
round_shots,600,300,200,200,200,100,100,100
round_queries,600,1500,4600,17400,60200,113100,407700,7444500
round_k,2,11,43,150,565,2038,8070,37222
round_shots,800,200,200,100,200,200,100,100
round_queries,800,1000,3800,6500,39000,127000,255100,3235900
round_k,2,9,32,97,317,1275,4275,16179
round_shots,1000,300,200,100,100,100,100,100
round_queries,1000,1500,4600,9300,28300,92700,329500,5456900
round_k,2,11,46,141,463,1647,6282,27284
round_shots,1100,500,300,200,200,100,200,100
round_queries,1100,2500,8100,18600,80600,147700,1046600,5665900
round_k,2,13,46,201,738,2616,8281,28329
round_shots,700,300,200,200,200,100,100,100
round_queries,700,1500,3800,14200,52600,101500,363700,6337100
round_k,2,9,35,131,507,1818,7032,31685
round_shots,900,300,200,200,100,200,100
round_queries,900,1500,3800,13800,27700,182600,1919100
round_k,2,9,34,138,456,2129,9595
round_shots,1300,200,300,200,100,100,100,100
round_queries,1300,600,2700,7400,12700,40300,130100,1781700
round_k,1,4,18,63,201,650,2402,8908
round_shots,1100,300,200,200,100,100,200,100
round_queries,1100,1500,4600,14600,30700,97300,699400,6100300
round_k,2,11,36,153,486,1748,7425,30501
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,1500,3800,13000,27500,87500,315500,5343100
round_k,2,9,32,137,437,1577,6144,26715
round_shots,800,200,300,100,100,100,100,100
round_queries,800,1000,4500,6700,20100,62700,207100,2792700
round_k,2,7,33,100,313,1035,3411,13963
round_shots,600,300,200,200,300,200,100
round_queries,600,1500,4600,16600,104700,271000,2340300
round_k,2,11,41,174,677,2908,11701
round_shots,800,200,200,200,100,100,200,100
round_queries,800,1000,3000,9400,18300,55900,364200,2734700
round_k,2,7,23,91,279,910,3280,13673
round_shots,700,300,200,200,200,100,100,100
round_queries,700,1500,4600,14600,62200,127900,394900,6961100
round_k,2,11,36,155,639,1974,7852,34805
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,1500,4600,17400,36300,118900,439300,6391500
round_k,2,11,43,181,594,2196,8811,31957
round_shots,900,400,200,200,300,100,100
round_queries,900,2000,4600,18600,119100,166300,2355700
round_k,2,11,46,198,831,2964,11778
round_shots,1200,200,200,200,200,200,100,200
round_queries,1200,600,1800,5400,17400,76600,176700,5413000
round_k,1,4,13,43,191,883,3312,13532
round_shots,1000,300,200,200,200,100,100,100
round_queries,1000,1500,4600,18600,67400,142500,479100,7511500
round_k,2,11,46,168,712,2395,9023,37557
round_shots,800,300,200,200,200,100,100,100
round_queries,800,1500,3800,13000,56600,114900,381700,5013300
round_k,2,9,32,141,574,1908,7659,25066
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,1500,4600,18600,36100,121300,444900,5836500
round_k,2,11,46,180,606,2224,8831,29182
round_shots,1200,200,200,200,100,100,100,100
round_queries,1200,1000,3000,9400,17500,56300,194900,2586500
round_k,2,7,23,87,281,974,3508,12932
round_shots,1300,200,200,200,100,100,100,100
round_queries,1300,1000,3800,14200,29300,92300,313500,4858500
round_k,2,9,35,146,461,1567,6189,24292
round_shots,600,300,200,200,200,200,100,100
round_queries,600,1500,3800,12200,46600,202600,468900,7323100
round_k,2,9,30,116,506,2344,8448,36615
round_shots,1000,200,200,200,200,100,100,100,100
round_queries,1000,600,1800,5400,17400,36100,115500,394700,5099500
round_k,1,4,13,43,180,577,1973,7948,25497
round_shots,1200,300,200,200,200,100,100,100
round_queries,1200,1500,3800,13400,59000,100300,347100,3480100
round_k,2,9,33,147,501,1735,5553,17400
round_shots,700,300,200,200,200,100,100
round_queries,700,1500,3800,13800,61000,117500,1732500
round_k,2,9,34,152,587,2138,8662
round_shots,900,300,200,200,100,100,100,100
round_queries,900,1500,3800,13800,29100,92300,290500,3946700
round_k,2,9,34,145,461,1452,5467,19733
round_shots,800,300,200,200,200,100,100,100
round_queries,800,1500,3800,14200,58200,101300,370300,4499700
round_k,2,9,35,145,506,1851,7415,22498
round_shots,1100,500,300,200,200,200,100,100
round_queries,1100,2500,5100,10200,45400,146200,275700,4219500
round_k,2,8,25,113,365,1378,5334,21097
round_shots,1000,500,200,200,200,100,200
round_queries,1000,2500,5400,16600,64200,135100,3916600
round_k,2,13,41,160,675,2476,9791
round_shots,600,200,200,200,100,200,100,100
round_queries,600,1000,3800,12200,23100,148200,313500,5139700
round_k,2,9,30,115,370,1567,6098,25698
round_shots,1200,500,300,200,100,100,100
round_queries,1200,2500,8100,21400,48300,151100,2012500
round_k,2,13,53,241,755,2481,10062
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,1500,4600,16600,33300,110100,394500,6262500
round_k,2,11,41,166,550,1972,7190,31312
round_shots,600,300,200,200,200,100,200,100
round_queries,600,1500,3800,13000,51400,106700,686200,6766900
round_k,2,9,32,128,533,1715,7512,33834
round_shots,900,400,200,200,200,100,100
round_queries,900,2000,4600,17400,69000,151900,2589900
round_k,2,11,43,172,759,2815,12949
round_shots,1100,400,400,200,100,100,100,100
round_queries,1100,2000,6800,11000,22300,69500,213700,3208100
round_k,2,8,27,111,347,1068,3834,16040
round_shots,1000,300,200,200,200,100,100,100
round_queries,1000,1500,4600,17400,75400,164300,609900,6261900
round_k,2,11,43,188,821,3049,10166,31309
round_shots,600,300,200,200,100,100,100,100
round_queries,600,1500,4600,18600,41100,126100,414100,7570500
round_k,2,11,46,205,630,2070,7860,37852
round_shots,1000,300,100,200,200,100,100
round_queries,1000,1500,2300,13800,60600,129300,1862100
round_k,2,11,34,151,646,2362,9310
round_shots,1200,400,200,200,200,100,100,100
round_queries,1200,2000,4600,16200,62600,126700,421500,6926700
round_k,2,11,40,156,633,2107,8012,34633
round_shots,800,300,200,200,100,100,100,100
round_queries,800,1500,4600,17400,33700,103700,360100,5432100
round_k,2,11,43,168,518,1800,6961,27160
round_shots,800,300,200,200,200,100,100,100
round_queries,800,1500,3800,13000,41400,97500,343700,4823100
round_k,2,9,32,103,487,1718,6796,24115
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,1500,4600,17400,32300,105700,338100,5965900
round_k,2,11,43,161,528,1690,6697,29829
round_shots,700,300,200,200,100,100,100,100
round_queries,700,1500,4600,16600,33100,102700,326300,5389700
round_k,2,11,41,165,513,1631,6371,26948
round_shots,900,200,300,200,200,100,100,100
round_queries,900,1000,4500,13400,55800,93900,318300,5201500
round_k,2,7,33,139,469,1591,6159,26007
round_shots,700,300,200,200,100,100,100,100
round_queries,700,1500,4600,18600,39500,128300,455900,7365700
round_k,2,11,46,197,641,2279,9060,36828
round_shots,800,400,200,200,300,100,100,100
round_queries,800,2000,4600,17400,101100,135700,472100,7303900
round_k,2,11,43,168,678,2360,8212,36519
round_shots,700,300,200,200,200,100,100,100
round_queries,700,1500,3800,14200,59800,115900,416300,6558900
round_k,2,9,35,149,579,2081,8163,32794
round_shots,900,300,200,200,100,100,100
round_queries,900,1500,4600,19400,42100,141500,2104700
round_k,2,11,48,210,707,2580,10523
round_shots,1000,300,200,200,200,100,100,100
round_queries,1000,1500,4600,15800,55400,119500,414900,6033500
round_k,2,11,39,138,597,2074,7633,30167
round_shots,1000,300,300,200,200,100,100
round_queries,1000,1500,5100,11800,48600,106900,1835700
round_k,2,8,29,121,534,1934,9178
round_shots,900,300,200,200,100,100,100,100
round_queries,900,1500,4600,16600,35500,117500,424900,7183100
round_k,2,11,41,177,587,2124,7978,35915
round_shots,1100,200,200,200,200,100,100,100
round_queries,1100,1000,3000,9400,36200,77900,269300,4132900
round_k,2,7,23,90,389,1346,5255,20664
