round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,2100
round_k,0,2,10
round_shots,100,100,100
round_queries,100,500,1700
round_k,0,2,8
round_shots,100,100,100
round_queries,100,500,1500
round_k,0,2,7
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100,100
round_queries,100,500,1300,5900
round_k,0,2,6,29
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,2100
round_k,0,2,10
round_shots,100,100,100,100
round_queries,100,500,1300,5700
round_k,0,2,6,28
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,1500
round_k,0,2,7
round_shots,100,100,100
round_queries,100,500,2300
round_k,0,2,11
round_shots,100,100,100
round_queries,100,500,2700
round_k,0,2,13
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,2100
round_k,0,2,10
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,1700
round_k,0,2,8
round_shots,100,100,100
round_queries,100,500,1900
round_k,0,2,9
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,2100
round_k,0,2,10
round_shots,100,100,100,100
round_queries,100,500,1300,6500
round_k,0,2,6,32
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,2100
round_k,0,2,10
round_shots,100,100,100
round_queries,100,500,2500
round_k,0,2,12
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,2100
round_k,0,2,10
round_shots,100,100,100
round_queries,100,500,2100
round_k,0,2,10
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,2700
round_k,0,2,13
round_shots,100,100,100
round_queries,100,500,1700
round_k,0,2,8
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,2500
round_k,0,2,12
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,2500
round_k,0,2,12
round_shots,100,100,100
round_queries,100,500,1700
round_k,0,2,8
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,2100
round_k,0,2,10
round_shots,100,100,100
round_queries,100,500,3300
round_k,0,2,16
round_shots,100,100,100
round_queries,100,500,1900
round_k,0,2,9
round_shots,100,100,100
round_queries,100,500,1900
round_k,0,2,9
round_shots,100,100,100
round_queries,100,500,3300
