round_shots,1100,900,400,300,300,200,200,200,200,200,200,300,300
round_queries,1100,2700,2800,5700,14700,23400,49800,101000,219400,479400,1098200,3596700,9069900
round_k,0,1,3,9,24,58,124,252,548,1198,2745,5994,15116
round_shots,1100,700,300,300,200,200,200,200,200,200,200,200,300,200
round_queries,1100,2100,2100,4500,6600,14600,30600,63400,137800,296600,672600,1497400,5096700,8807000
round_k,0,1,3,7,16,36,76,158,344,741,1681,3743,8494,22017
round_shots,1100,700,300,300,300,200,300,300,200,200,200,300,200,100
round_queries,1100,2100,2100,4500,11100,17800,55500,154500,265800,556200,1182600,3801300,6402600,7189100
round_k,0,1,3,7,18,44,92,257,664,1390,2956,6335,16006,35945
round_shots,1800,1100,400,300,200,200,200,200,300,200,300,300,300
round_queries,1800,3300,2800,5700,9800,21800,47400,103000,327300,529400,1682100,4067700,10573500
round_k,0,1,3,9,24,54,118,257,545,1323,2803,6779,17622
round_shots,1100,800,300,300,300,200,200,200,200,200,200,300,300,200
round_queries,1100,2400,2100,4500,9900,17000,34600,76600,174600,353400,752600,2615700,6862500,10595800
round_k,0,1,3,7,16,42,86,191,436,883,1881,4359,11437,26489
round_shots,1000,600,300,300,200,300,300,300,200,200,200,300,300,200
round_queries,1000,1800,2100,4500,6600,21900,50700,105300,151800,317400,699400,2300700,5744700,8380600
round_k,0,1,3,7,16,36,84,175,379,793,1748,3834,9574,20951
round_shots,1200,800,400,500,300,200,200,300,300,200,200,300,200
round_queries,1200,2400,2800,9500,17700,29000,58600,194700,497700,857800,1947800,6005100,9762200
round_k,0,1,3,9,29,72,146,324,829,2144,4869,10008,24405
round_shots,1100,700,300,300,300,200,200,200,300,300,300,200,200,100
round_queries,1100,2100,2100,4500,9900,16200,33000,69000,224700,569100,1452300,2496200,5525400,5963500
round_k,0,1,3,7,16,40,82,172,374,948,2420,6240,13813,29817
round_shots,1100,600,300,400,300,200,200,200,200,200,200,200,200,300
round_queries,1100,1800,2100,6000,9900,13800,29800,61800,137400,309000,699400,1543400,3475800,10504500
round_k,0,1,3,7,16,34,74,154,343,772,1748,3858,8689,17507
round_shots,1700,700,400,400,200,200,300,300,200,200,200,200,300,100
round_queries,1700,2100,2800,6000,9000,19400,62700,174900,277000,581800,1277000,2888600,9559500,7788300
round_k,0,1,3,7,22,48,104,291,692,1454,3192,7221,15932,38941
round_shots,1500,700,300,300,200,300,200,200,300,300,300,300,200,200
round_queries,1500,2100,2100,4500,7400,24300,40600,87000,274500,682500,1544700,3135300,4612200,10260600
round_k,0,1,3,7,18,40,101,217,457,1137,2574,5225,11530,25651
round_shots,1200,900,300,500,200,300,200,200,200,200,200,300,200,100
round_queries,1200,2700,2100,7500,9800,30300,47400,101400,224600,473400,1021800,3475500,6165400,6841900
round_k,0,1,3,7,24,50,118,253,561,1183,2554,5792,15413,34209
round_shots,1500,900,300,300,300,200,300,300,200,200,200,300,200,200
round_queries,1500,2700,2100,4500,11100,17000,54300,137100,217000,453800,983000,3027300,4670600,10079000
round_k,0,1,3,7,18,42,90,228,542,1134,2457,5045,11676,25197
round_shots,1100,600,400,500,200,300,200,300,200,200,200,200,200,100
round_queries,1100,1800,2800,7500,8600,26100,42600,141900,244600,511000,1157000,2655400,6139400,6820100
round_k,0,1,3,7,21,43,106,236,611,1277,2892,6638,15348,34100
round_shots,1100,800,300,300,300,300,200,200,200,200,200,300,200,100
round_queries,1100,2400,2100,4500,9900,25500,43400,89800,195000,447400,999400,3122100,5339400,6110700
round_k,0,1,3,7,16,42,108,224,487,1118,2498,5203,13348,30553
round_shots,1600,900,300,400,200,300,200,200,200,200,200,200,300
round_queries,1600,2700,2100,6000,9800,31500,49000,104600,227400,508200,1154200,2645000,9206700
round_k,0,1,3,7,24,52,122,261,568,1270,2885,6612,15344
round_shots,1300,900,300,300,400,400,400,300,300,200,300,200,300,100
round_queries,1300,2700,2100,4500,13200,30000,63600,99300,243900,404200,1227900,2111400,6717300,5613500
round_k,0,1,3,7,16,37,79,165,406,1010,2046,5278,11195,28067
round_shots,1100,600,300,400,400,300,300,200,200,200,300,200,200,200
round_queries,1100,1800,2100,6000,13200,23700,48900,84600,179400,395000,1340100,2326200,4935400,11261000
round_k,0,1,3,7,16,39,81,211,448,987,2233,5815,12338,28152
round_shots,1500,500,300,300,300,200,200,200,200,200,200,200,200,200
round_queries,1500,1500,2100,4500,11100,16200,34600,73000,156200,347800,787000,1767800,3963800,9162600
round_k,0,1,3,7,18,40,86,182,390,869,1967,4419,9909,22906
round_shots,1300,1100,300,300,300,200,300,200,300,300,400,300,200
round_queries,1300,3300,2100,4500,12300,20200,65100,102200,306900,763500,2296400,4646700,8126200
round_k,0,1,3,7,20,50,108,255,511,1272,2870,7744,20315
round_shots,1500,800,300,300,300,200,200,200,300,200,200,200,200,200
round_queries,1500,2400,2100,4500,12300,19400,40200,84200,279300,449400,970200,2225000,5051400,11632600
round_k,0,1,3,7,20,48,100,210,465,1123,2425,5562,12628,29081
round_shots,1900,800,400,400,500,400,200,200,200,200,200,200,200,200
round_queries,1900,2400,2800,6000,15500,28400,36200,75400,160600,363400,820200,1872600,4112200,9405000
round_k,0,1,3,7,15,35,90,188,401,908,2050,4681,10280,23512
round_shots,1400,700,600,400,300,200,200,200,200,200,200,300,200
round_queries,1400,2100,4200,6000,14700,24200,50600,111000,247000,558200,1234200,4056300,6983800
round_k,0,1,3,7,24,60,126,277,617,1395,3085,6760,17459
round_shots,1300,800,400,400,200,200,200,200,300,400,200,200,200,100
round_queries,1300,2400,2800,6000,9800,21000,45800,96200,312300,952400,1305800,2965400,6749800,7271500
round_k,0,1,3,7,24,52,114,240,520,1190,3264,7413,16874,36357
round_shots,1300,600,300,300,300,300,200,200,200,200,200,300,100,100
round_queries,1300,1800,2100,4500,9900,24300,41800,86600,192200,399000,888200,2925300,2661900,5707900
round_k,0,1,3,7,16,40,104,216,480,997,2220,4875,13309,28539
round_shots,1300,1000,500,400,300,200,300,300,200,200,200,200,200
round_queries,1300,3000,3500,6000,14700,25000,78300,207900,383800,836600,1904200,4133800,9584200
round_k,0,1,3,7,24,62,130,346,959,2091,4760,10334,23960
round_shots,1300,600,400,300,300,300,200,200,300,400,200,200,200,100
round_queries,1300,1800,2800,4500,9900,24300,41000,82200,252900,739600,1056200,2270200,5159400,5884100
round_k,0,1,3,7,16,40,102,205,421,924,2640,5675,12898,29420
round_shots,1500,600,300,300,200,400,300,200,200,200,200,300,200,200
round_queries,1500,1800,2100,4500,6600,26800,44100,77400,160600,366200,793400,2422500,3755000,8370600
round_k,0,1,3,7,16,33,73,193,401,915,1983,4037,9387,20926
