round_shots,3500,400,200,400,400,400,300,400,300
round_queries,3500,3600,5000,20400,49200,103600,166500,472400,971700
round_k,0,4,12,25,61,129,277,590,1619
round_shots,2800,300,300,200,300,300,200,200,300
round_queries,2800,2100,5100,8200,27300,71100,118200,277400,912900
round_k,0,3,8,20,45,118,295,693,1521
round_shots,3700,400,300,300,300,300,200,200,200,100
round_queries,3700,2800,5100,12300,32700,66900,98200,202600,461800,531500
round_k,0,3,8,20,54,111,245,506,1154,2657
round_shots,2800,400,400,300,300,200,200,200,200,200
round_queries,2800,2800,6800,12300,26700,38600,81800,189400,431800,937400
round_k,0,3,8,20,44,96,204,473,1079,2343
round_shots,2600,300,300,200,200,200,200,200,200,200
round_queries,2600,2100,5100,8200,16600,36600,78200,162600,329000,755800
round_k,0,3,8,20,41,91,195,406,822,1889
round_shots,3300,500,300,300,300,200,300,300,300,100
round_queries,3300,4500,6900,14100,28500,46200,158100,364500,815100,679100
round_k,0,4,11,23,47,115,263,607,1358,3395
round_shots,2500,400,300,200,200,200,300,300,300,200
round_queries,2500,2800,5100,8200,16600,36200,110700,261900,594300,937800
round_k,0,3,8,20,41,90,184,436,990,2344
round_shots,3900,400,300,500,300,200,200,300,200
round_queries,3900,3600,7500,25500,39300,61000,138600,453300,797000
round_k,0,4,12,25,65,152,346,755,1992
round_shots,3700,400,500,200,200,200,200,200,200,100
round_queries,3700,3600,11500,9800,21400,45800,95000,216200,507800,587300
round_k,0,4,11,24,53,114,237,540,1269,2936
round_shots,3900,400,300,300,200,200,200,200,200,200
round_queries,3900,2800,5100,12300,20200,41800,90200,198600,411000,875000
round_k,0,3,8,20,50,104,225,496,1027,2187
round_shots,2600,900,400,300,300,200,200,300,200,200,100
round_queries,2600,2700,2800,5100,12300,20200,41800,133500,234600,519800,588700
round_k,0,1,3,8,20,50,104,222,586,1299,2943
round_shots,3000,400,400,300,200,200,300,200,200,100
round_queries,3000,2800,6800,12300,22600,48600,152700,260600,592200,598900
round_k,0,3,8,20,56,121,254,651,1480,2994
round_shots,3600,400,400,300,200,200,200,300,300,100
round_queries,3600,2800,6800,14700,21400,45800,96600,312300,707100,607700
round_k,0,3,8,24,53,114,241,520,1178,3038
round_shots,2700,400,300,200,200,200,200,200,300,200
round_queries,2700,2800,5100,8200,18200,37800,87000,187400,594900,1024600
round_k,0,3,8,20,45,94,217,468,991,2561
round_shots,3800,400,300,300,200,200,300,200,200
round_queries,3800,3600,7500,17100,28200,57800,193500,346200,745000
round_k,0,4,12,28,70,144,322,865,1862
round_shots,3300,400,400,300,300,300,300,200,200,100
round_queries,3300,2800,6800,14700,33900,75900,160500,242200,541000,634500
round_k,0,3,8,24,56,126,267,605,1352,3172
round_shots,3500,400,300,300,300,300,300,300,200
round_queries,3500,2800,5100,12300,29100,84900,215100,508500,939000
round_k,0,3,8,20,48,141,358,847,2347
round_shots,3600,400,400,300,200,200,200,200,200,200
round_queries,3600,2800,6800,11700,19400,41800,85400,196600,449800,1027000
round_k,0,3,8,19,48,104,213,491,1124,2567
round_shots,2100,400,300,300,300,200,200,300,400,100
round_queries,2100,2800,5100,11700,26700,45000,101000,351300,1054000,651500
round_k,0,3,8,19,44,112,252,585,1317,3257
round_shots,3700,500,300,300,200,200,200,200,200
round_queries,3700,4500,7500,19500,31400,64200,145000,329400,739800
round_k,0,4,12,32,78,160,362,823,1849
round_shots,2300,300,300,400,200,200,200,200,200,300
round_queries,2300,2100,4500,13200,15800,33400,68200,160200,357000,1103700
round_k,0,3,7,16,39,83,170,400,892,1839
round_shots,3700,300,300,300,200,200,200,200,200
round_queries,3700,2700,7500,17100,31400,65800,149800,340600,798200
