round_k,1,5,22,92,290,1071,4177,18019,87158
round_shots,300,200,200,200,100,100,100,100,100
round_queries,300,600,2200,8200,16300,53900,194500,744700,15252700
round_k,1,5,20,81,269,972,3723,15900,76263
round_shots,400,200,200,100,100,100,100,100,100,100
round_queries,400,600,2200,4100,12500,38700,138100,525700,2169500,53726100
round_k,1,5,20,62,193,690,2628,10847,50184,268630
round_shots,300,300,100,200,100,100,100,100,100,100
round_queries,300,900,1100,6600,13900,45500,161700,594700,2487900,63497500
round_k,1,5,16,69,227,808,2973,12439,58436,317487
round_shots,400,200,100,200,100,100,100,100,100,100
round_queries,400,600,1100,6600,13300,42900,149100,578300,2438100,61672100
round_k,1,5,16,66,214,745,2891,12190,56880,308360
round_shots,300,200,200,100,100,100,100,100,100,100
round_queries,300,600,2200,3700,11100,36500,128100,486500,1999300,48432500
round_k,1,5,18,55,182,640,2432,9996,45753,242162
round_shots,300,300,200,200,100,100,100,100,100,100
round_queries,300,900,2200,7400,15500,50100,178700,695300,2908500,75618700
round_k,1,5,18,77,250,893,3476,14542,68735,378093
round_shots,500,200,200,200,100,100,100,100,100
round_queries,500,600,2200,7400,15500,51300,184100,709500,14208900
round_k,1,5,18,77,256,920,3547,15005,71044
round_shots,400,300,200,100,100,100,100,100,100,100
round_queries,400,900,2200,4500,13500,42300,147500,555900,2327500,57345300
round_k,1,5,22,67,211,737,2779,11637,53827,286726
round_shots,500,200,200,200,100,100,100,100,100
round_queries,500,600,2200,8200,17900,61500,221700,863900,18015100
round_k,1,5,20,89,307,1108,4319,18588,90075
round_shots,500,300,200,200,100,100,100,100,100,100
round_queries,500,900,2200,6600,13300,43900,151700,574900,2405300,60866300
round_k,1,5,16,66,219,758,2874,12026,56202,304331
round_shots,400,200,200,200,100,100,100,100,100,100
round_queries,400,600,2200,8200,16700,51700,176500,648900,2589900,64820300
round_k,1,5,20,83,258,882,3244,12949,59810,324101
round_shots,300,200,100,200,100,100,100,100,100,100
round_queries,300,600,1100,6600,13300,43900,153500,591500,2472300,62847900
round_k,1,5,16,66,219,767,2957,12361,57914,314239
round_shots,400,200,200,100,100,100,100,100,100,100
round_queries,400,600,2200,3300,9900,31500,107300,387500,1567300,36199900
round_k,1,5,16,49,157,536,1937,7836,35433,180999
round_shots,300,300,200,200,100,100,100,100,100
round_queries,300,900,2200,8600,16700,55900,199300,773700,15827900
round_k,1,5,21,83,279,996,3868,16623,79139
round_shots,300,200,200,200,100,100,100,100,100
round_queries,300,600,2200,8200,18300,59100,214700,848300,17717100
round_k,1,5,20,91,295,1073,4241,18274,88585
round_shots,400,300,200,100,100,100,100,100,100,100
round_queries,400,900,2200,3700,11100,35500,124900,466900,1938300,46657900
round_k,1,5,18,55,177,624,2334,9691,44409,233289
round_shots,400,300,100,200,100,100,100,100,100,100
round_queries,400,900,1100,6600,13900,43300,148500,567500,2379300,59585500
round_k,1,5,16,69,216,742,2837,11896,55436,297927
round_shots,500,200,200,200,100,100,100,100,100
round_queries,500,600,2200,8200,16900,55900,198900,775100,15999500
round_k,1,5,20,84,279,994,3875,16646,79997
round_shots,300,300,200,200,100,100,100,100,100
round_queries,300,900,3000,11800,24300,85900,297100,1186500,25871500
round_k,1,7,29,121,429,1485,5932,25865,129357
round_shots,300,300,200,200,100,100,100,100,100
round_queries,300,900,2200,7400,15900,51700,189700,735100,14829100
round_k,1,5,18,79,258,948,3675,15608,74145
round_shots,400,300,200,200,100,100,100,100,100
round_queries,400,900,2200,9000,20500,67100,246900,974500,20765500
round_k,1,5,22,102,335,1234,4872,21169,103827
round_shots,600,300,200,100,100,100,100,100,100,100
round_queries,600,900,2200,3700,11300,35900,118300,435500,1776900,42524700
round_k,1,5,18,56,179,591,2177,8884,40583,212623
round_shots,500,300,200,200,100,100,100,100,100
round_queries,500,900,2200,8200,17900,59100,205300,800900,16624900
round_k,1,5,20,89,295,1026,4004,17250,83124
round_shots,300,200,100,200,100,100,100,100,100,100
round_queries,300,600,1100,6600,14900,47300,165900,638100,2702900,69581700
round_k,1,5,16,74,236,829,3190,13514,63604,347908
round_shots,300,200,200,100,100,100,100,100,100,100
round_queries,300,600,2200,4100,12700,41300,146700,531900,2216300,54836300
round_k,1,5,20,63,206,733,2659,11081,51664,274181
round_shots,300,300,200,200,100,100,100,100,100,100
round_queries,300,900,2200,7400,14300,46700,161700,613100,2566700,65294500
round_k,1,5,18,71,233,808,3065,12833,60071,326472
round_shots,400,200,200,200,100,100,100,100,100
round_queries,400,600,2200,9000,17900,60500,219100,853700,17861300
round_k,1,5,22,89,302,1095,4268,18495,89306
round_shots,500,200,100,200,100,100,100,100,100,100
round_queries,500,600,1100,6600,13300,43900,153900,584900,2465300,62270100
round_k,1,5,16,66,219,769,2924,12326,57410,311350
round_shots,400,300,200,200,100,100,100,100,100
round_queries,400,900,2200,7400,16100,53900,191900,742900,15082100
round_k,1,5,18,80,269,959,3714,15768,75410
round_shots,400,300,200,200,100,100,100,100,100,100
round_queries,400,900,2200,6600,13100,42100,146300,556900,2334900,58780900
round_k,1,5,16,65,210,731,2784,11674,54502,293904
round_shots,300,300,200,100,100,100,100,100,100,100
round_queries,300,900,2200,3700,11300,33900,116900,440700,1817900,43518500
round_k,1,5,18,56,169,584,2203,9089,41572,217592
round_shots,300,200,200,200,100,100,100,100,100
round_queries,300,600,2200,9000,18300,62100,221700,858500,17816300
round_k,1,5,22,91,310,1108,4292,18334,89081
round_shots,300,200,200,100,100,100,100,100,100,100
round_queries,300,600,2200,4100,12300,38700,135100,507300,2106500,51905700
round_k,1,5,20,61,193,675,2536,10532,48704,259528
round_shots,400,200,100,100,100,100,100,100,100,100
round_queries,400,600,1100,3300,9900,31300,105300,400100,1632100,38401900
round_k,1,5,16,49,156,526,2000,8160,37043,192009
round_shots,500,300,200,200,100,100,100,100,100,100
round_queries,500,900,2200,6600,11900,37500,126100,471100,1947100,47386900
round_k,1,5,16,59,187,630,2355,9735,44833,236934
round_shots,400,200,200,100,100,100,100,100,100,100
round_queries,400,600,2200,3700,11100,35900,122700,460300,1892900,45672900
round_k,1,5,18,55,179,613,2301,9464,43305,228364
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,2200,6600,13500,44300,148700,572100,2394500,59998100
round_k,1,5,16,67,221,743,2860,11972,55787,299990
round_shots,500,300,200,200,100,100,100,100,100
round_queries,500,900,2200,8200,17300,54900,198300,773700,15855300
round_k,1,5,20,86,274,991,3868,16533,79276
round_shots,500,200,100,200,100,100,100,100,100,100
round_queries,500,600,1100,6600,12300,38700,134100,502900,2098300,51508900
round_k,1,5,16,61,193,670,2514,10491,48455,257544
round_shots,300,300,100,100,100,100,100,100,100,100
round_queries,300,900,1100,3300,9900,31300,104100,384100,1568900,36547100
round_k,1,5,16,49,156,520,1920,7844,35431,182735
round_shots,500,300,100,100,100,100,100,100,100,100
round_queries,500,900,1100,3300,10300,31300,106300,391500,1589100,36001100
round_k,1,5,16,51,156,531,1957,7945,35296,180005
round_shots,300,200,200,200,100,100,100,100,100,100
round_queries,300,600,2200,7400,14900,50900,182300,699700,2968700,76525500
round_k,1,5,18,74,254,911,3498,14843,70282,382627
round_shots,300,200,100,200,100,100,100,100,100,100
round_queries,300,600,1100,6600,13100,40700,145100,550300,2301300,57406100
round_k,1,5,16,65,203,725,2751,11506,53530,287030
round_shots,500,200,200,100,100,100,100,100,100,100
round_queries,500,600,2200,4100,12700,39100,134900,508100,2125300,52509300
round_k,1,5,20,63,195,674,2540,10626,49188,262546
round_shots,400,300,200,100,100,100,100,100,100
round_queries,400,900,3000,5500,16900,56100,200100,780100,16121900
round_k,1,7,27,84,280,1000,3900,16710,80609
round_shots,400,200,100,200,100,100,100,100,100,100
round_queries,400,600,1100,6600,13300,42900,148500,563500,2304300,57511700
round_k,1,5,16,66,214,742,2817,11521,53513,287558
round_shots,500,400,300,100,100,100,100,100,100
round_queries,500,1200,3300,5700,17900,59900,220700,859700,18006300
round_k,1,5,28,89,299,1103,4298,18577,90031
round_shots,400,200,100,200,100,100,100,100,100,100
round_queries,400,600,1100,6600,13100,43500,152700,582500,2442700,61506900
round_k,1,5,16,65,217,763,2912,12213,56726,307534
round_shots,400,200,200,200,100,100,100,100,100
round_queries,400,600,2200,8200,16700,52300,190500,745500,15322500
round_k,1,5,20,83,261,952,3727,15968,76612
round_shots,600,400,200,200,100,100,100,100,100,100
round_queries,600,1200,2200,6600,13500,43500,153500,591500,2485100,62357700
round_k,1,5,16,67,217,767,2957,12425,57885,311788
round_shots,300,300,200,200,100,100,100,100,100,100
round_queries,300,900,2200,7400,15100,48100,166700,625100,2631100,69376700
round_k,1,5,18,75,240,833,3125,13155,61870,346883
round_shots,300,300,300,100,100,100,100,100,100
round_queries,300,900,3300,5300,15900,49900,180500,705100,14200700
round_k,1,5,26,79,249,902,3525,14966,71003
round_shots,300,200,200,200,100,100,100,100,100,100
round_queries,300,600,2200,7400,15500,50100,177100,689700,2923900,77048100
round_k,1,5,18,77,250,885,3448,14619,69555,385240
round_shots,300,300,300,100,100,100,100,100,100,100
round_queries,300,900,3300,4900,15100,50100,176100,678500,2891100,75005500
round_k,1,5,24,75,250,880,3392,14455,67907,375027
round_shots,300,300,200,200,100,100,100,100,100,100
round_queries,300,900,2200,7400,14700,47300,170900,651500,2731300,70750700
round_k,1,5,18,73,236,854,3257,13656,64372,353753
round_shots,400,300,200,100,100,100,100,100,100
round_queries,400,900,3000,5500,16500,52500,188100,734700,14866100
round_k,1,7,27,82,262,940,3673,15624,74330
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,2200,8200,16300,53300,190700,738300,15142700
round_k,1,5,20,81,266,953,3691,15836,75713
round_shots,300,200,200,200,100,100,100,100,100,100
round_queries,300,600,2200,7400,14900,47300,168700,647300,2737900,71237500
round_k,1,5,18,74,236,843,3236,13689,64781,356187
round_shots,400,300,200,200,100,100,100,100,100
round_queries,400,900,2200,8200,17500,56700,194100,749900,15328500
round_k,1,5,20,87,283,970,3749,16022,76642
round_shots,300,300,200,200,100,100,100,100,100,100
round_queries,300,900,2200,7400,14900,46700,168300,645500,2737100,70728500
round_k,1,5,18,74,233,841,3227,13685,64424,353642
round_shots,500,400,200,100,100,100,100,100,100,100
round_queries,500,1200,2200,3300,10300,32300,110700,413900,1683500,39726100
round_k,1,5,16,51,161,553,2069,8417,38160,198630
round_shots,300,300,200,100,100,100,100,100,100,100
round_queries,300,900,2200,4500,14100,47100,166900,637100,2686700,69727500
round_k,1,5,22,70,235,834,3185,13433,63597,348637
round_shots,300,200,200,200,100,100,100,100,100
round_queries,300,600,2200,7400,16100,54700,196500,767500,15737500
round_k,1,5,18,80,273,982,3837,16396,78687
round_shots,400,300,100,100,100,100,100,100,100,100
round_queries,400,900,1100,3300,10100,32300,111100,415300,1681700,37108300
round_k,1,5,16,50,161,555,2076,8408,36391,185541
round_shots,500,200,200,200,100,100,100,100,100
round_queries,500,600,2200,7400,16100,53900,193100,750500,15415900
round_k,1,5,18,80,269,965,3752,16116,77079
round_shots,600,300,200,200,100,100,100,100,100
round_queries,600,900,2200,8200,16300,54300,196100,752500,15227500
round_k,1,5,20,81,271,980,3762,15968,76137
round_shots,400,200,200,200,100,100,100,100,100
round_queries,400,600,2200,8200,16700,52900,191500,734700,14931900
round_k,1,5,20,83,264,957,3673,15659,74659
round_shots,200,300,100,200,100,100,100,100,100,100
round_queries,200,900,1100,6600,13300,42900,153300,579100,2426100,61309300
round_k,1,5,16,66,214,766,2895,12130,56561,306546
round_shots,500,200,100,200,100,100,100,100,100,100
round_queries,500,600,1100,6600,14700,46500,161500,619100,2588500,66648100
