round_shots,1400,500,300,200
round_queries,1400,2500,5700,9400
round_k,0,2,9,23
round_shots,2300,600,500,300
round_queries,2300,3000,6500,9900
round_k,0,2,6,16
round_shots,1400,600,500,300
round_queries,1400,3000,6500,9900
round_k,0,2,6,16
round_shots,1800,600,300,200
round_queries,1800,3000,5700,9400
round_k,0,2,9,23
round_shots,2600,400,500,200
round_queries,2600,2000,7500,7400
round_k,0,2,7,18
round_shots,1700,600,200,200
round_queries,1700,3000,3800,8600
round_k,0,2,9,21
round_shots,1900,600,300,200
round_queries,1900,3000,5700,10200
round_k,0,2,9,25
round_shots,1800,600,600,300
round_queries,1800,3000,7800,9900
round_k,0,2,6,16
round_shots,1700,600,400,300,100
round_queries,1700,3000,5200,8700,6100
round_k,0,2,6,14,30
round_shots,2100,600,500,500,100
round_queries,2100,3000,6500,14500,6900
round_k,0,2,6,14,34
round_shots,1100,500,300,200
round_queries,1100,2500,5700,9400
round_k,0,2,9,23
round_shots,2700,600,300,100
round_queries,2700,3000,5700,5100
round_k,0,2,9,25
round_shots,1900,600,300,200
round_queries,1900,3000,5700,9400
round_k,0,2,9,23
round_shots,2200,400,400,200,100
round_queries,2200,2000,5200,5400,5500
round_k,0,2,6,13,27
round_shots,2000,600,300,200
round_queries,2000,3000,5700,9400
round_k,0,2,9,23
round_shots,1800,600,200,200
round_queries,1800,3000,3800,8600
round_k,0,2,9,21
round_shots,1600,600,500,300
round_queries,1600,3000,6500,9900
round_k,0,2,6,16
round_shots,2000,500,400,300
round_queries,2000,2500,5200,9900
round_k,0,2,6,16
round_shots,1600,600,300,200
round_queries,1600,3000,5700,8600
round_k,0,2,9,21
round_shots,2200,500,300,200
round_queries,2200,2500,5700,10200
round_k,0,2,9,25
round_shots,2600,500,300,200
round_queries,2600,2500,5700,9400
round_k,0,2,9,23
round_shots,2300,500,500,200
round_queries,2300,2500,6500,7400
round_k,0,2,6,18
round_shots,2600,500,300,200
round_queries,2600,2500,5700,10200
round_k,0,2,9,25
round_shots,1900,600,400,400
round_queries,1900,3000,5200,11600
round_k,0,2,6,14
round_shots,1900,600,500,400,100
round_queries,1900,3000,6500,11600,6500
round_k,0,2,6,14,32
round_shots,1200,400,600,300
round_queries,1200,2000,7800,9900
round_k,0,2,6,16
round_shots,2400,500,300,200
round_queries,2400,2500,5700,9400
round_k,0,2,9,23
round_shots,2100,500,300,200
round_queries,2100,2500,5700,9400
round_k,0,2,9,23
round_shots,2200,300,500,200
round_queries,2200,1500,6500,7400
round_k,0,2,6,18
round_shots,1500,600,300,200
round_queries,1500,3000,5700,9400
round_k,0,2,9,23
