round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,22300,110900,570700
round_k,0,1,5,22,111,554,2853
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4500,23100,116100,602900
round_k,0,1,5,22,115,580,3014
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5500,26700,136700,710100
round_k,0,1,5,27,133,683,3550
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,21100,102900,532500
round_k,0,1,5,20,105,514,2662
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,3100,14100,70100,363100
round_k,0,1,3,15,70,350,1815
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,3100,14100,71300,374300
round_k,0,1,3,15,70,356,1871
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,3300,16300,81700,408900
round_k,0,1,3,16,81,408,2044
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,18900,97100,503500
round_k,0,1,5,20,94,485,2517
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,12100,61300,310900
round_k,0,2,11,60,306,1554
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,25100,124700,641100
round_k,0,1,5,25,125,623,3205
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,1900,8500,42700,224900
round_k,0,1,3,9,42,213,1124
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1500,5900,27300,137700,719700
round_k,0,1,7,29,136,688,3598
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19500,94900,475700
round_k,0,1,5,20,97,474,2378
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,2700,13100,64100,317100
round_k,0,1,4,13,65,320,1585
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19700,94300,472700
round_k,0,1,5,20,98,471,2363
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,1900,8700,42900,216100
round_k,0,1,3,9,43,214,1080
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5500,26100,136100,710700
round_k,0,1,5,27,130,680,3553
round_shots,200,100,100,100,100,100
round_queries,200,700,1900,8500,39900,207100
round_k,0,3,9,42,199,1035
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1500,6100,28100,141300,732100
round_k,0,1,7,30,140,706,3660
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,20300,102100,534900
round_k,0,1,5,22,101,510,2674
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19900,100500,528500
round_k,0,1,5,20,99,502,2642
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,25100,127100,662500
round_k,0,1,5,24,125,635,3312
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,1900,8300,42300,220500
round_k,0,1,3,9,41,211,1102
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4700,22300,112900,588100
round_k,0,1,5,23,111,564,2940
round_shots,200,100,100,100,100,100
round_queries,200,700,2300,11900,58700,292700
round_k,0,3,11,59,293,1463
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,3300,15300,80300,420100
round_k,0,1,3,16,76,401,2100
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,18700,93100,476100
round_k,0,1,5,20,93,465,2380
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,23300,116300,596900
round_k,0,1,5,23,116,581,2984
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,26100,129500,662700
round_k,0,1,5,25,130,647,3313
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,20300,105300,543900
round_k,0,1,5,20,101,526,2719
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1500,5300,25300,132900,686700
round_k,0,1,7,26,126,664,3433
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,2700,13100,66100,337300
round_k,0,1,3,13,65,330,1686
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,26300,136900,712700
round_k,0,1,5,25,131,684,3563
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,21300,108100,558300
round_k,0,1,5,22,106,540,2791
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,19900,101300,519100
round_k,0,1,5,19,99,506,2595
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,2300,9700,48700,252700
round_k,0,1,3,11,48,243,1263
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,25300,131500,668300
round_k,0,1,5,26,126,657,3341
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,9700,56100,287100
round_k,0,2,9,48,280,1435
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,18500,95300,500700
round_k,0,1,5,20,92,476,2503
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19100,91300,469700
round_k,0,1,5,20,95,456,2348
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,18900,96500,499100
round_k,0,1,5,20,94,482,2495
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,24300,126700,660700
round_k,0,1,5,24,121,633,3303
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,22700,115100,573100
round_k,0,1,5,22,113,575,2865
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,20300,102700,531300
round_k,0,1,5,20,101,513,2656
round_shots,200,100,100,100,100,100
round_queries,200,500,1500,7900,38700,197100
round_k,0,2,7,39,193,985
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,18700,95300,495300
round_k,0,1,5,20,93,476,2476
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19100,94900,494900
round_k,0,1,5,20,95,474,2474
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,2900,13700,67700,340100
round_k,0,1,3,14,68,338,1700
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,2300,12100,59700,310700
round_k,0,1,3,11,60,298,1553
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,17100,83100,419100
round_k,0,1,5,18,85,415,2095
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,3100,14700,75900,393700
round_k,0,1,3,15,73,379,1968
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,24100,125100,648300
round_k,0,1,5,24,120,625,3241
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,6700,32300,158100
round_k,0,1,7,33,161,790
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,20100,102300,526100
round_k,0,1,5,20,100,511,2630
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4700,23100,115300,605700
round_k,0,1,5,23,115,576,3028
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,2300,10900,53900,277100
round_k,0,1,3,11,54,269,1385
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4500,19900,101500,527500
round_k,0,1,5,22,99,507,2637
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,3300,16100,80500,420500
round_k,0,1,3,16,80,402,2102
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,2300,11500,54700,281100
round_k,0,1,3,11,57,273,1405
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,7700,37300,192500
round_k,0,2,7,38,186,962
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,20700,101300,516700
round_k,0,1,5,20,103,506,2583
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,9700,47300,242100
round_k,0,2,11,48,236,1210
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8700,44100,228500
round_k,0,2,9,43,220,1142
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,24700,128700,659300
round_k,0,1,5,24,123,643,3296
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,25100,126900,652700
round_k,0,1,5,26,125,634,3263
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1500,5700,27900,141900,733100
round_k,0,1,7,28,139,709,3665
round_shots,200,100,100,100,100,100
round_queries,200,700,3300,15300,76100,386900
round_k,0,3,16,76,380,1934
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,23300,118700,625500
round_k,0,1,5,24,116,593,3127
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,19300,102500,538900
round_k,0,1,5,18,96,512,2694
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,3300,15700,81100,422100
round_k,0,1,3,16,78,405,2110
round_shots,200,100,100,100,100,100
round_queries,200,700,2300,9900,47900,234500
round_k,0,3,11,49,239,1172
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,26700,136100,708100
round_k,0,1,5,25,133,680,3540
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,19900,104500,552500
round_k,0,1,5,20,99,522,2762
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,20300,102300,523100
round_k,0,1,5,20,101,511,2615
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,18700,96100,490100
round_k,0,1,5,20,93,480,2450
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4700,21700,106500,547300
round_k,0,1,5,23,108,532,2736
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,23500,122300,624300
round_k,0,1,5,24,117,611,3121
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,3500,19700,97700,502500
round_k,0,1,5,17,98,488,2512
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,26100,131500,685700
round_k,0,1,5,25,130,657,3428
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,3300,13900,66900,345300
round_k,0,1,3,16,69,334,1726
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1500,6300,28700,142100,746300
round_k,0,1,7,31,143,710,3731
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4500,21700,111700,572900
round_k,0,1,5,22,108,558,2864
round_shots,100,100,100,100,100,100,100
