round_k,4,16,66,199,672,2473,7871,35791
round_shots,1400,200,300,200,200,100,100
round_queries,1400,1800,9300,26200,104200,186300,3076100
round_k,4,15,65,260,931,3172,15380
round_shots,900,300,200,200,100,200,100
round_queries,900,2100,5000,15800,31900,205800,1810700
round_k,3,12,39,159,514,2326,9053
round_shots,900,300,200,200,100,100,100,100
round_queries,900,2100,5000,17800,34300,117700,404900,6682500
round_k,3,12,44,171,588,2024,7984,33412
round_shots,1300,200,200,200,200,100,100,100
round_queries,1300,1400,4600,14600,56200,104100,347500,5016900
round_k,3,11,36,140,520,1737,6856,25084
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,2100,5000,19400,37300,122500,450100,6766900
round_k,3,12,48,186,612,2250,7524,33834
round_shots,1300,300,200,200,100,100,100
round_queries,1300,2700,8200,34200,73300,260500,3684100
round_k,4,20,85,366,1302,4877,18420
round_shots,1300,200,200,200,100,100,100
round_queries,1300,1800,6600,22600,46300,151300,2386500
round_k,4,16,56,231,756,2711,11932
round_shots,1000,400,400,200,100,200,100,100
round_queries,1000,2800,10800,16200,29700,191000,419700,6119900
round_k,3,13,40,148,477,2098,6585,30599
round_shots,900,200,200,200,200,100,100,100
round_queries,900,1400,5000,16200,49800,104900,340700,4129300
round_k,3,12,40,124,524,1703,6686,20646
round_shots,1400,400,200,200,200,100,100
round_queries,1400,2800,5000,18200,75800,147300,2245300
round_k,3,12,45,189,736,2709,11226
round_shots,1100,200,200,200,200,100,100,100
round_queries,1100,600,1800,6600,21000,47500,162700,2000300
round_k,1,4,16,52,237,813,3008,10001
round_shots,1500,300,200,100,200,100,100
round_queries,1500,2100,5000,10100,64200,137100,2019900
round_k,3,12,50,160,685,2523,10099
round_shots,1596,288,192,192,96,96,96,96
round_queries,1596,2016,4800,15552,32736,104352,325152,4386912
round_k,3,12,40,170,543,1693,5362,22848
round_shots,1400,300,200,100,100,100,100
round_queries,1400,2700,8600,15100,49500,167700,2578100
round_k,4,21,75,247,838,3161,12890
round_shots,1400,200,200,100,100,100,100,100
round_queries,1400,1400,5000,9300,28700,95500,341300,3633300
round_k,3,12,46,143,477,1706,5636,18166
round_shots,1596,288,288,192,192,192,96,96
round_queries,1596,2016,6624,14400,47040,222528,333792,5160288
round_k,3,11,37,122,579,1738,6240,26876
round_shots,1500,300,200,200,200,100,100,100
round_queries,1500,2100,5000,17800,68200,144300,474900,7636700
round_k,3,12,44,170,721,2374,9730,38183
round_shots,1100,400,200,200,100,100,200
round_queries,1100,2800,5000,17800,38300,125700,3596600
round_k,3,12,44,191,628,2221,8991
round_shots,1500,300,200,200,100,100,100
round_queries,1500,2700,8200,29400,63500,191700,2884500
round_k,4,20,73,317,958,3484,14422
round_shots,1400,300,200,200,200,200,100
round_queries,1400,2700,8200,34200,118600,377400,3208500
round_k,4,20,85,296,943,4216,16042
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,2100,5000,19800,44700,155500,485900,5489700
round_k,3,12,49,223,777,2429,8278,27448
round_shots,1300,200,200,200,100,100,100
round_queries,1300,1800,6600,23400,51900,177500,3132100
round_k,4,16,58,259,887,3361,15660
round_shots,1400,300,200,300,300,100,100,100
round_queries,1400,2100,5000,27300,89700,110700,391700,6830900
round_k,3,12,45,149,553,1958,7887,34154
round_shots,1500,300,300,200,200,200,100
round_queries,1500,2700,9300,22600,83000,297800,2309900
round_k,4,15,56,207,744,3268,11549
round_shots,1596,288,288,192,96,96,288,96
round_queries,1596,2016,6624,15936,33312,106464,1096992,6428640
round_k,3,11,41,173,554,1904,7774,33482
round_shots,1000,200,200,300,100,200,100,100
round_queries,1000,600,1800,9300,12300,73800,150300,2312100
round_k,1,4,15,61,184,751,2810,11560
round_shots,1300,300,200,100,100,200,100
round_queries,1300,2700,8200,15700,48500,295000,2324700
round_k,4,20,78,242,737,3090,11623
round_shots,1596,288,192,192,96,96,96,96
round_queries,1596,2016,4800,15936,33120,109728,389280,6207840
round_k,3,12,41,172,571,2027,7970,32332
round_shots,1500,200,100,200,100,100,100,100
round_queries,1500,1800,3300,19800,38500,118300,414300,7262900
round_k,4,16,49,192,591,2071,7416,36314
round_shots,900,200,200,100,200,100,100,100
round_queries,900,1400,5000,10700,64600,139500,457700,5451900
round_k,3,12,53,161,697,2288,6982,27259
round_shots,600,300,200,300,300,200,200,200,100
round_queries,600,900,1800,8100,24300,48600,166200,654600,7299100
round_k,1,4,13,40,121,415,1636,8012,36495
round_shots,1400,200,200,200,200,300,100,100
round_queries,1400,1800,6200,22600,87400,551700,589700,7513300
round_k,4,15,56,218,919,2948,9339,37566
round_shots,1596,384,288,192,192,96,96,96
round_queries,1596,2688,7776,19392,80064,148896,449568,6793632
round_k,3,13,50,208,775,2341,7959,35383
round_shots,1100,200,300,200,200,100,100,100,100
round_queries,1100,600,2700,6600,22600,40700,124100,441900,7800500
round_k,1,4,16,56,203,620,2209,8545,39002
round_shots,1300,400,200,200,200,100,100
round_queries,1300,2800,5000,20200,87400,188500,2878700
round_k,3,12,50,218,942,3610,14393
round_shots,1100,300,200,200,200,100,100
round_queries,1100,2100,5000,19400,79400,175300,2110700
round_k,3,12,48,198,876,2708,10553
round_shots,800,300,200,200,100,200,100
round_queries,800,2100,5000,16600,36300,236200,2021100
round_k,3,12,41,181,590,2493,10105
round_shots,1000,200,300,200,200,200,100,100
round_queries,1000,600,2700,6600,27800,119400,210900,2874300
round_k,1,4,16,69,298,1054,4004,14371
round_shots,1500,400,200,300,100,100,100,100
round_queries,1500,2800,5000,23700,27300,84700,305300,5139100
round_k,3,12,39,136,423,1526,5816,25695
round_shots,1500,300,300,200,100,100,100,100
round_queries,1500,2700,9300,19800,37500,123300,434700,5238900
round_k,4,15,49,187,616,2173,8664,26194
round_shots,900,300,200,200,100,100,100
round_queries,900,2100,5000,19800,43100,148300,2163500
