round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,9000,30300,145100,719300,3670900
round_k,0,1,5,22,151,725,3596,18354
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,22900,61500,309700,1278700,6397700
round_k,0,1,6,26,114,307,1548,6393,31988
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,900,4500,23100,157000,481700,2177900
round_k,0,1,4,22,115,392,2408,10889
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,27100,59900,227100,1065100,5402100
round_k,0,1,6,31,135,299,1135,5325,27010
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,17700,45900,104900,387100,1961700
round_k,0,1,5,19,88,229,524,1935,9808
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,1900,9100,21300,67900,337900,1698900
round_k,0,1,3,9,45,106,339,1689,8494
round_shots,200,100,100,100,200,100,100,100,100
round_queries,200,300,1300,3500,23400,61900,296500,1508300,7785100
round_k,0,1,6,17,58,309,1482,7541,38925
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,2900,7100,30500,128700,647700,3294500
round_k,0,1,5,14,35,152,643,3238,16472
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4500,15100,39100,195500,929900,4742500
round_k,0,1,6,22,75,195,977,4649,23712
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,3900,23400,29900,101300,493700,2520100
round_k,0,1,5,19,58,149,506,2468,12600
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,4700,40600,132500,635100,3236900
round_k,0,1,6,23,101,662,3175,16184
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,3700,28600,86300,400300,2051500
round_k,0,1,5,18,71,431,2001,10257
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,4500,46200,141700,702500,3486900
round_k,0,1,4,22,115,708,3512,17434
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,25700,100100,372100,1224700,6170500
round_k,0,1,5,26,128,500,1860,6123,30852
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,30500,149500,758100,3834300
round_k,0,1,6,31,152,747,3790,19171
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,900,3700,11900,84200,229500,1060700,5292700
round_k,0,1,4,18,59,210,1147,5303,26463
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,16500,74900,377300,1893900
round_k,0,1,6,27,82,374,1886,9469
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,17300,38300,149100,726700,3694700
