round_shots,2300,600,400,500,500,400,400,600,200,300,200,200,200,200,200,200
round_queries,2300,3000,5200,14500,33500,70000,158000,497400,411400,1256100,1860600,3728200,7531000,16338200,35881800,81643400
round_k,0,2,6,14,33,87,197,414,1028,2093,4651,9320,18827,40845,89704,204108
round_shots,3200,600,500,500,400,400,400,200,300,300,400,300,300,400,300,200
round_queries,3200,3000,5500,11500,19600,45200,94000,109000,350700,980100,3393200,5770500,11597700,31738800,61662900,100847400
round_k,0,2,5,11,24,56,117,272,584,1633,4241,9617,19329,39673,102771,252118
round_shots,3200,600,500,600,300,400,200,300,200,200,200,200,200,200,200,100
round_queries,3200,3000,6500,17400,21900,67600,95800,290700,499400,1078600,2425000,5521400,11729000,25816200,55899800,57959300
round_k,0,2,6,14,36,84,239,484,1248,2696,6062,13803,29322,64540,139749,289796
round_shots,2200,600,500,500,200,300,200,200,200,200,200,300,300,200,200,200,100
round_queries,2200,3000,6500,14500,13400,41700,57800,123000,279800,600600,1325400,4190100,8489700,12455000,26437800,60325400,68683900
round_k,0,2,6,14,33,69,144,307,699,1501,3313,6983,14149,31137,66094,150813,343419
round_shots,2600,700,500,500,400,500,300,300,200,300,200,300,300,400,300
round_queries,2600,3500,6500,14500,24400,62500,84300,213900,399000,1200900,2117400,6773100,17706900,56194800,106263900
round_k,0,2,6,14,30,62,140,356,997,2001,5293,11288,29511,70243,177106
round_shots,2500,700,500,400,400,700,300,300,300,200,300,200,200,300,400,300
round_queries,2500,3500,6500,11600,24400,91700,81300,183900,389700,654600,1964100,3503000,7891800,25205700,68061200,127067700
round_k,0,2,6,14,30,65,135,306,649,1636,3273,8757,19729,42009,85076,211779
round_shots,1700,600,600,1000,300,300,200,200,300,300,200,200,200,300,200,100
round_queries,1700,3000,7800,29000,18300,47700,83000,175800,576900,1447500,2265400,4849800,10685000,34667700,55715000,56617700
round_k,0,2,6,14,30,79,207,439,961,2412,5663,12124,26712,57779,139287,283088
round_shots,2000,500,400,400,500,500,200,300,400,300,400,300,300,300,200,200
round_queries,2000,2500,5200,11600,33500,77500,84200,264900,751600,1430700,4732400,7604100,15879300,32325300,51555400,110896200
round_k,0,2,6,14,33,77,210,441,939,2384,5915,12673,26465,53875,128888,277240
round_shots,2800,500,600,400,1100,400,200,200,200,200,300,200,200,200,300,100
round_queries,2800,2500,7800,12400,71500,58000,90600,181400,399000,876600,2937900,5126600,11469400,25985800,80452500,66979300
round_k,0,2,6,15,32,72,226,453,997,2191,4896,12816,28673,64964,134087,334896
round_shots,3200,500,600,400,600,300,300,300,200,200,200,200,300,300,300,100
round_queries,3200,2500,7800,12400,39000,47100,110100,301500,525800,1077000,2319000,5157800,17179500,35186700,74376300,58738900
round_k,0,2,6,15,32,78,183,502,1314,2692,5797,12894,28632,58644,123960,293694
round_shots,2100,600,500,500,500,300,300,200,200,200,200,200,200,200,200,200,100
round_queries,2100,3000,5500,11500,24500,39300,78900,142200,290200,597400,1280600,2667800,5881400,13339800,28669000,59383000,66615700
round_k,0,2,5,11,24,65,131,355,725,1493,3201,6669,14703,33349,71672,148457,333078
round_shots,2100,600,500,500,400,400,400,200,200,200,200,200,300,300,300,300
round_queries,2100,3000,6500,14500,24400,57200,124400,146200,297400,633000,1269800,2669000,8652900,21299700,55265100,124543500
round_k,0,2,6,14,30,71,155,365,743,1582,3174,6672,14421,35499,92108,207572
round_shots,2300,500,600,800,300,400,200,200,200,200,200,200,200,200,200,200,100
round_queries,2300,2500,7800,23200,18300,53200,64600,131400,263000,575800,1205400,2579800,5869400,13225400,30082600,68845800,75339700
round_k,0,2,6,14,30,66,161,328,657,1439,3013,6449,14673,33063,75206,172114,376698
round_shots,2200,700,400,400,400,300,300,400,200,200,200,200,200,200,200,200
round_queries,2200,3500,5200,11600,26800,42900,86100,266000,378200,835400,1773800,3869400,8747800,20001800,45707800,99464200
round_k,0,2,6,14,33,71,143,332,945,2088,4434,9673,21869,50004,114269,248660
round_shots,1400,600,400,300,200,200,200,200,200,200,200,200,200,200,200,200,100
round_queries,1400,3000,4400,6900,11800,24600,50600,102200,222200,485400,1048200,2248200,4624200,10118200,22863000,50459400,57120900
round_k,0,2,5,11,29,61,126,255,555,1213,2620,5620,11560,25295,57157,126148,285604
round_shots,1800,500,500,600,300,300,200,300,300,200,200,200,200,200,200,300,100
round_queries,1800,2500,5500,15000,17700,44700,64200,204900,504900,726200,1464600,3231000,7272600,15145800,32142200,96639300,72622300
round_k,0,2,5,12,29,74,160,341,841,1815,3661,8077,18181,37864,80355,161065,363111
round_shots,2400,700,500,700,300,200,300,300,400,100,100,100,300,300,200,200
round_queries,2400,3500,6500,20300,18300,32600,101700,212100,699600,370900,777100,1651700,10451700,26742900,37205400,81447000
round_k,0,2,6,14,30,81,169,353,874,1854,3885,8258,17419,44571,93013,203617
round_shots,1800,600,300,200,200,200,200,200,200,300,200,200,200,200,300,200
round_queries,1800,3000,3300,4600,9400,19800,39800,83000,184600,576900,1020200,2288200,5181800,11583800,39119700,71390200
round_k,0,2,5,11,23,49,99,207,461,961,2550,5720,12954,28959,65199,178475
round_shots,1600,500,600,500,400,400,200,400,200,200,300,300,300,300,100,200
round_queries,1600,2500,7800,15500,28400,65200,81800,331600,463000,952200,2954700,6159900,12602700,27026700,19540900,83720200
round_k,0,2,6,15,35,81,204,414,1157,2380,4924,10266,21004,45044,97704,209300
round_shots,2600,600,400,400,400,300,300,200,200,200,200,200,200,200,200,300,100
round_queries,2600,3000,5200,11600,23600,39300,93300,130200,287800,609000,1318200,2994600,6209800,13070600,29166600,94064100,71730900
round_k,0,2,6,14,29,65,155,325,719,1522,3295,7486,15524,32676,72916,156773,358654
round_shots,1600,500,500,400,400,300,300,400,200,300,200,300,200,200,200,200
round_queries,1600,2500,5500,10000,21200,32100,66300,186800,249800,778500,1333000,4325700,7338200,16073000,36592200,83462600
round_k,0,2,5,12,26,53,110,233,624,1297,3332,7209,18345,40182,91480,208656
round_shots,1900,700,300,400,400,300,200,200,200,200,200,200,300,200,200,100
round_queries,1900,3500,3900,12400,26800,55500,103400,221400,456600,1006600,2244600,4954200,16092300,29605000,65877400,74779300
round_k,0,2,6,15,33,92,258,553,1141,2516,5611,12385,26820,74012,164693,373896
round_shots,2100,600,500,400,400,300,300,200,200,200,200,300,300,300,300,100
round_queries,2100,3000,5500,10000,21200,35700,95100,162600,346600,731400,1569000,5154900,12533100,31997100,83736900,70022500
round_k,0,2,5,12,26,59,158,406,866,1828,3922,8591,20888,53328,139561,350112
round_shots,1900,600,500,300,300,500,300,200,200,200,200,200,200,200,200,200
round_queries,1900,3000,6500,8700,17700,59500,77700,129800,283000,613000,1275800,2875800,6505000,14847000,33855000,76296200
round_k,0,2,6,14,29,59,129,324,707,1532,3189,7189,16262,37117,84637,190740
round_shots,2500,600,400,300,300,200,200,300,200,200,200,200,200,200,300,200
round_queries,2500,3000,5200,9300,23700,33000,71000,216300,343800,761000,1695800,3703400,8319400,18805400,57345300,87415800
round_k,0,2,6,15,39,82,177,360,859,1902,4239,9258,20798,47013,95575,218539
round_shots,2100,500,500,400,200,300,200,200,200,200,200,200,200,300,300,200
round_queries,2100,2500,5500,9200,13000,40500,65800,139800,309000,676600,1515400,3450200,7879000,25980300,59263500,96307400
round_k,0,2,5,11,32,67,164,349,772,1691,3788,8625,19697,43300,98772,240768
round_shots,2500,600,500,500,500,200,300,400,200,300,200,200,200,200,300,100
round_queries,2500,3000,5500,12500,26500,27800,90300,245200,295000,957300,1763800,3903400,8805000,20049400,68352900,61352900
round_k,0,2,5,12,26,69,150,306,737,1595,4409,9758,22012,50123,113921,306764
round_shots,2500,600,400,400,200,300,200,300,200,300,200,200,200,200,200,200
round_queries,2500,3000,4400,9200,10600,32100,59400,178500,271000,827700,1486200,3373000,7673400,17522600,39745000,88686600
round_k,0,2,5,11,26,53,148,297,677,1379,3715,8432,19183,43806,99362,221716
round_shots,1900,500,600,500,300,300,200,200,200,200,200,200,200,200,200,300,100
round_queries,1900,2500,6600,12500,15900,33900,46200,101800,209400,466200,1021000,2288200,4881400,10383000,23693000,81056100,69022900
round_k,0,2,5,12,26,56,115,254,523,1165,2552,5720,12203,25957,59232,135093,345114
round_shots,1900,600,600,400,200,200,300,300,200,300,200,200,200,400,400,100
round_queries,1900,3000,7800,11600,13000,27400,89100,235500,330200,1005300,1682200,3570200,8115800,34040400,90702800,62753500
round_k,0,2,6,14,32,68,148,392,825,1675,4205,8925,20289,42550,113378,313767
round_shots,2100,600,600,400,500,400,200,300,200,200,200,300,200,200,200,200
round_queries,2100,3000,7800,11600,30500,62000,73000,231900,382200,855400,1841400,5978700,10268600,21727800,49274600,111635400
round_k,0,2,6,14,30,77,182,386,955,2138,4603,9964,25671,54319,123186,279088
round_shots,1900,500,500,400,400,400,300,300,200,200,200,200,300,200,200
round_queries,1900,2500,6500,14800,31600,74800,127500,327300,576200,1281000,2884600,6523800,20200500,35858600,81441000
round_k,0,2,6,18,39,93,212,545,1440,3202,7211,16309,33667,89646,203602
round_shots,2800,500,500,500,300,300,400,200,200,200,200,300,200,200,200,200
round_queries,2800,2500,6500,14500,23700,48900,137200,185800,385800,798200,1666600,5379300,9442200,21543400,49000600,111544600
round_k,0,2,6,14,39,81,171,464,964,1995,4166,8965,23605,53858,122501,278861
round_shots,3000,600,500,500,500,400,400,400,300,300,400,200,300,300,200,100
round_queries,3000,3000,6500,14500,33500,69200,142000,306800,473100,1029300,3059600,3741800,11709900,30525900,51424600,53742300
round_k,0,2,6,14,33,86,177,383,788,1715,3824,9354,19516,50876,128561,268711
round_shots,1900,600,600,800,400,300,200,200,200,300,200,200,300,200,200
round_queries,1900,3000,7800,23200,26800,65700,105800,227400,490200,1599900,2717400,5766600,19452900,33873400,74481800
round_k,0,2,6,14,33,109,264,568,1225,2666,6793,14416,32421,84683,186204
round_shots,2100,500,500,400,400,400,200,300,200,200,200,200,200,200,200,100
round_queries,2100,2500,6500,12400,26800,60400,100200,316500,552600,1182200,2504600,5391400,11759000,25847400,57037000,64983700
round_k,0,2,6,15,33,75,250,527,1381,2955,6261,13478,29397,64618,142592,324918
round_shots,1900,600,400,300,400,300,300,200,200,200,200,300,300,300,300,100
round_queries,1900,3000,5200,9300,31600,57300,126900,199000,417400,925800,2028600,6459300,17479500,45105300,97869900,76891900
round_k,0,2,6,15,39,95,211,497,1043,2314,5071,10765,29132,75175,163116,384459
round_shots,2200,700,500,300,300,300,300,300,200,200,300,200,300,200,300,200
round_queries,2200,3500,5500,6900,14100,28500,57300,117900,210600,424600,1418100,2564200,8616900,14094600,45432900,79453800
round_k,0,2,5,11,23,47,95,196,526,1061,2363,6410,14361,35236,75721,198634
round_shots,2200,600,400,500,300,200,300,300,200,300,200,200,300,300,300,100
round_queries,2200,3000,5200,14500,20100,33800,105300,249900,350600,1067700,1921800,4022200,12812100,34561500,81685500,59302700
round_k,0,2,6,14,33,84,175,416,876,1779,4804,10055,21353,57602,136142,296513
round_shots,2400,700,500,400,400,500,400,300,200,300,300,200,200,200,200,100
round_queries,2400,3500,6500,11600,24400,65500,144400,255900,371000,1226700,3317700,5579000,12650600,27016200,60364200,68709900
round_k,0,2,6,14,30,65,180,426,927,2044,5529,13947,31626,67540,150910,343549
round_shots,2000,700,500,300,300,400,300,200,200,200,200,200,300,400,200,100
round_queries,2000,3500,6500,10500,23100,64400,110100,203800,461000,945400,1989400,4457400,14780100,48958000,63790600,69487300
round_k,0,2,6,17,38,80,183,509,1152,2363,4973,11143,24633,61197,159476,347436
round_shots,2600,600,600,400,300,400,200,300,200,300,300,300,300,200,200,100
round_queries,2600,3000,7800,11600,23100,62000,85400,258300,441400,1386900,3164700,6494100,13747500,24385000,55254200,63005900
round_k,0,2,6,14,38,77,213,430,1103,2311,5274,10823,22912,60962,138135,315029
round_shots,2200,700,400,600,300,300,300,300,200,200,200,200,300,200,200,200
round_queries,2200,3500,5200,17400,20100,45300,92100,191700,325800,670600,1415000,3176200,10766100,17600200,35683800,73947000
