round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4700,23100,112900,560100,2823700,14268700,71899700
round_k,0,1,5,23,115,564,2800,14118,71343,359498
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,23900,116300,581300,2920900,14610100,74135300
round_k,0,1,6,24,119,581,2906,14604,73050,370676
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,27100,129900,638900,3155100,15916900
round_k,0,1,6,30,135,649,3194,15775,79584
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4700,21500,106100,530300,2661700,13454300,68190900
round_k,0,1,5,23,107,530,2651,13308,67271,340954
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,28100,137100,677700,3389300,17064700
round_k,0,1,6,31,140,685,3388,16946,85323
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4700,23100,110900,546900,2765300,14008500,71059300
round_k,0,1,5,23,115,554,2734,13826,70042,355296
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5500,25100,116100,552100,2795700,17023500
round_k,0,1,6,27,125,580,2760,13978,85117
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,25700,125500,615100,3080300,15589700
round_k,0,1,6,25,128,627,3075,15401,77948
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1500,6500,30300,145100,720700,3606300,18290500
round_k,0,1,7,32,151,725,3603,18031,91452
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4700,20300,99500,464700,2252700,11206700,56717100
round_k,0,1,5,23,101,497,2323,11263,56033,283585
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22700,107700,525300,2643700,13343300,66996700
round_k,0,1,5,24,113,538,2626,13218,66716,334983
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,20500,95700,463300,2313700,11657500,59043300
round_k,0,1,5,22,102,478,2316,11568,58287,295216
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,24700,118900,589500,2935500,14842300,75146100
round_k,0,1,6,26,123,594,2947,14677,74211,375730
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19900,99500,494300,2505700,12694500,64213700
round_k,0,1,5,20,99,497,2471,12528,63472,321068
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6300,27100,131100,656700,3310700,16727500
round_k,0,1,6,31,135,655,3283,16553,83637
round_shots,300,200,100,100,100,100,100,100,100
round_queries,300,600,1500,6300,28700,140900,710500,3591100,18186100
round_k,0,1,7,31,143,704,3552,17955,90930
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6500,31700,155900,771900,3877900,19668700
round_k,0,1,7,32,158,779,3859,19389,98343
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23500,115700,573500,2877100,14569500,73885500
round_k,0,1,5,25,117,578,2867,14385,72847,369427
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,18100,90300,448700,2221900,11198100,56402100
round_k,0,1,5,20,90,451,2243,11109,55990,282010
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1500,6300,29700,142500,710500,3595900,18115900
round_k,0,1,7,31,148,712,3552,17979,90579
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1700,7700,34300,167700,835300,4237100,21372900
round_k,0,1,8,38,171,838,4176,21185,106864
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5100,23100,112900,571500,2816500,14070100,71390900
round_k,0,1,6,25,115,564,2857,14082,70350,356954
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,25300,125700,613500,3082300,15626100
round_k,0,1,6,25,126,628,3067,15411,78130
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,6300,26900,123500,646700,3240100,16421500
round_k,0,1,6,31,134,617,3233,16200,82107
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,23700,118900,588900,2979100,15013300,75534500
round_k,0,1,5,24,118,594,2944,14895,75066,377672
round_shots,200,200,100,100,100,100,100,100,100,100
round_queries,200,600,1300,5300,24100,113900,560300,2827100,14299700,72508500
round_k,0,1,6,26,120,569,2801,14135,71498,362542
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,19700,99100,491900,2458900,12435700,63041900
round_k,0,1,5,20,98,495,2459,12294,62178,315209
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24300,119700,603100,3047500,15383100,78010300
round_k,0,1,6,25,121,598,3015,15237,76915,390051
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,22500,106500,531100,2655900,13413500,67786300
round_k,0,1,5,22,112,532,2655,13279,67067,338931
round_shots,300,200,100,100,100,100,100,100,100
round_queries,300,600,1700,7700,37300,180700,905700,4566100,23120500
round_k,0,1,8,38,186,903,4528,22830,115602
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,25300,124100,621300,3100900,15718700
round_k,0,1,6,25,126,620,3106,15504,78593
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,7300,30300,143300,721300,3615500,18289300
round_k,0,1,7,36,151,716,3606,18077,91446
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,17900,85300,415700,2101700,10634900,53785300
round_k,0,1,5,19,89,426,2078,10508,53174,268926
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,22100,96500,466500,2320300,11731900,59476700
round_k,0,1,6,25,110,482,2332,11601,58659,297383
round_shots,200,100,100,100,100,100,100,100,100,100
