round_k,1,6,19,99
round_shots,600,400,200,100,100
round_queries,600,1200,2200,3900,51300
round_k,1,5,19,62,256
round_shots,200,400,300,200,100
round_queries,200,1200,2700,5400,33300
round_k,1,4,13,48,166
round_shots,300,400,200,100
round_queries,300,1200,2600,18300
round_k,1,6,24,91
round_shots,600,400,100,100,100
round_queries,600,1200,1300,3900,50300
round_k,1,6,19,62,251
round_shots,300,400,200,100,100
round_queries,300,1200,2600,5100,72100
round_k,1,6,25,95,360
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,52300
round_k,1,5,19,62,261
round_shots,300,300,200,100,100
round_queries,300,900,2200,4100,44100
round_k,1,5,20,65,220
round_shots,600,300,200,100,100
round_queries,600,900,2200,3900,53700
round_k,1,5,19,62,268
round_shots,600,300,200,100
round_queries,600,900,2200,18500
round_k,1,5,24,92
round_shots,200,300,200,100
round_queries,200,900,2200,17700
round_k,1,5,24,88
round_shots,300,300,200,100,100
round_queries,300,900,2200,4900,73300
round_k,1,5,24,84,366
round_shots,900,400,100,100
round_queries,900,3600,3700,54500
round_k,4,18,65,272
round_shots,300,400,400,100,100
round_queries,300,1200,3600,3700,47500
round_k,1,4,18,60,237
round_shots,500,400,100,200,100
round_queries,500,1200,1300,7800,64500
round_k,1,6,19,78,322
round_shots,400,300,100,100,100
round_queries,400,900,1100,3500,41500
round_k,1,5,17,55,207
round_shots,400,300,200,100
round_queries,400,900,2200,18500
round_k,1,5,24,92
round_shots,500,400,200,100
round_queries,500,1200,2200,23100
round_k,1,5,23,115
round_shots,400,400,300,200,100
round_queries,400,1200,2700,5400,37700
round_k,1,4,13,55,188
round_shots,500,300,200,100,100
round_queries,500,900,2200,5100,69900
round_k,1,5,25,79,349
round_shots,300,400,200,100,100
round_queries,300,1200,2200,4900,52500
round_k,1,5,24,78,262
round_shots,300,300,200,100,100
round_queries,300,900,2200,3700,53100
round_k,1,5,18,60,265
round_shots,400,300,200,100
round_queries,400,900,2600,30500
round_k,1,6,29,152
round_shots,400,300,100,200,100
round_queries,400,900,1100,6600,31300
round_k,1,5,16,49,156
round_shots,300,300,100,100,100
round_queries,300,900,1100,3700,49700
round_k,1,5,18,61,248
round_shots,300,400,200,100,100
round_queries,300,1200,2200,3700,49300
round_k,1,5,18,60,246
round_shots,500,400,200,100,100
round_queries,500,1200,2200,4900,68100
round_k,1,5,24,85,340
round_shots,300,400,200,100
round_queries,300,1200,2600,23300
round_k,1,6,31,116
round_shots,300,400,200,100,100
round_queries,300,1200,2200,3900,42100
round_k,1,5,19,62,210
round_shots,500,400,100,100,100
round_queries,500,1200,1100,3500,40700
round_k,1,5,17,54,203
round_shots,300,400,200,100,100
round_queries,300,1200,2600,5100,70500
round_k,1,6,25,90,352
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,43500
round_k,1,5,19,72,217
round_shots,400,300,200,100,100
round_queries,400,900,2200,4900,68100
round_k,1,5,24,83,340
round_shots,400,400,200,200,100
round_queries,400,1200,2200,8200,69100
round_k,1,5,20,82,345
round_shots,700,400,200,100
round_queries,700,1200,2600,28100
round_k,1,6,29,140
round_shots,700,300,200,100
round_queries,700,900,2200,17300
round_k,1,5,24,86
round_shots,400,300,200,100,100
round_queries,400,900,2200,4900,66500
round_k,1,5,24,78,332
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,55100
round_k,1,5,19,68,275
round_shots,700,300,200,100,100
round_queries,700,900,2200,3700,51900
round_k,1,5,18,66,259
round_shots,400,300,200,200,100
round_queries,400,900,2200,7800,53500
round_k,1,5,19,73,267
round_shots,500,400,200,100
round_queries,500,1200,2600,22100
round_k,1,6,31,110
round_shots,300,300,200,100
round_queries,300,900,2200,18700
round_k,1,5,24,93
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,52500
round_k,1,5,19,62,262
round_shots,200,400,200,100,100
round_queries,200,1200,2200,4900,69300
round_k,1,5,24,89,346
round_shots,500,400,100,100,100
round_queries,500,1200,1100,3500,43300
round_k,1,5,17,54,216
round_shots,300,400,200,200
round_queries,300,1200,2600,35400
round_k,1,6,24,88
round_shots,400,300,100,100,100
round_queries,400,900,1300,3900,55500
round_k,1,6,19,66,277
round_shots,200,400,100,100,100
round_queries,200,1200,1300,3900,50500
round_k,1,6,19,62,252
round_shots,300,300,200,100
round_queries,300,900,2600,23300
round_k,1,6,30,116
round_shots,600,400,200,100,100
round_queries,600,1200,2200,3900,49300
round_k,1,5,19,62,246
round_shots,400,300,200,100
round_queries,400,900,2200,19900
round_k,1,5,19,99
round_shots,200,300,200,100
round_queries,200,900,2600,19900
round_k,1,6,30,99
round_shots,300,400,200,100
round_queries,300,1200,2600,20700
round_k,1,6,30,103
round_shots,500,400,200,100,100
round_queries,500,1200,2200,5100,59900
round_k,1,5,25,78,299
round_shots,500,400,100,100,100
round_queries,500,1200,1300,3900,54700
round_k,1,6,19,72,273
round_shots,600,300,200,100
round_queries,600,900,2200,17700
round_k,1,5,24,88
round_shots,400,400,200,100
round_queries,400,1200,2200,18100
round_k,1,5,23,90
round_shots,300,300,200,100
round_queries,300,900,2200,26300
round_k,1,5,24,131
round_shots,200,400,300,200,100
round_queries,200,1200,2700,5400,45700
round_k,1,4,13,55,228
round_shots,600,400,100,200,100
round_queries,600,1200,1300,8200,70900
round_k,1,6,20,82,354
round_shots,300,400,200,100
round_queries,300,1200,2600,21100
round_k,1,6,30,105
round_shots,700,300,200,100
round_queries,700,900,2200,20500
round_k,1,5,25,102
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,53900
round_k,1,5,19,62,269
round_shots,200,400,100,100,100
round_queries,200,1200,1300,3900,51300
round_k,1,6,19,64,256
round_shots,400,400,200,100,100
round_queries,400,1200,2600,5100,57700
round_k,1,6,25,80,288
round_shots,500,300,200,200,100
round_queries,500,900,2200,8200,42500
round_k,1,5,20,68,212
round_shots,400,300,100,100,100
round_queries,400,900,1300,3900,52300
round_k,1,6,19,62,261
round_shots,500,400,200,100
round_queries,500,1200,2600,20700
round_k,1,6,30,103
