round_k,0,1,5,24,118,565,2760,13898,70174,355216
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,25700,127900,638700,3237300,16369700
round_k,0,1,6,25,128,639,3193,16186,81848
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,28100,137100,687700,3447100,17387900
round_k,0,1,6,30,140,685,3438,17235,86939
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,19900,95700,478100,2404500,11997100,60214500
round_k,0,1,5,22,99,478,2390,12022,59985,301072
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,21900,102700,506700,2549100,12877900,65271500
round_k,0,1,6,25,109,513,2533,12745,64389,326357
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,24300,115700,565100,2844100,14374100,72813300
round_k,0,1,6,25,121,578,2825,14220,71870,364066
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1500,7500,36500,177700,866900,4360500,22014900
round_k,0,1,7,37,182,888,4334,21802,110074
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4500,19900,96900,482700,2411900,12091500,61081900
round_k,0,1,5,22,99,484,2413,12059,60457,305409
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,25300,120300,598500,3009900,15240100,77186500
round_k,0,1,5,25,126,601,2992,15049,76200,385932
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,24500,118900,598700,2999700,15193100,77011100
round_k,0,1,5,24,122,594,2993,14998,75965,385055
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1300,4900,21700,107900,527700,2656700,13474900,68712500
round_k,0,1,6,24,108,539,2638,13283,67374,343562
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5300,24900,124500,618100,3116900,15742300
round_k,0,1,5,26,124,622,3090,15584,78711
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,20500,96900,473300,2373700,12024300,60795100
round_k,0,1,6,23,102,484,2366,11868,60121,303975
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,30900,150900,759900,3740900,18992100
round_k,0,1,6,31,154,754,3799,18704,94960
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,22500,108300,544500,2732500,13803700,73472500
round_k,0,1,6,24,112,541,2722,13662,69018,367362
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,26900,132500,665500,3352100,16955300
round_k,0,1,6,29,134,662,3327,16760,84776
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,22300,115300,582500,2891100,14479500,73106500
round_k,0,1,5,24,111,576,2912,14455,72397,365532
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,20900,104700,522500,2605300,13062500,65945500
round_k,0,1,5,24,104,523,2612,13026,65312,329727
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6100,30300,153100,758900,3819300,19377500
round_k,0,1,6,30,151,765,3794,19096,96887
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5700,23500,111900,551500,2757900,13893100,69980900
round_k,0,1,6,28,117,559,2757,13789,69465,349904
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22500,114900,573500,2896500,14609100,73991300
round_k,0,1,5,24,112,574,2867,14482,73045,369956
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4100,18900,90100,449500,2265500,11449500,57763900
round_k,0,1,5,20,94,450,2247,11327,57247,288819
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1300,4900,23100,115500,576100,2911300,14711500,73898300
round_k,0,1,6,24,115,577,2880,14556,73557,369491
