round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2700,10900,52900,261900,1313900,6734900
round_k,0,3,13,54,264,1309,6569,33674
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,12300,58900,294100,1492500,7646700
round_k,0,3,12,61,294,1470,7462,38233
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3300,12900,63300,316300,1604700
round_k,0,1,4,16,64,316,1581,8023
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3100,13100,65100,323500,1652100
round_k,0,1,4,15,65,325,1617,8260
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,900,3300,12900,55500,274500,1394500,7159300
round_k,0,1,4,16,64,277,1372,6972,35796
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2500,11300,55300,275300,1413100,7231900
round_k,0,3,12,56,276,1376,7065,36159
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,12100,59300,268900,1357700,7002100
round_k,0,3,12,60,296,1344,6788,35010
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2500,10500,44500,219700,1101100,5628500
round_k,0,3,12,52,222,1098,5505,28142
round_shots,300,100,100,100,100,100,100,100
round_queries,300,500,2300,10700,50700,253900,1298700,6661300
round_k,0,2,11,53,253,1269,6493,33306
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3100,15500,70100,350700,1770700
round_k,0,4,15,77,350,1753,8853
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2300,11300,52100,255900,1312100,6687300
round_k,0,3,11,56,260,1279,6560,33436
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10500,45300,217700,1105100,5682300
round_k,0,3,12,52,226,1088,5525,28411
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13900,68100,335500,1711900
round_k,0,1,4,16,69,340,1677,8559
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2500,10500,51100,202500,1000100,5064500
round_k,0,3,12,52,255,1012,5000,25322
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,3100,11900,60500,241300,1141300,5776700
round_k,0,3,15,59,302,1206,5706,28883
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3900,15300,73300,361700,1839500
round_k,0,1,4,19,76,366,1808,9197
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3500,16300,78500,395700,2025300
round_k,0,4,17,81,392,1978,10126
round_shots,400,100,100,100,100,100,100
round_queries,400,900,4100,20300,103300,526900,2670100
round_k,0,4,20,101,516,2634,13350
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2700,12300,57500,289100,1461500,7534300
round_k,0,3,13,61,287,1445,7307,37671
round_shots,400,100,100,100,100,100,100
round_queries,400,900,4100,20700,91500,462100,2358500
round_k,0,4,20,103,457,2310,11792
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,9900,50100,248100,1261300,6497500
round_k,0,3,12,49,250,1240,6306,32487
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,14300,70700,352300,1801900
round_k,0,1,4,16,71,353,1761,9009
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2900,12700,56900,274900,1400900,7177900
round_k,0,3,14,63,284,1374,7004,35889
round_shots,400,100,100,100,100,100,100,100,100
round_queries,400,300,900,3100,12700,56700,280100,1428300,7326500
round_k,0,1,4,15,63,283,1400,7141,36632
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,14500,69500,347100,1771900
round_k,0,4,16,72,347,1735,8859
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,15500,78900,400500,2033100
round_k,0,4,16,77,394,2002,10165
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10100,49700,251900,1293500,6603500
round_k,0,3,12,50,248,1259,6467,33017
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,15300,70100,350500,1796700
round_k,0,4,16,76,350,1752,8983
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,9100,42500,209700,1061900,5386300
round_k,0,2,11,45,212,1048,5309,26931
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,9700,45100,220700,1126100,5761700
round_k,0,3,12,48,225,1103,5630,28808
round_shots,400,100,100,100,100,100,100
round_queries,400,700,3100,14500,69300,352500,1799500
round_k,0,3,15,72,346,1762,8997
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1700,6500,32500,163300,814700,4137300
round_k,0,2,8,32,162,816,4073,20686
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3300,15900,77100,389100,1986700
round_k,0,1,4,16,79,385,1945,9933
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3100,14700,73900,371100,1892100
round_k,0,3,15,73,369,1855,9460
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,9900,49700,251500,1286900,6582100
round_k,0,3,12,49,248,1257,6434,32910
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3900,18900,88700,437500,2217700
round_k,0,1,4,19,94,443,2187,11088
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,16700,78900,351900,1756700
round_k,0,1,4,16,83,394,1759,8783
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,4100,18900,89500,449900,2290700
round_k,0,1,4,20,94,447,2249,11453
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3100,12700,63700,324900,1655300
round_k,0,1,4,15,63,318,1624,8276
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3300,12900,61300,304900,1564300
round_k,0,1,4,16,64,306,1524,7821
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,15500,74100,373100,1896300
round_k,0,4,16,77,370,1865,9481
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3100,15100,64500,317700,1601500
round_k,0,3,15,75,322,1588,8007
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,9500,40900,204900,1017100,5199300
round_k,0,3,12,47,204,1024,5085,25996
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10500,45500,190100,921500,4720300
round_k,0,3,12,52,227,950,4607,23601
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2500,12300,62900,322300,1627500
round_k,0,3,12,61,314,1611,8137
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2300,9100,43900,221700,1122900,5645900
round_k,0,3,11,45,219,1108,5614,28229
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,13900,63500,323700,1639300
round_k,0,1,4,16,69,317,1618,8196
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10700,48700,245700,1246700,6405100
