round_shots,1000,700,300,300,300,300,200,200,200,200,200,200,200,200,200,400,100
round_queries,1000,2100,2100,4500,11100,25500,39800,82600,173400,377000,831400,1733800,3929400,8575800,17919800,72854800,46797700
round_k,0,1,3,7,18,42,99,206,433,942,2078,4334,9823,21439,44799,91068,233988
round_shots,1400,600,300,400,300,200,300,200,200,300,300,400,300,300,300,200
round_queries,1400,1800,2100,6000,9900,14600,47100,86200,176200,541500,1450500,4313200,8260500,20552700,52221900,90811800
round_k,0,1,3,7,16,36,78,215,440,902,2417,5391,13767,34254,87036,227029
round_shots,1300,800,300,300,300,200,200,200,200,200,200,300,300,200,200,200,100
round_queries,1300,2400,2100,4500,12300,21800,45000,99000,225000,483800,1077800,3560700,9032100,13974600,30842200,67759800,70732100
round_k,0,1,3,7,20,54,112,247,562,1209,2694,5934,15053,34936,77105,169399,353660
round_shots,1400,600,300,300,200,300,200,300,200,200,200,200,200,200,200,200,200
round_queries,1400,1800,2100,4500,6600,21900,36600,118500,191400,403400,889400,2004600,4487800,9334600,19387400,42124200,90015000
round_k,0,1,3,7,16,36,91,197,478,1008,2223,5011,11219,23336,48468,105310,225037
round_shots,1600,500,400,500,200,200,200,200,300,300,400,300,300,200,200,200,100
round_queries,1600,1500,2800,7500,9400,21000,44200,91400,300300,756900,2186000,3700500,7450500,11001800,24251800,53477800,61106100
round_k,0,1,3,7,23,52,110,228,500,1261,2732,6167,12417,27504,60629,133694,305530
round_shots,1800,800,300,300,300,200,200,200,300,300,300,200,200,200,300,300,100
round_queries,1800,2400,2100,4500,11100,17800,37000,77000,255300,608700,1536900,2749000,5851000,13056200,39251100,85359300,71820500
round_k,0,1,3,7,18,44,92,192,425,1014,2561,6872,14627,32640,65418,142265,359102
round_shots,1200,600,300,300,300,200,200,200,200,200,200,200,200,200,200,200,200
round_queries,1200,1800,2100,4500,9900,17000,37000,74600,165400,355800,787000,1675000,3688200,8204600,18420200,39259400,88746200
round_k,0,1,3,7,16,42,92,186,413,889,1967,4187,9220,20511,46050,98148,221865
round_shots,1400,700,300,400,300,200,300,200,200,200,300,200,200,200,200,200
round_queries,1400,2100,2100,6000,13500,19400,62700,106200,224200,497800,1667100,2962200,6603000,14937800,33322200,75607800
round_k,0,1,3,7,22,48,104,265,560,1244,2778,7405,16507,37344,83305,189019
round_shots,1100,700,300,300,300,200,300,300,400,400,300,300,200,300,200,200
round_queries,1100,2100,2100,4500,11100,17000,53100,128700,398800,1090800,2214300,4577700,8077800,25496100,43367000,99085000
round_k,0,1,3,7,18,42,88,214,498,1363,3690,7629,20194,42493,108417,247712
round_shots,1600,700,300,300,300,300,200,200,200,200,200,300,200,200,200,200,200
round_queries,1600,2100,2100,4500,9900,24300,41400,83400,183800,399400,896200,2803500,4613000,9507800,21130600,45165800,96627000
round_k,0,1,3,7,16,40,103,208,459,998,2240,4672,11532,23769,52826,112914,241567
round_shots,1500,1000,300,300,300,300,200,200,200,200,200,200,200,200,200,300
round_queries,1500,3000,2100,4500,9900,25500,45000,97400,212600,470200,1037800,2349400,5359400,11562600,26199400,88755300
round_k,0,1,3,7,16,42,112,243,531,1175,2594,5873,13398,28906,65498,147925
round_shots,1700,500,300,300,300,200,200,200,200,200,200,200,200,300,300,200,200
round_queries,1700,1500,2100,4500,12300,18600,38600,84600,187000,412600,941000,2126200,4753400,14814300,34593900,51150600,103943000
round_k,0,1,3,7,20,46,96,211,467,1031,2352,5315,11883,24690,57656,127876,259857
round_shots,1200,400,300,400,300,200,200,200,200,200,200,200,300,200,200,200,200
round_queries,1200,1200,2100,6000,9900,14600,29800,66200,135400,287400,625000,1417400,4421100,7402600,16329400,34439400,73119800
round_k,0,1,3,7,16,36,74,165,338,718,1562,3543,7368,18506,40823,86098,182799
