round_shots,100,100,100,100,100,100
round_queries,100,500,2300,8500,39100,199300
round_k,0,2,11,42,195,996
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100,100
round_queries,100,500,1300,5900,27900,146100,756500
round_k,0,2,6,29,139,730,3782
round_shots,100,100,100,100,100,100
round_queries,100,500,2700,11500,55700,284500
round_k,0,2,13,57,278,1422
round_shots,100,100,100,100,100,100
round_queries,100,500,2700,8700,41900,211300
round_k,0,2,13,43,209,1056
round_shots,100,100,100,100,100,100,100
round_queries,100,500,1500,5700,28300,145500,762700
round_k,0,2,7,28,141,727,3813
round_shots,100,100,100,100,100,100
round_queries,100,500,2700,12700,63900,330500
round_k,0,2,13,63,319,1652
round_shots,100,100,100,100,100,100,100
round_queries,100,500,1500,5700,26700,133700,672900
round_k,0,2,7,28,133,668,3364
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,6100,30100,150300
round_k,0,2,7,30,150,751
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,9300,45700,240300
round_k,0,2,10,46,228,1201
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,7100,35700,181700
round_k,0,2,8,35,178,908
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,6300,29900,150100
round_k,0,2,8,31,149,750
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2700,8500,37900,196700
round_k,0,2,13,42,189,983
round_shots,100,100,100,100,100,100
round_queries,100,500,2700,12700,65900,346900
round_k,0,2,13,63,329,1734
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,8900,42300,213300
round_k,0,2,10,44,211,1066
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,5900,28900,149100
round_k,0,2,7,29,144,745
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,6300,31700,159300
round_k,0,2,8,31,158,796
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,8300,39900,207500
round_k,0,2,10,41,199,1037
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,11100,54300,287500
round_k,0,2,15,55,271,1437
round_shots,100,100,100,100,100,100
round_queries,100,500,1900,9900,48100,250500
round_k,0,2,9,49,240,1252
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,9500,47700,249100
round_k,0,2,10,47,238,1245
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2300,11100,56700,291500
round_k,0,2,11,55,283,1457
round_shots,100,100,100,100,100,100
round_queries,100,500,1900,8500,41300,211300
round_k,0,2,9,42,206,1056
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,6900,34300,180100
round_k,0,2,7,34,171,900
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,8500,50900,254900
round_k,0,2,10,42,254,1274
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,8100,38700,195700
round_k,0,2,10,40,193,978
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,7300,37100,192500
round_k,0,2,8,36,185,962
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,7700,35900,187500
round_k,0,2,10,38,179,937
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,8500,39300,200300
round_k,0,2,10,42,196,1001
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2700,9700,45900,238300
round_k,0,2,13,48,229,1191
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,6700,32300,158700
round_k,0,2,7,33,161,793
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,9900,51300,259500
round_k,0,2,10,49,256,1297
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,6700,31700,156700
round_k,0,2,7,33,158,783
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,9100,46700,242100
round_k,0,2,10,45,233,1210
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,9900,50300,254100
round_k,0,2,10,49,251,1270
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,8500,40900,209300
round_k,0,2,10,42,204,1046
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,9500,45500,235300
round_k,0,2,10,47,227,1176
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,7100,34900,178500
round_k,0,2,8,35,174,892
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1900,6900,31900,164700
round_k,0,2,9,34,159,823
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,6500,30100,152500
round_k,0,2,7,32,150,762
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,8500,43500,223900
round_k,0,2,10,42,217,1119
round_shots,100,100,100,100,100,100
round_queries,100,500,2300,10100,51900,258100
round_k,0,2,11,50,259,1290
round_shots,100,100,100,100,100,100,100
round_queries,100,500,1300,5100,23900,122100,640100
round_k,0,2,6,25,119,610,3200
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,7100,33500,172900
round_k,0,2,7,35,167,864
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100,100
round_queries,100,500,1500,5700,28700,140900,741300
round_k,0,2,7,28,143,704,3706
round_shots,100,100,100,100,100,100
round_queries,100,500,2700,11700,56100,286500
round_k,0,2,13,58,280,1432
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,8100,39700,195700
round_k,0,2,8,40,198,978
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,8500,40900,205500
round_k,0,2,10,42,204,1027
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,10700,54300,285700
round_k,0,2,10,53,271,1428
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,7900,36900,190100
round_k,0,2,10,39,184,950
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,5900,30100,155500
round_k,0,2,7,29,150,777
round_shots,100,100,100,100,100,100
round_queries,100,500,2700,9700,45100,231100
round_k,0,2,13,48,225,1155
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,7700,39100,199300
round_k,0,2,8,38,195,996
round_shots,100,100,100,100,100,100
round_queries,100,500,2700,12500,62300,326900
round_k,0,2,13,62,311,1634
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,2100,10700,50100,253500
round_k,0,2,10,53,250,1267
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,7900,40100,209700
round_k,0,2,8,39,200,1048
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,19500,123100,777100
round_k,0,2,15,97,615,3885
round_shots,100,100,100,100,100,100
round_queries,100,500,3100,14300,68700,356700
round_k,0,2,15,71,343,1783
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,6900,31700,163900
round_k,0,2,8,34,158,819
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,7500,38700,200100
