round_shots,400,300,300,300,400,800,1100,300,200,300,200,200,200
round_queries,400,900,2100,5100,15600,66400,196900,189300,306600,921900,1480200,3282200,7475400
round_k,0,1,3,8,19,41,89,315,766,1536,3700,8205,18688
round_shots,500,300,200,200,300,500,1200,200,300,300,300,200,200
round_queries,500,900,1400,3000,9900,35500,183600,143800,456900,1068900,2445300,4096600,9377800
round_k,0,1,3,7,16,35,76,359,761,1781,4075,10241,23444
round_shots,400,300,200,200,300,900,1100,400,300,200,200,200,200,100
round_queries,400,900,1400,3000,9300,63900,163900,209200,386700,617800,1335000,2933800,6711800,7633500
round_k,0,1,3,7,15,35,74,261,644,1544,3337,7334,16779,38167
round_shots,400,300,300,300,800,1100,300,300,200,200,200,200,200,100
round_queries,400,900,2100,4500,26400,73700,68700,164100,263400,583000,1260200,2791800,6423400,6877100
round_k,0,1,3,7,16,33,114,273,658,1457,3150,6979,16058,34385
round_shots,400,300,200,200,200,500,1100,300,300,200,200,200,200
round_queries,400,900,1400,3000,6200,31500,148500,161100,390300,631800,1394200,3174200,6955800
round_k,0,1,3,7,15,31,67,268,650,1579,3485,7935,17389
round_shots,400,400,200,300,300,700,1300,200,200,300,300,400,100
round_queries,400,1200,1400,4500,12300,60900,240500,181800,367400,1125300,2729700,9586000,6588700
round_k,0,1,3,7,20,43,92,454,918,1875,4549,11982,32943
round_shots,400,300,200,300,200,200,200,300,200,200,300,700,1100
round_queries,400,900,1400,4500,7000,15000,32200,104100,184200,427800,1286700,6822900,22634700
round_k,0,1,3,7,17,37,80,173,460,1069,2144,4873,10288
round_shots,600,300,300,200,300,1100,900,300,400,300,300,300,200
round_queries,600,900,2100,3000,9300,73700,123300,122700,389200,800100,1924500,4895100,8373800
round_k,0,1,3,7,15,33,68,204,486,1333,3207,8158,20934
round_shots,400,300,300,300,300,1100,1000,600,400,300,200,200,200
round_queries,400,900,2100,5100,14100,115500,217000,390600,704400,1161900,1921800,3964600,8749800
round_k,0,1,3,8,23,52,108,325,880,1936,4804,9911,21874
round_shots,500,300,200,300,200,200,500,1400,700,300,200,200,200,100
round_queries,500,900,1400,4500,6600,14600,74500,460600,476700,612900,861400,1796200,3855000,4648500
round_k,0,1,3,7,16,36,74,164,340,1021,2153,4490,9637,23242
round_shots,500,300,300,200,400,1500,900,200,300,200,200,200,200,100
round_queries,500,900,2100,3400,14000,109500,132300,88200,287100,475800,1031400,2345800,5344600,6100100
round_k,0,1,3,8,17,36,73,220,478,1189,2578,5864,13361,30500
round_shots,500,300,300,300,500,1200,300,300,200,200,200,200,200
round_queries,500,900,2100,5100,19500,99600,116100,279300,437400,971000,2213000,5036600,11570600
round_k,0,1,3,8,19,41,193,465,1093,2427,5532,12591,28926
round_shots,400,300,300,300,200,300,300,1600,300,500,300,100
round_queries,400,900,2100,5700,9400,31500,68100,888000,993900,3823500,6200100,5292500
round_k,0,1,3,9,23,52,113,277,1656,3823,10333,26462
round_shots,400,300,200,200,200,500,1200,300,300,200,200,200,200
