round_shots,100,100,200,100
round_queries,100,300,1800,17300
round_k,1,4,18,86
round_shots,200,200,100,100,100
round_queries,200,600,900,2700,39900
round_k,1,4,13,52,199
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,68300
round_k,1,4,14,64,341
round_shots,100,200,200,100
round_queries,100,600,1800,15500
round_k,1,4,17,77
round_shots,100,100,200,100
round_queries,100,300,1800,14300
round_k,1,4,17,71
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,54700
round_k,1,4,13,55,273
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,77500
round_k,1,4,16,70,387
round_shots,100,200,100,100
round_queries,100,600,1100,18100
round_k,1,5,20,90
round_shots,200,100,100,100,100
round_queries,200,300,900,2900,56100
round_k,1,4,14,56,280
round_shots,100,100,200,100
round_queries,100,300,1800,21100
round_k,1,4,23,105
round_shots,200,200,100,100,100
round_queries,200,600,900,3300,68100
round_k,1,4,16,69,340
round_shots,200,100,100,100
round_queries,200,300,900,15500
round_k,1,4,17,77
round_shots,100,200,100,100
round_queries,100,600,1100,14300
round_k,1,5,16,71
round_shots,100,200,100,100
round_queries,100,600,1500,22300
round_k,1,7,24,111
round_shots,100,200,100,100
round_queries,100,600,1100,14900
round_k,1,5,16,74
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,67900
round_k,1,4,13,63,339
round_shots,100,200,100,100
round_queries,100,600,1100,15900
round_k,1,5,18,79
round_shots,100,200,100,100
round_queries,100,600,900,15500
round_k,1,4,17,77
round_shots,100,200,100,100,100
round_queries,100,600,900,2900,66500
round_k,1,4,14,63,332
round_shots,200,200,100,100,100
round_queries,200,600,1100,3300,67500
round_k,1,5,16,65,337
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,61300
round_k,1,4,13,58,306
round_shots,200,100,100,100
round_queries,200,300,900,14300
round_k,1,4,16,71
round_shots,100,200,100,100
round_queries,100,600,1100,15300
round_k,1,5,17,76
round_shots,100,200,100,100,100
round_queries,100,600,1100,3500,72500
round_k,1,5,17,69,362
round_shots,100,200,100,100
round_queries,100,600,1100,19100
round_k,1,5,22,95
round_shots,100,100,100,100
round_queries,100,300,900,14500
round_k,1,4,17,72
round_shots,200,200,100,100
round_queries,200,600,1100,19300
round_k,1,5,21,96
round_shots,100,100,100,100,100
