round_k,2,7,22,81,339,1724
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,30100,760100
round_k,2,11,39,150,694,3800
round_shots,300,100,200,100,100,100
round_queries,300,300,1800,3700,13900,292500
round_k,1,4,18,69,296,1462
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9300,184500
round_k,2,13,46,192,922
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9100,174100
round_k,2,13,45,186,870
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,26700,642700
round_k,2,9,34,133,609,3213
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,5900,21900,526900
round_k,2,9,29,109,501,2634
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5700,22300,521100
round_k,2,9,28,111,489,2605
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,21100,464900
round_k,2,9,30,105,442,2324
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24100,546700
round_k,2,9,30,120,522,2733
round_shots,400,200,100,100,100,100
round_queries,400,1000,1500,4700,17700,373500
round_k,2,7,23,88,384,1867
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6700,26300,619900
round_k,2,9,33,131,579,3099
round_shots,400,100,200,100,100,100
round_queries,400,300,1800,3700,13300,271700
round_k,1,4,18,66,273,1358
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,27100,665100
round_k,2,9,32,135,612,3325
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,28300,716300
round_k,2,11,37,141,662,3581
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,22500,508500
round_k,2,9,30,112,483,2542
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,24500,581300
round_k,2,9,30,122,550,2906
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,28300,709100
round_k,2,9,35,141,651,3545
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24300,565300
round_k,2,9,30,121,538,2826
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22900,525900
round_k,2,9,30,114,512,2629
round_shots,400,300,100,100,100
round_queries,400,1500,2700,10100,185900
round_k,2,13,50,198,929
round_shots,500,300,100,100,100,100
round_queries,500,1500,1700,5500,21300,507700
round_k,2,8,27,106,483,2538
round_shots,300,200,100,100,100
round_queries,300,1000,2300,9100,168100
round_k,2,11,45,183,840
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23100,520900
round_k,2,9,30,115,499,2604
round_shots,300,300,100,100,100,100
round_queries,300,1500,2300,7500,30500,682100
round_k,2,11,37,152,653,3410
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,29100,743900
round_k,2,9,35,145,682,3719
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8500,157100
round_k,2,11,42,169,785
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6700,24500,570100
round_k,2,9,33,122,538,2850
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,31300,763500
round_k,2,11,37,156,695,3817
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,21900,467100
round_k,2,9,30,109,468,2335
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25100,585900
round_k,2,9,32,125,553,2929
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,30100,736100
round_k,2,11,37,150,685,3680
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,27100,651300
round_k,2,9,32,135,622,3256
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,7300,29900,756700
round_k,2,9,36,149,698,3783
round_shots,300,300,100,100,100
round_queries,300,1500,2300,8300,145900
round_k,2,11,41,162,729
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7500,144700
round_k,2,11,37,156,723
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6900,25900,609300
round_k,2,9,34,129,573,3046
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6700,26500,644500
round_k,2,9,33,132,594,3222
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,26700,645700
round_k,2,9,32,133,604,3228
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,17300,375100
round_k,2,7,23,86,387,1875
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,27100,693900
round_k,2,9,34,135,636,3469
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25900,649100
round_k,2,9,32,129,601,3245
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,22500,531700
round_k,2,9,30,112,498,2658
round_shots,500,300,100,100,100
round_queries,500,1500,2700,9300,180900
round_k,2,13,46,189,904
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,28500,696900
round_k,2,11,37,142,642,3484
round_shots,300,100,100,100,100,100
round_queries,300,300,900,2700,9300,175500
round_k,1,4,13,46,184,877
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7700,149300
round_k,2,11,38,162,746
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,27900,676700
round_k,2,9,35,139,623,3383
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,26100,615500
round_k,2,9,32,130,584,3077
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,150900
round_k,2,11,39,163,754
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,24500,563900
round_k,2,9,32,122,529,2819
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22700,549900
round_k,2,9,30,113,524,2749
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8300,166100
round_k,2,11,41,173,830
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22500,536100
round_k,2,9,30,112,509,2680
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,28700,707100
round_k,2,11,37,143,656,3535
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,4700,17900,414900
round_k,2,7,23,89,398,2074
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,26500,631900
round_k,2,9,32,132,597,3159
round_shots,300,300,100,100,100
round_queries,300,1500,2300,8300,153700
round_k,2,11,41,165,768
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7500,141700
round_k,2,11,37,157,708
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,21900,532500
round_k,2,9,30,109,500,2662
round_shots,300,100,200,100,100,100
round_queries,300,500,3000,6700,25300,610100
round_k,2,7,33,126,576,3050
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,23500,566300
round_k,2,9,30,117,540,2831
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22700,531500
round_k,2,9,30,113,510,2657
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,29300,712100
round_k,2,11,39,146,652,3560
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,7100,27100,637100
round_k,2,9,35,135,606,3185
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,22500,477900
round_k,2,9,30,112,460,2389
round_shots,500,300,100,100,100,100
round_queries,500,1500,2300,7700,30500,759100
round_k,2,11,38,152,698,3795
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23500,555500
round_k,2,9,30,117,521,2777
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,29100,748500
round_k,2,9,35,145,680,3742
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,5100,20300,449900
round_k,2,7,25,101,443,2249
round_shots,400,100,200,100,100,100
round_queries,400,300,1800,3700,14500,278300
round_k,1,4,18,72,278,1391
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,24500,601100
round_k,2,9,32,122,561,3005
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,28500,703100
round_k,2,9,34,142,646,3515
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9700,195300
round_k,2,13,48,203,976
round_shots,300,200,200,100,100,100
round_queries,300,600,1800,3700,12900,254100
round_k,1,4,18,64,263,1270
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,6300,24300,580100
round_k,2,8,31,121,543,2900
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,21700,516700
round_k,2,9,30,108,493,2583
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,25900,634100
round_k,2,9,34,129,585,3170
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,7900,32100,759900
round_k,2,11,39,160,702,3799
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,23900,480100
round_k,2,9,32,119,474,2400
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,3300,11700,229500
round_k,1,4,16,58,243,1147
round_shots,300,300,100,100,100
round_queries,300,1500,2300,8300,155300
round_k,2,11,41,167,776
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8500,158500
round_k,2,11,42,173,792
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,5500,20500,471700
round_k,2,8,27,102,457,2358
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,30300,694900
round_k,2,11,37,151,637,3474
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,26700,644500
round_k,2,9,32,133,598,3222
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,22500,445700
round_k,2,9,30,112,478,2228
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,8300,31100,768100
round_k,2,11,41,155,704,3840
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25300,610300
round_k,2,9,32,126,565,3051
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,29700,740100
round_k,2,11,39,148,676,3700
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,25900,602300
round_k,2,9,32,129,563,3011
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7300,30100,743300
round_k,2,11,36,150,673,3716
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8900,158300
round_k,2,11,44,179,791
round_shots,300,100,200,100,100,100
round_queries,300,500,3000,6900,27100,593300
round_k,2,7,34,135,572,2966
round_shots,300,300,100,100,100
round_queries,300,1500,2700,8700,159700
round_k,2,13,43,169,798
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,23700,535700
round_k,2,9,32,118,514,2678
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6300,23700,569500
round_k,2,9,31,118,537,2847
round_shots,500,200,100,100,100
round_queries,500,1000,2300,7900,146300
round_k,2,11,39,158,731
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,24900,605100
round_k,2,9,32,124,563,3025
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,28100,675900
round_k,2,11,39,140,622,3379
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,23900,510100
round_k,2,9,30,119,495,2550
round_shots,400,300,100,100,100
round_queries,400,1500,2700,10500,204900
round_k,2,13,52,211,1024
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,3700,14500,285900
round_k,1,4,18,72,305,1429
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,5700,21300,484500
round_k,2,9,28,106,461,2422
round_shots,500,300,100,100,100
round_queries,500,1500,2300,8700,153500
round_k,2,11,43,166,767
round_shots,400,300,100,100,100
round_queries,400,1500,2700,10500,210300
round_k,2,13,52,217,1051
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,148100
round_k,2,11,41,161,740
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,149300
round_k,2,11,39,156,746
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,27700,696500
round_k,2,9,34,138,655,3482
round_shots,300,300,100,100,100
round_queries,300,1500,2700,10300,196500
round_k,2,13,51,207,982
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7900,141500
round_k,2,11,39,154,707
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,25700,589700
round_k,2,9,35,128,553,2948
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5700,20700,488100
round_k,2,9,28,103,467,2440
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,7900,28300,692500
round_k,2,11,39,141,640,3462
round_shots,400,100,100,100,100,100
round_queries,400,500,1700,6100,21900,522900
round_k,2,8,30,109,500,2614
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8700,158100
round_k,2,11,43,171,790
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,26700,659100
round_k,2,9,32,133,609,3295
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7700,29500,745500
round_k,2,11,38,147,685,3727
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,3700,12900,257300
round_k,1,4,18,64,259,1286
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,21900,451100
round_k,2,9,30,109,473,2255
round_shots,400,300,100,100,100,100
round_queries,400,1500,1700,6300,23300,560500
round_k,2,8,31,116,524,2802
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,155900
round_k,2,11,39,166,779
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,25500,601300
round_k,2,9,32,127,563,3006
round_shots,500,300,100,100,100
round_queries,500,1500,2700,9900,203700
round_k,2,13,49,209,1018
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,3300,12500,257100
round_k,1,4,16,62,259,1285
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7500,143100
round_k,2,11,37,155,715
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,26700,587900
round_k,2,9,32,133,556,2939
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6700,26900,671700
round_k,2,9,33,134,627,3358
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,152900
round_k,2,11,39,165,764
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,23900,486700
round_k,2,9,30,119,474,2433
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,24300,586900
round_k,2,9,30,121,545,2934
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,156300
round_k,2,11,41,167,781
round_shots,300,300,100,100,100
round_queries,300,1500,2700,8500,168300
round_k,2,13,42,180,841
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,160300
round_k,2,11,39,168,801
round_shots,400,200,200,100,100
round_queries,400,1000,3800,8700,162500
round_k,2,9,43,174,812
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,157300
round_k,2,11,41,171,786
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7300,30300,750500
round_k,2,9,36,151,685,3752
round_shots,500,100,100,100,100,100
round_queries,500,500,1500,4700,17300,382900
round_k,2,7,23,86,383,1914
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,26900,684900
round_k,2,9,32,134,634,3424
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,27300,672700
round_k,2,9,32,136,626,3363
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,3700,12700,260700
round_k,1,4,18,63,263,1303
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,4700,17900,394100
round_k,2,7,23,89,384,1970
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,16500,344900
round_k,2,7,23,82,347,1724
round_shots,400,200,200,100,100
round_queries,400,1000,3800,8300,158500
round_k,2,9,41,166,792
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,30300,776900
round_k,2,11,37,151,705,3884
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,148300
round_k,2,11,39,162,741
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,30700,703900
round_k,2,11,37,153,661,3519
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,24700,582700
round_k,2,9,32,123,573,2913
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,23900,554700
round_k,2,9,30,119,520,2773
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,26900,643500
round_k,2,9,34,134,603,3217
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23300,541300
round_k,2,9,30,116,517,2706
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22300,525700
round_k,2,9,30,111,496,2628
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,5500,19700,429700
round_k,2,8,27,98,421,2148
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22500,533900
round_k,2,9,30,112,508,2669
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,154500
round_k,2,11,39,163,772
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8700,164500
round_k,2,11,43,173,822
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,5100,19100,444100
round_k,2,7,25,95,435,2220
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5700,20300,472900
round_k,2,9,28,101,453,2364
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7300,28900,723900
round_k,2,9,36,144,669,3619
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5700,21100,506100
round_k,2,9,28,105,485,2530
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8500,146500
round_k,2,11,42,156,732
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9100,169100
round_k,2,13,45,178,845
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22700,526900
round_k,2,9,30,113,498,2634
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,30700,720900
round_k,2,11,37,153,665,3604
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6700,25300,594300
round_k,2,9,33,126,563,2971
round_shots,300,200,200,100,100
round_queries,300,1000,3800,8300,162100
round_k,2,9,41,170,810
round_shots,400,100,200,100,100,100
round_queries,400,300,1800,3700,12900,267100
round_k,1,4,18,64,271,1335
round_shots,400,100,200,100,100,100
round_queries,400,500,3000,6700,25300,621100
round_k,2,7,33,126,583,3105
round_shots,500,100,100,100,100,100
round_queries,500,300,900,2700,10500,213500
round_k,1,4,13,52,220,1067
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7900,155300
round_k,2,11,39,167,776
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,24900,599500
round_k,2,9,30,124,561,2997
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,27500,695300
round_k,2,9,34,137,643,3476
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,7500,29500,759500
round_k,2,11,37,147,693,3797
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8700,162500
round_k,2,11,43,171,812
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,25100,611500
round_k,2,9,30,125,568,3057
round_shots,400,100,200,100,100,100
round_queries,400,300,1800,3700,14500,309900
round_k,1,4,18,72,305,1549
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6700,27100,666700
round_k,2,9,33,135,620,3333
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22900,493500
round_k,2,9,30,114,485,2467
round_shots,300,300,100,100,100
round_queries,300,1500,2300,7900,155700
round_k,2,11,39,163,778
round_shots,300,300,100,100,100,100
round_queries,300,1500,2300,7500,27500,677500
round_k,2,11,37,137,635,3387
round_shots,300,200,100,100,100
round_queries,300,1000,2300,9100,183100
round_k,2,11,45,191,915
round_shots,300,300,100,100,100,100
round_queries,300,1500,2300,7900,31100,769100
round_k,2,11,39,155,710,3845
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9700,189100
round_k,2,13,48,197,945
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,5100,18500,434100
round_k,2,7,25,92,419,2170
