round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,18100,88900,443300,2241100,11329500,57328900
round_k,0,1,4,21,90,444,2216,11205,56647,286644
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19100,87900,434100,2141700,10806300,54764700
round_k,0,1,5,20,95,439,2170,10708,54031,273823
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16100,80500,402500,2012300,10153500,51396100
round_k,0,1,4,17,80,402,2012,10061,50767,256980
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,19300,93500,467500,2335100,11736700,59541100
round_k,0,1,4,20,96,467,2337,11675,58683,297705
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,11500,53700,265700,1335900,6747500,34248900
round_k,0,1,4,14,57,268,1328,6679,33737,171244
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,20300,100900,489900,2458100,12289100,61942300
round_k,0,1,4,20,101,504,2449,12290,61445,309711
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,17300,86300,427100,2149700,10907900,55244500
round_k,0,1,4,17,86,431,2135,10748,54539,276222
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,16300,79900,402700,2025900,10211100,51672900
round_k,0,1,5,16,81,399,2013,10129,51055,258364
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6700,32700,130700,627900,3172300,16021700
round_k,0,1,7,33,163,653,3139,15861,80108
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,15900,76700,385500,1926300,9689100,49099300
round_k,0,1,4,18,79,383,1927,9631,48445,245496
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16300,78500,393700,1991700,10056500,50805900
round_k,0,1,4,17,81,392,1968,9958,50282,254029
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,11500,57500,347500,2122500,10653300,53491300
round_k,0,1,4,13,57,287,1737,10612,53266,267456
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3500,15500,74900,374500,1855100,9377900,47122300
round_k,0,1,5,17,77,374,1872,9275,46889,235611
round_shots,100,100,100,100,100,100,100,100,100
