round_queries,2000,2800,6800,12300,31500,72900,123400,389100,636200,660300
round_k,0,3,8,20,52,121,308,648,1590,3301
round_shots,2200,400,300,300,300,300,300,400,300,100
round_queries,2200,2800,5100,11700,26700,57300,129900,398000,740100,614700
round_k,0,3,8,19,44,95,216,497,1233,3073
round_shots,3200,300,300,200,200,200,200,200,200,100
round_queries,3200,2700,7500,13400,27000,59000,128200,298600,647400,688100
round_k,0,4,12,33,67,147,320,746,1618,3440
round_shots,3400,400,300,300,300,200,200,200,200,100
round_queries,3400,2800,5100,12300,26700,47400,101000,228200,520200,558300
round_k,0,3,8,20,44,118,252,570,1300,2791
round_shots,3300,300,400,500,200,200,300,200,200,200
round_queries,3300,2100,6800,19500,17800,39000,123900,220600,479800,1112200
round_k,0,3,8,19,44,97,206,551,1199,2780
round_shots,2400,400,300,300,400,300,300,200,200,100
round_queries,2400,2800,5100,12300,45200,95700,202500,313000,659800,748700
round_k,0,3,8,20,56,159,337,782,1649,3743
round_shots,1900,400,400,300,300,200,300,200,200,200
round_queries,1900,2800,6800,11700,26700,37000,115500,183000,403000,875000
round_k,0,3,8,19,44,92,192,457,1007,2187
round_shots,3800,500,300,300,200,300,200,300,200
round_queries,3800,4500,7500,16500,22600,77100,149400,495900,835000
round_k,0,4,12,27,56,128,373,826,2087
round_shots,2800,400,300,300,200,200,200,200,200,100
round_queries,2800,2800,5100,12300,21400,49400,111800,258200,587000,680700
round_k,0,3,8,20,53,123,279,645,1467,3403
round_shots,2800,400,300,200,300,400,200,200,300,100
round_queries,2800,2800,5100,8200,24900,74800,95000,211400,695100,548100
round_k,0,3,8,20,41,93,237,528,1158,2740
round_shots,3900,400,300,300,200,200,200,200,200,100
round_queries,3900,2800,5100,12300,23000,52600,117000,263400,595800,699500
round_k,0,3,8,20,57,131,292,658,1489,3497
round_shots,2300,400,400,300,300,300,300,300,300,200
round_queries,2300,2800,6800,11700,24300,50100,108300,246900,523500,844600
round_k,0,3,8,19,40,83,180,411,872,2111
round_shots,3300,400,400,300,300,300,200,200,200,100
round_queries,3300,2800,6800,14700,36900,80100,126600,293800,693000,711900
round_k,0,3,8,24,61,133,316,734,1732,3559
round_shots,2100,400,300,300,300,300,400,200,300,200
round_queries,2100,2800,5100,11700,23700,50100,154000,175800,554100,1021400
round_k,0,3,8,19,39,83,192,439,923,2553
round_shots,2800,500,400,400,500,200,300,200,200,200,100
round_queries,2800,1500,3600,7600,20500,20600,63900,97800,210600,489800,565100
round_k,0,1,4,9,20,51,106,244,526,1224,2825
round_shots,3600,400,300,300,400,300,300,200,200
round_queries,3600,3600,7500,15300,57200,94500,237300,397400,924600
round_k,0,4,12,25,71,157,395,993,2311
round_shots,3200,400,400,300,300,300,200,200,200,100
round_queries,3200,2800,6800,12300,27900,67500,122200,277800,647800,767500
round_k,0,3,8,20,46,112,305,694,1619,3837
round_shots,2600,300,400,300,200,200,200,200,200,100
round_queries,2600,2100,6800,14700,26200,52600,113000,236200,526200,592700
round_k,0,3,8,24,65,131,282,590,1315,2963
round_shots,3500,300,300,300,200,300,200,200,200,200
round_queries,3500,2100,5100,11700,15800,50100,93800,192200,447800,1032200
round_k,0,3,8,19,39,83,234,480,1119,2580
round_shots,3100,400,400,500,300,300,200,300,300,100
round_queries,3100,2800,6800,19500,24300,55500,90600,295500,802500,730300
round_k,0,3,8,19,40,92,226,492,1337,3651
round_shots,3100,400,300,300,300,300,200,200,300,100
round_queries,3100,2800,5100,11700,24300,52500,81400,177400,565500,477900
round_k,0,3,8,19,40,87,203,443,942,2389
round_shots,2900,300,200,300,200,200,200,200,200,100
round_queries,2900,2700,5000,15300,27000,55800,128600,267800,620200,726900
round_k,0,4,12,25,67,139,321,669,1550,3634
round_shots,3100,400,400,400,300,300,200,200,200,100
round_queries,3100,2800,6800,15600,27300,60900,101000,231400,533000,616900
round_k,0,3,8,19,45,101,252,578,1332,3084
round_shots,2900,400,300,300,200,200,300,200,200
round_queries,2900,2800,5100,12300,23000,51000,170700,304600,714600
round_k,0,3,8,20,57,127,284,761,1786
round_shots,3200,400,300,300,300,200,200,200,200
round_queries,3200,3600,7500,17100,46500,89800,196200,446200,1049400
round_k,0,4,12,28,77,224,490,1115,2623
round_shots,3700,400,300,300,300,300,300,300,200,200
round_queries,3700,2800,5100,11700,24300,57300,131100,279900,465400,1029400
round_k,0,3,8,19,40,95,218,466,1163,2573
round_shots,2000,400,300,300,300,200,200,200,200,100
round_queries,2000,2800,4500,9300,26100,50600,105800,232200,533800,623900
round_k,0,3,7,15,43,126,264,580,1334,3119
round_shots,3400,400,300,300,200,200,200,200,200,100
round_queries,3400,2800,5100,12300,21800,46600,106600,249800,584600,693700
round_k,0,3,8,20,54,116,266,624,1461,3468
round_shots,3200,400,400,200,300,200,200,200,300
round_queries,3200,2800,6800,9800,31500,57000,121800,257000,855900
round_k,0,3,8,24,52,142,304,642,1426
round_shots,2800,400,300,200,300,200,200,200,200,200
round_queries,2800,2800,5100,8200,26700,42200,85800,183000,400200,923400
round_k,0,3,8,20,44,105,214,457,1000,2308
round_shots,3300,400,300,300,200,200,200,200,200,100
round_queries,3300,2800,5100,12300,23000,46200,103800,216200,463400,540900
round_k,0,3,8,20,57,115,259,540,1158,2704
round_shots,3400,400,300,300,400,300,200,200,200
round_queries,3400,3600,7500,17100,49200,89700,147400,335400,771400
round_k,0,4,12,28,61,149,368,838,1928
round_shots,3000,300,300,300,300,300,200,200,200,100
round_queries,3000,2100,4500,11700,27900,70500,120200,276200,577800,640900
round_k,0,3,7,19,46,117,300,690,1444,3204
round_shots,3700,300,300,300,300,300,200,400,200,200
round_queries,3700,2100,4500,9300,19500,42900,78200,354800,504200,1063000
round_k,0,3,7,15,32,71,195,443,1260,2657
round_shots,2700,500,400,400,200,300,300,200,200,200,100
round_queries,2700,1500,3600,10000,13000,44100,92100,130200,274600,595000,699100
round_k,0,1,4,12,32,73,153,325,686,1487,3495
round_shots,3300,400,400,300,400,200,200,300,300
round_queries,3300,2800,6800,12300,34800,46600,101000,351300,882300
round_k,0,3,8,20,43,116,252,585,1470
round_shots,3200,500,400,300,300,200,200,200,200,100
round_queries,3200,3500,6800,12300,29700,49800,114600,259000,596200,692500
round_k,0,3,8,20,49,124,286,647,1490,3462
round_shots,2000,400,300,300,300,200,300,200,300,200
round_queries,2000,2800,5100,11700,23700,33400,102900,165800,571500,991000
round_k,0,3,8,19,39,83,171,414,952,2477
round_shots,3100,400,400,400,300,400,200,200,200,100
round_queries,3100,2800,6800,16400,33300,90000,119800,269800,621000,676900
round_k,0,3,8,20,55,112,299,674,1552,3384
round_shots,2800,500,400,300,300,300,300,200,200,200
round_queries,2800,1500,3600,7500,15300,39900,100500,177000,377800,849000
round_k,0,1,4,12,25,66,167,442,944,2122
round_shots,3200,400,400,200,200,300,300,200,200,100
round_queries,3200,2800,6800,7800,15800,52500,155100,302200,677400,753900
round_k,0,3,8,19,39,87,258,755,1693,3769
round_shots,1900,300,300,300,300,200,200,200,200,200
round_queries,1900,2100,4500,11700,26100,35800,77800,173000,395800,916200
round_k,0,3,7,19,43,89,194,432,989,2290
round_shots,2500,300,300,300,400,400,300,200,200,100
round_queries,2500,2100,5100,12300,39600,94000,168900,253800,516200,611500
round_k,0,3,8,20,49,117,281,634,1290,3057
round_shots,2800,400,300,300,300,300,300,200,200,100
round_queries,2800,2800,5100,12300,27300,67500,164100,274200,596200,690100
round_k,0,3,8,20,45,112,273,685,1490,3450
round_shots,3800,500,300,300,200,200,200,200,200,100
round_queries,3800,4500,7500,17100,28200,57800,123800,279000,642200,747900
round_k,0,4,12,28,70,144,309,697,1605,3739
round_shots,3400,400,200,300,200,200,200,200,300
round_queries,3400,3600,5000,15300,27000,59400,132200,293400,978900
round_k,0,4,12,25,67,148,330,733,1631
round_shots,3700,500,300,300,200,200,200,200,200,100
round_queries,3700,4500,7500,19500,27800,60600,133000,275400,634600,724900
round_k,0,4,12,32,69,151,332,688,1586,3624
round_shots,2700,400,300,200,200,300,200,300,200,100
round_queries,2700,2800,5100,8200,16600,54300,92600,320100,560200,587700
round_k,0,3,8,20,41,90,231,533,1400,2938
round_shots,3500,400,400,300,300,400,200,200,300,200
round_queries,3500,2800,6800,11700,24300,66800,67400,157400,507900,838200
round_k,0,3,8,19,40,83,168,393,846,2095
round_shots,2900,400,400,300,400,200,300,200,200,100
round_queries,2900,2800,6800,11700,35600,43400,146700,242200,545400,608100
round_k,0,3,8,19,44,108,244,605,1363,3040
round_shots,3100,300,400,200,200,200,200,200,200,200
round_queries,3100,2100,6800,8200,17800,37400,83000,179400,387800,831400
round_k,0,3,8,20,44,93,207,448,969,2078
round_shots,1900,300,300,400,200,300,200,200,200,200
round_queries,1900,2100,4500,13200,14200,47700,87000,188600,415000,953400
round_k,0,3,7,16,35,79,217,471,1037,2383
round_shots,3900,400,300,200,200,200,200,200,200,200
round_queries,3900,2800,5100,8200,18200,39400,90200,198200,450600,1022200
round_k,0,3,8,20,45,98,225,495,1126,2555
round_shots,3500,400,300,200,200,200,200,200,200,300
round_queries,3500,2800,5100,8200,16600,36200,74200,161800,381400,1282500
round_k,0,3,8,20,41,90,185,404,953,2137
round_shots,3600,500,400,200,300,300,200,300,300
round_queries,3600,3500,6800,9800,29700,71100,126200,410100,1054500
round_k,0,3,8,24,49,118,315,683,1757
round_shots,2100,400,300,300,300,300,300,200,300,100
round_queries,2100,1200,2700,7500,17100,42300,119100,225400,792900,697300
round_k,0,1,4,12,28,70,198,563,1321,3486
round_shots,2900,300,200,200,200,200,200,200,200,200,100
round_queries,2900,2100,3000,6200,12600,28600,60200,131400,292600,633000,742900
round_k,0,3,7,15,31,71,150,328,731,1582,3714
round_shots,3000,500,300,300,200,200,200,200,200,100
round_queries,3000,3500,5100,12300,21400,49400,107000,224200,512600,586900
round_k,0,3,8,20,53,123,267,560,1281,2934
round_shots,3100,400,300,300,300,300,200,200,300,100
round_queries,3100,2800,5100,12300,29700,60900,104600,230200,771900,576300
round_k,0,3,8,20,49,101,261,575,1286,2881
round_shots,2500,400,300,300,300,200,200,200,200,100
round_queries,2500,2800,5100,12300,29100,50600,112600,249800,559800,573100
round_k,0,3,8,20,48,126,281,624,1399,2865
round_shots,3300,500,300,300,200,200,200,200,200,100
round_queries,3300,3500,5100,12900,23800,52600,115400,269800,626200,704100
round_k,0,3,8,21,59,131,288,674,1565,3520
round_shots,3200,400,300,200,300,200,200,200,200,200
round_queries,3200,2800,5100,8200,24900,46200,101000,209800,438200,1023400
round_k,0,3,8,20,41,115,252,524,1095,2558
round_shots,2800,400,400,300,200,200,300,300,400,100
round_queries,2800,2800,6800,11700,17800,38600,135300,357300,1192400,734300
round_k,0,3,8,19,44,96,225,595,1490,3671
round_shots,3100,300,200,300,300,200,300,300,200
round_queries,3100,2700,5000,15300,32100,48200,162300,431100,725000
round_k,0,4,12,25,53,120,270,718,1812
round_shots,2700,400,400,300,300,200,200,200,400
round_queries,2700,2800,6800,12300,29100,52200,119000,277000,1118800
round_k,0,3,8,20,48,130,297,692,1398
round_shots,2900,400,300,300,200,200,200,200,300,100
round_queries,2900,2800,5100,12300,21400,47800,105400,234200,734100,670100
round_k,0,3,8,20,53,119,263,585,1223,3350
round_shots,2500,400,300,300,300,200,200,200,100,200
round_queries,2500,2800,5100,12300,27300,47800,105400,217800,245300,1040600
round_k,0,3,8,20,45,119,263,544,1226,2601
round_shots,2900,400,400,500,300,300,200,200,200,300
round_queries,2900,2800,6800,19500,24900,50700,73000,153800,345000,1181100
round_k,0,3,8,19,41,84,182,384,862,1968
round_shots,2600,400,300,400,200,300,300,200,300
round_queries,2600,2800,5100,15600,17800,60300,155100,277400,929100
round_k,0,3,8,19,44,100,258,693,1548
round_shots,2500,500,300,300,200,200,200,200,200,100
round_queries,2500,3500,5100,12900,22200,47800,102600,229000,524600,589700
round_k,0,3,8,21,55,119,256,572,1311,2948
round_shots,3900,400,400,200,300,200,200,200,200,100
round_queries,3900,3600,9200,9800,31500,58200,119800,278600,631800,728900
round_k,0,4,11,24,52,145,299,696,1579,3644
round_shots,3400,400,400,500,500,300,200,200,200,200
round_queries,3400,2800,6800,19500,41500,50700,73000,165400,385800,888200
round_k,0,3,8,19,41,84,182,413,964,2220
round_shots,3500,400,400,400,300,300,300,200,200,100
round_queries,3500,2800,6800,16400,33900,79500,180900,248200,555800,613100
round_k,0,3,8,20,56,132,301,620,1389,3065
round_shots,3200,300,300,300,300,300,500,300,200,200
round_queries,3200,2100,5100,11700,24300,50700,195500,245700,361800,799000
round_k,0,3,8,19,40,84,195,409,904,1997
round_shots,2100,400,400,300,300,200,200,200,200,100
round_queries,2100,2800,6800,14700,31500,49000,112600,254600,587400,600700
round_k,0,3,8,24,52,122,281,636,1468,3003
round_shots,3600,400,400,300,300,200,200,200,300
round_queries,3600,2800,6800,12300,31500,59800,119800,265400,924900
round_k,0,3,8,20,52,149,299,663,1541
round_shots,2400,400,300,200,200,200,200,200,200,200
round_queries,2400,2800,5100,8200,17800,39000,91000,189800,430200,1014600
round_k,0,3,8,20,44,97,227,474,1075,2536
round_shots,3500,400,400,200,300,300,200,400,300
round_queries,3500,2800,6800,8200,26700,70500,113800,474000,977700
round_k,0,3,8,20,44,117,284,592,1629
round_shots,2200,400,400,300,400,200,300,200,300,100
round_queries,2200,2800,6800,11700,35600,41400,124500,192600,594900,530900
round_k,0,3,8,19,44,103,207,481,991,2654
round_shots,2800,400,500,300,300,200,200,200,300,200
round_queries,2800,2800,7500,12300,29100,45400,97000,204600,637500,956200
round_k,0,3,7,20,48,113,242,511,1062,2390
round_shots,3400,300,400,300,300,200,200,200,200,100
round_queries,3400,2100,6800,12300,29100,50600,109000,231400,526200,568900
round_k,0,3,8,20,48,126,272,578,1315,2844
