round_shots,900,400,200,200,200,100
round_queries,900,2000,3400,11000,35800,347300
round_k,2,8,27,89,363,1736
round_shots,900,400,200,200,200,200,100
round_queries,900,2000,3400,11000,37000,117800,647300
round_k,2,8,27,92,294,1040,3236
round_shots,900,300,300,200,200,100
round_queries,900,1500,5700,15800,63400,479500
round_k,2,9,39,158,575,2397
round_shots,700,400,200,200,200,100
round_queries,700,2000,5000,17800,62600,403300
round_k,2,12,44,156,650,2016
round_shots,1100,400,300,200,200,200
round_queries,1100,2000,5100,11000,34600,458600
round_k,2,8,27,86,269,1146
round_shots,500,400,200,200,200,100,100
round_queries,500,2000,3400,13000,44600,74300,886300
round_k,2,8,32,111,371,1316,4431
round_shots,700,400,200,200,200,100
round_queries,700,2000,3800,13000,39800,284900
round_k,2,9,32,99,381,1424
round_shots,500,400,200,200,200,100
round_queries,500,2000,3800,11800,45800,330100
round_k,2,9,29,114,437,1650
round_shots,500,300,300,200,200,100
round_queries,500,1500,5700,14200,43000,332500
round_k,2,9,35,107,396,1662
round_shots,700,400,300,200,200,100
round_queries,700,2000,5700,14200,46600,296500
round_k,2,9,35,116,402,1482
round_shots,500,400,200,200,200,100
round_queries,500,2000,3800,13000,45800,303700
round_k,2,9,32,114,402,1518
round_shots,600,300,200,200,200,100
round_queries,600,1500,3400,12200,39800,321700
round_k,2,8,30,99,377,1608
round_shots,600,300,200,200,200,100
round_queries,600,1500,3800,13000,43000,310900
round_k,2,9,32,107,462,1554
round_shots,900,300,200,300,200,100
round_queries,900,1500,3800,18300,45400,293300
round_k,2,9,30,113,378,1466
round_shots,1100,400,300,200,200,100
round_queries,1100,2000,5700,13000,47800,381700
round_k,2,9,32,119,426,1908
round_shots,700,300,200,200,200,100
round_queries,700,1500,3800,11800,44600,340300
round_k,2,9,29,111,419,1701
round_shots,500,200,200,200,200,100
round_queries,500,1000,3400,11800,38600,285100
round_k,2,8,29,96,329,1425
round_shots,800,300,300,300,200,100
round_queries,800,1500,5700,21900,52600,346100
round_k,2,9,36,131,528,1730
round_shots,600,400,200,200,200,200
round_queries,600,2000,3800,13000,39800,485000
round_k,2,9,32,99,383,1212
round_shots,1100,300,200,200,200,100
round_queries,1100,2100,5800,21400,71000,442300
round_k,3,14,53,177,701,2211
round_shots,800,200,300,200,200,200
round_queries,800,1000,5100,11000,35800,416600
round_k,2,8,27,89,285,1041
round_shots,600,400,300,200,200,100,100
round_queries,600,2000,5100,11800,42200,72500,748100
round_k,2,8,29,105,362,1181,3740
round_shots,600,300,300,200,200,100
round_queries,600,1500,5700,15400,49400,348700
round_k,2,9,38,123,476,1743
round_shots,800,300,200,200,200,100
round_queries,800,2100,4600,17000,51400,295100
round_k,3,11,42,128,479,1475
round_shots,900,300,200,200,100,100
round_queries,900,2100,4600,14600,25700,347500
round_k,3,11,36,128,443,1737
round_shots,600,400,300,200,200,100
round_queries,600,2000,5700,15400,47000,293500
round_k,2,9,38,117,392,1467
round_shots,600,300,200,200,200,100
round_queries,600,1500,3800,13000,47800,487300
round_k,2,9,32,119,575,2436
round_shots,700,300,300,200,200,200
round_queries,700,1500,5700,14200,45800,487000
