round_shots,1700,600,500,300
round_queries,3000,6500,9900
round_k,0.1,2,6,16
round_shots,2300,400,500,200
round_queries,2000,6500,6600
round_k,0.1,2,6,16
round_shots,2000,500,400,300
round_queries,2500,5200,9900
round_k,0.1,2,6,16
round_shots,1700,600,500,300
round_queries,3000,6500,9900
round_k,0.1,2,6,16
round_shots,2200,400,500,200
round_queries,2000,6500,6600
round_k,0.1,2,6,16
round_shots,2500,600,500,500,100
round_queries,3000,6500,14500,6900
round_k,0.1,2,6,14,34
round_shots,2100,500,500,200
round_queries,2500,6500,6600
round_k,0.1,2,6,16
round_shots,2200,600,300,200
round_queries,3000,5700,8200
round_k,0.1,2,9,20
round_shots,2400,600,400,500,100
round_queries,3000,5200,14500,6900
round_k,0.1,2,6,14,34
round_shots,1700,500,500,200,100
round_queries,2500,6500,6600,6900
round_k,0.1,2,6,16,34
round_shots,2300,600,400,200
round_queries,3000,5200,6600
round_k,0.1,2,6,16
round_shots,2200,600,300,200
round_queries,3000,5700,10200
round_k,0.1,2,9,25
round_shots,2000,500,500,300
round_queries,2500,6500,9900
round_k,0.1,2,6,16
round_shots,2200,500,300,100
round_queries,2500,5700,5100
round_k,0.1,2,9,25
round_shots,2100,600,400,300
round_queries,3000,5200,9900
round_k,0.1,2,6,16
round_shots,2600,600,300,200
round_queries,3000,5700,9400
round_k,0.1,2,9,23
round_shots,2100,600,300,100
round_queries,3000,5700,5100
round_k,0.1,2,9,25
round_shots,1700,500,300,200
round_queries,2500,5700,8200
round_k,0.1,2,9,20
round_shots,2000,500,500,200
round_queries,2500,6500,6600
round_k,0.1,2,6,16
round_shots,1700,500,600,300
round_queries,2500,7800,9900
round_k,0.1,2,6,16
round_shots,2300,500,500,200
round_queries,2500,6500,6600
round_k,0.1,2,6,16
round_shots,2100,400,500,300
round_queries,2000,6500,9900
round_k,0.1,2,6,16
round_shots,2500,500,400,200
round_queries,2500,5200,6600
round_k,0.1,2,6,16
round_shots,2600,500,500,300
round_queries,2500,6500,9900
round_k,0.1,2,6,16
round_shots,2000,600,400,300
round_queries,3000,5200,9900
round_k,0.1,2,6,16
round_shots,2000,600,400,300
round_queries,3000,5200,9900
round_k,0.1,2,6,16
round_shots,2400,500,300,200
round_queries,2500,5700,8200
round_k,0.1,2,9,20
round_shots,2500,600,300,100
round_queries,3000,5700,5100
round_k,0.1,2,9,25
round_shots,1800,700,300,200
round_queries,3500,5700,8200
round_k,0.1,2,9,20
round_shots,2200,500,300,100
round_queries,2500,5700,5100
round_k,0.1,2,9,25
round_shots,2300,600,500,500,100
round_queries,3000,6500,14500,6900
round_k,0.1,2,6,14,34
round_shots,2400,600,500,500,100
round_queries,3000,6500,14500,6900
round_k,0.1,2,6,14,34
round_shots,2000,500,700,300
round_queries,2500,10500,12300
round_k,0.1,2,7,20
round_shots,2900,500,200,300,100
round_queries,1500,1800,5700,5100
round_k,0.1,1,4,9,25
round_shots,2400,600,500,300
round_queries,3000,6500,9900
round_k,0.1,2,6,16
round_shots,1500,500,500,500,100
round_queries,2500,6500,14500,6900
round_k,0.1,2,6,14,34
round_shots,1700,600,500,600
round_queries,3000,6500,17400
round_k,0.1,2,6,14
round_shots,1700,600,500,300
round_queries,3000,6500,9900
round_k,0.1,2,6,16
round_shots,2500,500,500,200
round_queries,2500,6500,6600
round_k,0.1,2,6,16
round_shots,1600,500,400,300
round_queries,2500,5200,9900
round_k,0.1,2,6,16
round_shots,1700,300,600,300
round_queries,1500,7800,9900
round_k,0.1,2,6,16
round_shots,1900,500,500,600,100
round_queries,2500,6500,17400,6900
round_k,0.1,2,6,14,34
round_shots,2100,600,300,200
round_queries,3000,5700,10200
round_k,0.1,2,9,25
round_shots,1700,500,200,200
round_queries,2500,3800,9400
round_k,0.1,2,9,23
round_shots,1700,400,400,300
round_queries,2000,5200,9900
round_k,0.1,2,6,16
round_shots,2100,400,400,300
round_queries,2000,5200,9900
round_k,0.1,2,6,16
round_shots,2500,500,500,200
round_queries,2500,6500,7400
round_k,0.1,2,6,18
round_shots,2600,600,300,200
round_queries,3000,5700,10200
round_k,0.1,2,9,25
round_shots,1800,500,500,600
round_queries,2500,6500,17400
round_k,0.1,2,6,14
round_shots,1900,600,300,100
round_queries,3000,5700,5100
round_k,0.1,2,9,25
round_shots,1700,600,300,100
round_queries,3000,5700,5100
round_k,0.1,2,9,25
round_shots,1300,500,600,300
round_queries,2500,7800,9900
round_k,0.1,2,6,16
round_shots,2000,500,300,200
round_queries,2500,5700,9400
round_k,0.1,2,9,23
round_shots,2400,500,500,200
round_queries,2500,6500,6600
round_k,0.1,2,6,16
round_shots,1500,500,500,300
round_queries,2500,6500,9900
round_k,0.1,2,6,16
round_shots,1800,600,500,200
round_queries,3000,6500,6600
round_k,0.1,2,6,16
round_shots,2200,400,500,200
round_queries,2000,6500,6600
round_k,0.1,2,6,16
round_shots,2500,600,300,200
round_queries,3000,5700,10200
round_k,0.1,2,9,25
round_shots,1800,500,400,300
round_queries,2500,5200,9900
round_k,0.1,2,6,16
round_shots,2100,500,300,200
round_queries,2500,5700,8200
round_k,0.1,2,9,20
round_shots,1700,500,500,300
round_queries,2500,6500,9900
round_k,0.1,2,6,16
round_shots,1800,600,300,200
round_queries,3000,5700,10200
round_k,0.1,2,9,25
round_shots,1700,600,500,600
round_queries,3000,6500,17400
round_k,0.1,2,6,14
round_shots,2000,500,500,600
round_queries,2500,6500,17400
round_k,0.1,2,6,14
round_shots,1300,500,400,400,100
round_queries,2500,5200,11600,6900
round_k,0.1,2,6,14,34
round_shots,2000,700,300,200
round_queries,3500,5700,10200
round_k,0.1,2,9,25
round_shots,1800,500,500,200
round_queries,2500,6500,6600
round_k,0.1,2,6,16
round_shots,1800,600,300,200
round_queries,3000,5700,10200
round_k,0.1,2,9,25
round_shots,1700,500,300,100
round_queries,2500,5700,5100
round_k,0.1,2,9,25
round_shots,2300,400,600,200
round_queries,2000,7800,6600
round_k,0.1,2,6,16
round_shots,1900,500,300,200
round_queries,2500,5700,8200
round_k,0.1,2,9,20
round_shots,2100,400,500,300
round_queries,2000,6500,9900
round_k,0.1,2,6,16
round_shots,2400,600,300,100
round_queries,3000,5700,5100
round_k,0.1,2,9,25
round_shots,2200,500,600,500,100
round_queries,2500,7800,14500,6900
round_k,0.1,2,6,14,34
round_shots,1500,600,300,200
round_queries,3000,5700,10200
round_k,0.1,2,9,25
round_shots,2300,600,500,500,100
round_queries,3000,6500,14500,6900
