round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
round_shots,100,100,100,100
round_queries,500,3100,19900
round_k,0.1,2,15,99
