round_shots,400,300,200,300,300,300,200,200,200,200,200,200,200,100
round_queries,900,1400,4500,11100,26100,46200,105000,243800,488600,1053800,2403400,5280600,5801100
round_k,0.1,1,3,7,18,43,115,262,609,1221,2634,6008,13201,29005
round_shots,400,300,300,200,200,300,200,200,200,300,300,300,200,200
round_queries,900,2100,3400,7400,23700,39400,89800,186600,592500,1380300,3097500,5132200,11276200
round_k,0.1,1,3,8,18,39,98,224,466,987,2300,5162,12830,28190
round_shots,400,300,300,200,300,200,200,200,200,200,300,200,300,200
round_queries,900,2100,3400,11100,17400,39400,81800,176200,366200,1206300,1697000,5105100,8033400
round_k,0.1,1,3,8,18,43,98,204,440,915,2010,4242,8508,20083
round_shots,400,300,200,200,200,200,200,200,200,200,300,200,300,200
round_queries,900,1400,3000,6600,14600,33000,76600,165000,349400,1151100,1811000,5968500,9043000
round_k,0.1,1,3,7,16,36,82,191,412,873,1918,4527,9947,22607
round_shots,400,300,200,300,200,200,200,200,200,200,200,200,200,200
round_queries,900,1400,4500,7800,16200,34600,71800,166600,372600,774600,1610600,3538600,7774600
round_k,0.1,1,3,7,19,40,86,179,416,931,1936,4026,8846,19436
round_shots,400,300,300,200,300,200,200,300,200,200,200,200,300,100
round_queries,900,2100,3400,10500,17000,36600,120300,194200,442600,903800,2023000,6920700,6386500
round_k,0.1,1,3,8,17,42,91,200,485,1106,2259,5057,11534,31932
round_shots,400,300,300,200,200,200,200,300,200,200,200,300,200,200
round_queries,900,2100,3800,8600,18200,37000,121500,188600,378200,800600,2738700,4537800,9436200
round_k,0.1,1,3,9,21,45,92,202,471,945,2001,4564,11344,23590
round_shots,400,300,200,200,200,200,200,300,200,200,200,200,200,200,100
round_queries,900,1400,3000,6200,13800,27800,84900,144200,322600,695800,1473400,2955000,5926200,6161700
round_k,0.1,1,3,7,15,34,69,141,360,806,1739,3683,7387,14815,30808
round_shots,400,300,300,200,200,200,200,300,200,200,200,300,200,200
round_queries,900,2100,3400,7400,17000,36600,111900,195400,429000,875800,2781900,4549400,9460200
round_k,0.1,1,3,8,18,42,91,186,488,1072,2189,4636,11373,23650
round_shots,400,400,200,200,200,200,200,200,200,200,200,200,200,200
round_queries,1200,1400,3000,6600,15000,31000,67800,157400,365800,834200,1734600,3607000,7779800
round_k,0.1,1,3,7,16,37,77,169,393,914,2085,4336,9017,19449
round_shots,400,300,300,200,200,200,200,200,300,200,200,200,200,200
round_queries,900,2100,3800,8600,19800,45000,98600,301500,462200,1053800,2273000,4902600,10771400
round_k,0.1,1,3,9,21,49,112,246,502,1155,2634,5682,12256,26928
round_shots,500,300,300,200,200,300,200,200,200,200,200,200,300,200
round_queries,900,2100,3000,6200,19500,29400,59800,138600,304200,693400,1551800,5114100,8473400
round_k,0.1,1,3,7,15,32,73,149,346,760,1733,3879,8523,21183
round_shots,400,300,200,200,200,200,200,200,200,300,200,300,200,200,100
round_queries,900,1400,3000,6600,13800,27800,62200,129000,417300,616600,1923300,3186600,6390600,6766700
round_k,0.1,1,3,7,16,34,69,155,322,695,1541,3205,7966,15976,33833
round_shots,400,300,300,200,200,200,200,200,300,200,200,200,200,200
round_queries,900,2100,3000,6200,12600,26600,58200,191700,297800,597000,1361400,3104600,7080600
round_k,0.1,1,3,7,15,31,66,145,319,744,1492,3403,7761,17701
round_shots,500,300,300,300,200,200,200,200,200,200,200,200,200,200
round_queries,900,2100,5700,9400,21400,48600,108600,247400,543400,1089800,2266200,4712200,9979000
round_k,0.1,1,3,9,23,53,121,271,618,1358,2724,5665,11780,24947
round_shots,400,300,300,200,200,200,200,300,200,200,200,200,200,200
round_queries,900,2100,3800,8200,16600,37800,122100,202200,435800,975400,1991800,4458200,9103800
round_k,0.1,1,3,9,20,41,94,203,505,1089,2438,4979,11145,22759
round_shots,500,300,300,200,200,200,200,200,300,200,200,200,200,200
round_queries,900,2100,3800,8600,18200,37000,81000,252300,417800,935000,2054200,4430600,9734600
round_k,0.1,1,3,9,21,45,92,202,420,1044,2337,5135,11076,24336
round_shots,400,300,300,200,300,200,300,200,200,200,200,200,200,100
round_queries,900,2100,3400,11100,20200,68700,132200,290200,661800,1509000,3254600,6767800,7166100
round_k,0.1,1,3,8,18,50,114,330,725,1654,3772,8136,16919,35830
round_shots,400,300,300,200,200,200,200,200,200,200,200,300,200,200
round_queries,900,2100,3400,7400,15800,35000,72600,165400,350200,769400,2682300,4386600,8797400
round_k,0.1,1,3,8,18,39,87,181,413,875,1923,4470,10966,21993
round_shots,500,300,200,300,200,200,200,200,200,300,200,300,300,200
round_queries,900,1400,4500,7800,17000,35000,79800,168600,525900,837800,2520300,5656500,11049400
round_k,0.1,1,3,7,19,42,87,199,421,876,2094,4200,9427,27623
round_shots,400,300,300,200,200,200,300,200,200,200,200,200,300,200
round_queries,900,2100,3400,7000,14200,44100,71800,154600,352200,719000,1639800,5505300,10160600
round_k,0.1,1,3,8,17,35,73,179,386,880,1797,4099,9175,25401
round_shots,400,300,300,200,300,300,200,200,200,200,200,200,300
round_queries,900,2100,3800,11700,29100,49400,110200,241800,531000,1188200,2516200,8292300
round_k,0.1,1,3,9,19,48,123,275,604,1327,2970,6290,13820
round_shots,400,300,200,300,200,200,200,200,200,200,200,200,200,200
round_queries,900,1400,4500,7800,16200,34200,75000,155800,335800,737800,1506600,3435800,7835800
round_k,0.1,1,3,7,19,40,85,187,389,839,1844,3766,8589,19589
round_shots,400,300,300,300,200,200,200,200,300,200,200,200,300,200
round_queries,900,2100,4500,7800,17800,36200,75000,246900,414200,893400,1999400,6014700,10652200
round_k,0.1,1,3,7,19,44,90,187,411,1035,2233,4998,10024,26630
round_shots,400,300,200,300,200,200,200,200,200,200,200,200,200,200
round_queries,900,1400,4500,7000,14600,30600,68200,155400,311400,659400,1422200,3183400,6994200
round_k,0.1,1,3,7,17,36,76,170,388,778,1648,3555,7958,17485
round_shots,500,300,300,200,300,200,200,200,300,200,200,300,200,100
round_queries,900,2100,3400,11100,18200,42200,84600,288900,443000,955400,3207300,5245400,6095500
round_k,0.1,1,3,8,18,45,105,211,481,1107,2388,5345,13113,30477
round_shots,400,300,200,200,200,200,200,200,200,200,200,300,300,200
