round_shots,200,100,100,100,100,100
round_queries,300,1500,7300,33300,175300
round_k,0.1,1,7,36,166,876
round_shots,200,100,100,100,100,100,100
round_queries,300,1100,4500,22300,116700,612300
round_k,0.1,1,5,22,111,583,3061
round_shots,100,100,100,100,100,100,100
round_queries,300,1100,4500,20700,105500,555500
round_k,0.1,1,5,22,103,527,2777
round_shots,100,100,100,100,100,100,100
round_queries,300,700,3300,15700,76700,399300
round_k,0.1,1,3,16,78,383,1996
round_shots,100,100,100,100,100,100,100
round_queries,300,1100,4100,18900,99700,515700
round_k,0.1,1,5,20,94,498,2578
round_shots,200,100,100,100,100,100
round_queries,300,1500,6700,34700,179900
round_k,0.1,1,7,33,173,899
round_shots,200,100,100,100,100,100
round_queries,500,2300,11500,56700,287500
round_k,0.1,2,11,57,283,1437
round_shots,200,100,100,100,100,100,100
round_queries,300,1100,4100,20700,107700,548300
round_k,0.1,1,5,20,103,538,2741
round_shots,100,100,100,100,100,100
round_queries,500,2300,10700,52900,267100
round_k,0.1,2,11,53,264,1335
round_shots,100,100,100,100,100,100,100
round_queries,300,1100,4500,19900,101500,531900
round_k,0.1,1,5,22,99,507,2659
round_shots,100,100,100,100,100,100,100
round_queries,300,1100,3700,17100,85900,449100
round_k,0.1,1,5,18,85,429,2245
round_shots,200,100,100,100,100,100,100
round_queries,300,1100,4500,21500,106700,551700
round_k,0.1,1,5,22,107,533,2758
round_shots,100,100,100,100,100,100
round_queries,300,1500,6300,31500,161100
round_k,0.1,1,7,31,157,805
round_shots,100,100,100,100,100,100,100
round_queries,300,1100,4500,21100,102300,525300
round_k,0.1,1,5,22,105,511,2626
round_shots,200,100,100,100,100,100,100
round_queries,300,1100,5500,26700,139300,734300
round_k,0.1,1,5,27,133,696,3671
round_shots,200,100,100,100,100,100
round_queries,500,1500,5900,28900,148900
round_k,0.1,2,7,29,144,744
round_shots,100,100,100,100,100,100,100
round_queries,300,1100,4100,18900,93700,492300
round_k,0.1,1,5,20,94,468,2461
round_shots,200,100,100,100,100,100,100
round_queries,300,1100,5100,24500,126300,663500
round_k,0.1,1,5,25,122,631,3317
round_shots,100,100,100,100,100,100,100
