round_shots,600,200,200,200,100,200,200,100,100
round_queries,600,1000,3400,11800,26900,188600,864200,1711700,31696900
round_k,2,8,29,134,471,2160,8558,33899,158484
round_shots,600,200,300,200,100,200,100,100,100
round_queries,600,1000,5100,12200,23500,155000,306700,1114100,18568100
round_k,2,8,30,117,387,1533,5570,23019,92840
round_shots,700,300,300,200,200,100,100,100,100
round_queries,700,1500,6900,16600,54200,130100,408700,1249300,22897100
round_k,2,11,41,135,650,2043,6246,23846,114485
round_shots,900,200,200,200,200,100,100,100,100
round_queries,900,1400,5800,21800,95000,182500,548300,1709300,30576100
round_k,3,14,54,237,912,2741,8546,33749,152880
round_shots,800,300,200,200,200,200,100,100,100
round_queries,800,1500,3800,12200,38600,153800,317500,994100,17058700
round_k,2,9,30,96,384,1587,4970,18452,85293
round_shots,600,300,200,200,200,100,100,100,100
round_queries,600,1500,3800,12200,40600,77900,288500,963700,19922500
round_k,2,9,30,101,389,1442,4818,20952,99612
round_shots,500,300,200,200,200,100,200,100,100
round_queries,500,1500,3400,11800,38200,64900,460600,930500,15908900
round_k,2,8,29,95,324,1151,4652,20043,79544
round_shots,700,200,200,200,200,200,100,100,100
round_queries,700,1000,3800,11800,42200,162200,359900,1426700,16384100
round_k,2,9,29,105,405,1799,7133,22247,81920
round_shots,800,300,200,200,200,200,100,100,100
round_queries,800,1500,4600,17000,55000,191000,408500,1541300,19412900
round_k,2,11,42,137,477,2042,7706,27872,97064
round_shots,500,300,200,100,200,200,100,100,100,100
round_queries,500,1500,3800,7700,46600,165400,334300,1130300,3657700,46728100
round_k,2,9,38,116,413,1671,5651,18288,61253,233640
round_shots,500,300,300,200,200,100,100,100,100
round_queries,500,1500,5100,13400,48200,94100,310300,1063700,14570900
round_k,2,8,33,120,470,1551,5318,19977,72854
round_shots,600,300,200,200,100,200,100,100,100,100
round_queries,600,1500,3400,11800,20900,129400,282700,942500,2855300,54649100
round_k,2,8,29,104,323,1413,4712,14276,55892,273245
round_shots,600,200,300,200,100,200,100,100,100,100
round_queries,600,1000,5100,12200,28100,169400,351700,1311100,4064500,57085100
round_k,2,8,30,140,423,1758,6555,20322,68762,285425
round_shots,600,300,200,200,200,200,100,100,100,100
round_queries,600,1500,3400,11800,37400,127000,248300,838700,3358300,55019500
round_k,2,8,29,93,317,1241,4193,16791,60140,275097
round_shots,700,300,200,200,100,200,100,100,100,100
round_queries,700,1500,3400,10600,18100,110600,283100,967300,2935900,60299900
round_k,2,8,26,90,276,1415,4836,14679,61562,301499
round_shots,700,300,200,200,200,200,100,100,100
round_queries,700,1500,3400,11800,41000,152200,354100,1320700,20133100
round_k,2,8,29,102,380,1770,6603,26847,100665
round_shots,800,200,200,200,100,200,100,100,100
round_queries,800,1400,5000,19400,31700,200200,401900,1282300,19642900
round_k,3,12,48,158,500,2009,6411,24206,98214
round_shots,400,300,200,200,100,200,100,100,100
round_queries,400,1500,3400,13000,30100,200600,430700,1614100,20641300
round_k,2,8,32,150,501,2153,8070,26945,103206
round_shots,700,300,200,200,100,100,200,100,100
round_queries,700,2100,4600,14200,32500,112300,777400,1597300,18773900
round_k,3,11,35,162,561,1943,7986,25113,93869
round_shots,800,200,300,100,200,200,100,100,100
round_queries,800,1400,6900,8500,53800,200200,401900,1601900,36064300
round_k,3,11,42,134,500,2009,8009,35421,180321
round_shots,600,300,300,200,200,100,100,100,100
round_queries,600,1500,5100,16600,63800,115300,418100,1338100,24943100
round_k,2,8,41,159,576,2090,6690,28187,124715
round_shots,600,300,200,200,200,100,100,100,100,100
round_queries,600,1500,3800,13000,40600,84500,314300,1007900,3229900,47838100
round_k,2,9,32,101,422,1571,5039,16149,62549,239190
round_shots,600,200,200,100,200,100,100,100,100,100
round_queries,600,1000,3400,5500,33400,54700,178900,591100,2221900,33751700
round_k,2,8,27,83,273,894,2955,11109,35814,168758
round_shots,700,200,200,200,200,200,100,100,100
round_queries,700,1400,4600,14200,47000,183400,457300,1615300,36941500
round_k,3,11,35,117,458,2286,8076,36177,184707
round_shots,600,300,300,200,200,100,100,100,100
round_queries,600,1500,5100,17000,67400,114500,367100,1275500,26125700
round_k,2,8,42,168,572,1835,6377,26975,130628
round_shots,800,300,200,200,200,200,200,100,100
round_queries,800,1500,3800,12200,38200,169400,703400,1396900,26758900
round_k,2,9,30,95,423,1758,6984,29691,133794
round_shots,400,200,300,200,100,100,100,100,100
round_queries,400,1000,5100,13400,21100,66500,246700,960700,14362900
round_k,2,8,33,105,332,1233,4803,16490,71814
round_shots,400,300,200,100,200,200,100,100,100
round_queries,400,1500,3400,7100,43000,176200,357700,1240300,22830700
round_k,2,8,35,107,440,1788,6201,23781,114153
round_shots,900,300,200,200,200,200,100,100,100
round_queries,900,1500,3800,13400,46600,155000,319900,1027300,18342100
round_k,2,9,33,116,387,1599,5136,19374,91710
round_shots,500,200,300,100,200,200,200,100,100
round_queries,500,1000,5100,6500,41800,149000,598600,1394500,22125100
round_k,2,8,32,104,372,1496,6972,26918,110625
round_shots,700,300,200,200,200,200,100,100,100,100
round_queries,700,1500,3400,13000,49000,163400,324100,1093100,3842300,49645100
round_k,2,8,32,122,408,1620,5465,19211,64650,248225
round_shots,800,300,200,200,200,200,100,200,100,100
round_queries,800,1500,3400,10600,34600,117400,211100,1319800,3482500,48829100
round_k,2,8,26,86,293,1055,3299,17412,58200,244145
round_shots,800,200,200,200,100,100,100,100,100,100
round_queries,800,1400,4600,14200,22300,76700,231700,898100,3064900,48895100
round_k,3,11,35,111,383,1158,4490,15324,64598,244475
round_shots,600,200,200,200,200,100,100,100,100
round_queries,600,1000,3800,13000,46600,104500,375500,1482700,27030100
round_k,2,9,32,116,522,1877,7413,31601,135150
round_shots,500,300,200,200,200,100,100,100,100,100
round_queries,500,1500,3800,13000,41800,80300,288500,920300,2783300,39697900
