round_k,1,5,16,61,231,920,4017
round_shots,300,300,200,100,100,100,100
round_queries,300,900,2200,3700,11500,34700,438300
round_k,1,5,18,57,173,520,2191
round_shots,400,300,200,200,200,100
round_queries,400,900,2200,8200,36200,340100
round_k,1,5,20,90,420,1700
round_shots,500,300,200,200,100,100
round_queries,500,900,2200,8200,18900,251500
round_k,1,5,20,94,329,1257
round_shots,600,400,200,200,200,100,100
round_queries,600,1200,2200,8200,35400,59700,725300
round_k,1,5,20,88,298,929,3626
round_shots,500,300,200,200,200,100
round_queries,500,900,2200,8200,36200,317100
round_k,1,5,20,90,396,1585
round_shots,600,300,200,200,100,200,100
round_queries,600,900,2200,9000,18900,130200,781900
round_k,1,5,22,94,325,1074,3909
round_shots,600,400,200,200,200,100
round_queries,600,1200,2200,7400,31800,351900
round_k,1,5,18,79,374,1759
round_shots,400,300,200,200,100,100,100
round_queries,400,900,2200,8200,18900,66300,819500
round_k,1,5,20,94,331,1342,4097
round_shots,500,400,200,200,100,100,100
round_queries,500,1200,2200,9000,19300,69300,987100
round_k,1,5,22,96,346,1400,4935
round_shots,500,300,100,200,100,100,100
round_queries,500,900,1100,6600,13700,44500,682300
round_k,1,5,16,68,222,783,3411
round_shots,400,400,200,200,100,100
round_queries,400,1200,2200,9000,19300,267100
round_k,1,5,22,96,331,1335
round_shots,300,300,200,200,100,100,100
round_queries,300,900,2200,7400,14500,44100,695300
round_k,1,5,18,72,220,818,3476
round_shots,400,300,200,200,100,100,100
round_queries,400,900,2200,8200,15900,51900,859100
round_k,1,5,20,79,259,972,4295
round_shots,500,400,200,100,100,100
round_queries,500,1200,3000,5900,18500,244100
round_k,1,7,29,92,300,1220
round_shots,400,400,200,200,100,100,100
round_queries,400,1200,2200,7400,15500,46700,534900
round_k,1,5,18,77,233,891,2674
round_shots,400,300,100,200,100,100,100
round_queries,400,900,1100,6600,14100,49300,806100
round_k,1,5,16,70,246,961,4030
round_shots,400,300,200,200,300,100
round_queries,400,900,2200,8200,52500,282300
round_k,1,5,20,87,355,1411
round_shots,500,300,200,200,200,100
round_queries,500,900,2200,8200,38600,344900
round_k,1,5,20,96,466,1724
round_shots,400,400,200,200,100,100,100
round_queries,400,1200,2200,9000,19300,64100,913500
round_k,1,5,22,96,320,1229,4567
round_shots,600,300,200,200,100,100,100
round_queries,600,900,2200,8200,16300,55900,935700
round_k,1,5,20,81,279,1059,4678
round_shots,500,300,200,200,200,100
round_queries,500,900,2200,9000,39400,374100
round_k,1,5,22,98,444,1870
round_shots,300,400,100,200,200,100
round_queries,300,1200,1100,6600,28200,282300
round_k,1,5,16,70,355,1411
round_shots,400,300,200,200,100,100,100
round_queries,400,900,2200,8200,18500,64500,882100
round_k,1,5,20,92,322,1053,4410
round_shots,400,300,200,200,100,100,100
round_queries,400,900,2200,8200,18500,61900,822100
round_k,1,5,20,92,309,1118,4110
round_shots,400,300,200,200,100,100,100
round_queries,400,900,2200,9000,19300,58100,902700
round_k,1,5,22,96,290,887,4513
round_shots,500,400,200,200,100,100,100
round_queries,500,1200,2200,8200,16700,58900,1014700
round_k,1,5,20,83,294,1170,5073
round_shots,400,400,100,200,200,100,100
round_queries,400,1200,1100,6600,24600,45900,726100
round_k,1,5,16,61,229,835,3630
round_shots,600,500,200,100,100,100,100
round_queries,600,1500,2200,3700,11100,38100,571900
round_k,1,5,18,55,190,657,2859
round_shots,600,300,200,200,100,100,100
round_queries,600,900,2200,8200,18100,58900,737300
round_k,1,5,20,90,294,1140,3686
round_shots,600,500,200,100,100,100
round_queries,600,1500,3000,6700,21100,304500
round_k,1,7,33,105,370,1522
round_shots,300,300,300,200,100,100,100
round_queries,300,900,3300,9000,15900,53700,844700
round_k,1,5,22,79,268,1081,4223
round_shots,500,500,200,200,100,100,100
round_queries,500,1500,2200,9000,16700,55500,771300
round_k,1,5,22,83,277,872,3856
round_shots,600,400,200,200,200,100,100
round_queries,600,1200,2200,7400,35400,59700,915300
round_k,1,5,18,88,298,1020,4576
round_shots,400,300,200,100,100,100,100
round_queries,400,900,2200,3700,11100,38500,516700
round_k,1,5,18,55,192,698,2583
round_shots,400,300,200,200,100,100,100
round_queries,400,900,2200,6600,13700,47100,592700
round_k,1,5,16,68,235,742,2963
round_shots,500,300,200,200,100,100,100
round_queries,500,900,2200,8200,19300,60700,966500
round_k,1,5,20,96,303,1072,4832
round_shots,600,400,100,200,100,100,100
round_queries,600,1200,1100,6600,14100,46700,779100
round_k,1,5,16,70,233,907,3895
round_shots,500,300,200,200,100,100,100
round_queries,500,900,2200,8200,16300,56300,943100
round_k,1,5,20,81,281,1098,4715
round_shots,600,300,100,200,100,100,100
round_queries,600,900,1100,6600,14100,46700,793100
round_k,1,5,16,70,233,889,3965
round_shots,300,500,200,100,100,100
round_queries,300,1500,3000,6300,21500,257100
round_k,1,7,31,107,374,1285
round_shots,400,400,100,200,100,100,100
round_queries,400,1200,1100,6600,13700,48900,750900
round_k,1,5,16,68,244,937,3754
round_shots,500,400,200,300,100,100
round_queries,500,1200,3000,14700,18500,262300
round_k,1,7,24,92,331,1311
round_shots,400,400,100,200,100,100,100
round_queries,400,1200,1100,6600,14100,46300,675300
round_k,1,5,16,70,231,887,3376
round_shots,400,400,200,200,100,100,100
round_queries,400,1200,2200,8200,18500,65500,991700
round_k,1,5,20,92,327,1096,4958
round_shots,300,400,200,200,100,100,100
round_queries,300,1200,2200,7400,16300,56700,974300
round_k,1,5,18,81,283,1124,4871
round_shots,500,300,200,200,100,100,100
round_queries,500,900,2200,6600,14100,45900,605700
round_k,1,5,16,70,229,800,3028
round_shots,600,500,200,100,300,100,100
round_queries,600,1500,2200,4100,38100,38100,423500
round_k,1,5,20,63,190,701,2117
