round_queries,400,700,2300,44900
round_k,3,11,48,224
round_shots,600,100,100,100
round_queries,600,700,2500,55500
round_k,3,12,56,277
round_shots,600,100,100,100
round_queries,600,700,2300,40100
round_k,3,11,44,200
round_shots,700,200,100
round_queries,700,1400,14700
round_k,3,20,73
round_shots,600,100,100,100,100
round_queries,600,300,900,3300,75300
round_k,1,4,16,70,376
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,62300
round_k,1,4,16,61,311
round_shots,600,100,100,100
round_queries,600,900,3300,72900
round_k,4,16,69,364
round_shots,700,100,100,100
round_queries,700,700,2300,41900
round_k,3,11,41,209
round_shots,500,100,100,100
round_queries,500,700,2300,45100
round_k,3,11,44,225
round_shots,300,100,200,100
round_queries,300,300,1800,15500
round_k,1,4,20,77
round_shots,500,100,100,100
round_queries,500,700,2500,40700
round_k,3,12,44,203
round_shots,600,100,200,100
round_queries,600,300,1800,19500
round_k,1,4,24,97
round_shots,400,100,100,100
round_queries,400,700,2300,41700
round_k,3,11,44,208
round_shots,600,200,100
round_queries,600,1800,19700
round_k,4,24,98
round_shots,400,100,100,100
round_queries,400,700,2500,39100
round_k,3,12,44,195
round_shots,500,100,100,100
round_queries,500,700,2500,43300
round_k,3,12,45,216
round_shots,700,100,100,100
round_queries,700,700,2500,57100
round_k,3,12,56,285
round_shots,400,100,100,100
round_queries,400,700,2300,46100
round_k,3,11,45,230
round_shots,700,200,100
round_queries,700,1800,22700
round_k,4,24,113
round_shots,500,100,100,100
round_queries,500,700,2500,60500
round_k,3,12,56,302
