round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,2700
round_k,0.1,2,13
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,2700
round_k,0.1,2,13
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100,100
round_queries,300,1300,6500
round_k,0.1,1,6,32
round_shots,200,100,100
round_queries,500,2700
round_k,0.1,2,13
round_shots,100,100,100,100
round_queries,300,900,4100
round_k,0.1,1,4,20
round_shots,200,100,100,100
round_queries,300,1300,6500
round_k,0.1,1,6,32
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2700
round_k,0.1,2,13
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2700
round_k,0.1,2,13
round_shots,200,100,100
round_queries,500,2700
round_k,0.1,2,13
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100,100
round_queries,300,900,4500
round_k,0.1,1,4,22
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,2700
round_k,0.1,2,13
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100,100
round_queries,300,900,4100
round_k,0.1,1,4,20
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,2700
round_k,0.1,2,13
round_shots,100,100,100
round_queries,500,1700
round_k,0.1,2,8
round_shots,200,100,100
round_queries,300,1500
round_k,0.1,1,7
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100,100
round_queries,300,900,4700
round_k,0.1,1,4,23
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100,100
round_queries,300,1300,6500
round_k,0.1,1,6,32
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2500
round_k,0.1,2,12
round_shots,200,100,100,100
round_queries,300,900,4100
round_k,0.1,1,4,20
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100,100
round_queries,300,1300,6100
round_k,0.1,1,6,30
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,100,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,1700
round_k,0.1,2,8
round_shots,100,100,100
round_queries,500,1700
round_k,0.1,2,8
round_shots,200,100,100,100
round_queries,300,900,3700
round_k,0.1,1,4,18
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,100,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,2300
round_k,0.1,2,11
round_shots,200,100,100
round_queries,500,1900
round_k,0.1,2,9
round_shots,200,100,100
round_queries,500,1700
round_k,0.1,2,8
round_shots,200,100,100
round_queries,500,2500
round_k,0.1,2,12
round_shots,200,100,100
round_queries,500,2700
