round_shots,500,100
round_queries,500,1900
round_k,2,9
round_shots,700,100
round_queries,700,2700
round_k,2,13
round_shots,700,100,100
round_queries,700,500,6500
round_k,2,7,32
round_shots,700,100
round_queries,700,2700
round_k,2,13
round_shots,700,100
round_queries,700,2300
round_k,2,11
round_shots,300,100,100
round_queries,300,500,5500
round_k,2,7,27
round_shots,400,100
round_queries,400,1900
round_k,2,9
round_shots,700,100,100
round_queries,700,300,2900
round_k,1,4,14
round_shots,700,100,100
round_queries,700,300,2700
round_k,1,4,13
round_shots,600,100
round_queries,600,2300
round_k,2,11
round_shots,600,100
round_queries,600,1900
round_k,2,9
round_shots,700,100
round_queries,700,2300
round_k,2,11
round_shots,700,100,100
round_queries,700,500,5500
round_k,2,7,27
round_shots,500,100
round_queries,500,2300
round_k,2,11
round_shots,400,100
round_queries,400,2300
round_k,2,11
round_shots,600,100
round_queries,600,2300
round_k,2,11
round_shots,500,100
round_queries,500,2300
round_k,2,11
round_shots,600,100
round_queries,600,2300
round_k,2,11
round_shots,500,100
round_queries,500,2300
round_k,2,11
round_shots,400,100
round_queries,400,1900
round_k,2,9
round_shots,300,100
round_queries,300,2300
round_k,2,11
round_shots,500,100,100
round_queries,500,500,5500
round_k,2,7,27
round_shots,400,100
round_queries,400,1900
round_k,2,9
round_shots,600,100
round_queries,600,2300
round_k,2,11
round_shots,500,100,100
round_queries,500,500,4500
round_k,2,7,22
round_shots,400,100,100
round_queries,400,300,3700
round_k,1,4,18
round_shots,700,100
round_queries,700,1900
round_k,2,9
round_shots,500,100,100
round_queries,500,500,6100
round_k,2,7,30
round_shots,500,100
round_queries,500,1900
round_k,2,9
round_shots,400,200,100
round_queries,400,1000,5100
round_k,2,8,25
round_shots,500,200,100
round_queries,500,600,3700
round_k,1,4,18
round_shots,400,100
round_queries,400,2300
round_k,2,11
round_shots,600,100
round_queries,600,1900
round_k,2,9
round_shots,400,100
round_queries,400,2300
round_k,2,11
round_shots,400,100
round_queries,400,2300
round_k,2,11
round_shots,400,100
round_queries,400,2300
round_k,2,11
round_shots,500,100,100
round_queries,500,500,6500
round_k,2,7,32
round_shots,500,100
round_queries,500,1900
round_k,2,9
round_shots,700,100,100
round_queries,700,300,3700
round_k,1,4,18
round_shots,700,100
round_queries,700,2700
round_k,2,13
round_shots,700,100,100
round_queries,700,500,5500
round_k,2,7,27
round_shots,700,100,100
round_queries,700,500,6100
round_k,2,7,30
round_shots,400,100
round_queries,400,2700
round_k,2,13
round_shots,600,100,100
round_queries,600,500,6500
round_k,2,7,32
round_shots,600,100,100
round_queries,600,300,3300
round_k,1,4,16
round_shots,600,100
round_queries,600,2300
round_k,2,11
round_shots,700,100
round_queries,700,2700
round_k,2,13
round_shots,700,200,100
round_queries,700,600,3300
round_k,1,4,16
round_shots,300,200,100
round_queries,300,600,2700
round_k,1,4,13
round_shots,700,100,100
round_queries,700,300,3700
round_k,1,4,18
round_shots,500,100,100
round_queries,500,500,6500
round_k,2,7,32
round_shots,600,200
round_queries,600,5400
round_k,2,13
round_shots,600,100
round_queries,600,2300
round_k,2,11
round_shots,300,100
round_queries,300,2300
round_k,2,11
round_shots,600,100,100
round_queries,600,300,2700
round_k,1,4,13
round_shots,400,100
round_queries,400,1900
round_k,2,9
round_shots,700,100
round_queries,700,2300
round_k,2,11
round_shots,300,100,100
round_queries,300,300,2700
round_k,1,4,13
round_shots,500,100
round_queries,500,2300
round_k,2,11
round_shots,400,100
round_queries,400,2300
round_k,2,11
round_shots,700,200,100
round_queries,700,600,2900
round_k,1,4,14
round_shots,300,100
round_queries,300,2300
round_k,2,11
round_shots,400,100
round_queries,400,2300
round_k,2,11
round_shots,500,100
round_queries,500,2300
round_k,2,11
round_shots,600,100
round_queries,600,2300
round_k,2,11
round_shots,700,100
round_queries,700,2300
round_k,2,11
round_shots,400,100
round_queries,400,2300
round_k,2,11
round_shots,500,100
round_queries,500,2300
round_k,2,11
round_shots,500,200,100
round_queries,500,600,4100
round_k,1,4,20
round_shots,700,100
round_queries,700,1900
round_k,2,9
round_shots,700,100
round_queries,700,1900
round_k,2,9
round_shots,700,100
round_queries,700,1900
round_k,2,9
round_shots,500,100
round_queries,500,2300
round_k,2,11
round_shots,500,100
round_queries,500,2300
round_k,2,11
round_shots,700,100,100
round_queries,700,500,5500
round_k,2,7,27
round_shots,600,100
round_queries,600,2700
round_k,2,13
round_shots,400,100,100
round_queries,400,500,5500
round_k,2,7,27
round_shots,400,100
round_queries,400,2300
round_k,2,11
round_shots,500,100
round_queries,500,2300
round_k,2,11
round_shots,600,100
round_queries,600,2300
round_k,2,11
round_shots,400,100
round_queries,400,2700
round_k,2,13
round_shots,700,200,100
round_queries,700,600,3300
round_k,1,4,16
round_shots,400,100
round_queries,400,1900
round_k,2,9
