round_shots,1500,1300,300,300,200,200,200,200,200,200,200,200
round_queries,3900,3300,7500,12200,25000,52200,121800,278600,631400,1434600,3076200
round_k,0.1,1,5,12,30,62,130,304,696,1578,3586,7690
round_shots,1000,1300,300,300,300,200,200,200,200,200,200,200
round_queries,3900,3300,7500,18300,29800,59800,131800,293400,669000,1491800,3262600
round_k,0.1,1,5,12,30,74,149,329,733,1672,3729,8156
round_shots,1600,1300,300,200,300,200,200,200,200,200,200,200
round_queries,3900,3300,5000,15300,27400,59800,134200,283800,569400,1327800,3083400
round_k,0.1,1,5,12,25,68,149,335,709,1423,3319,7708
round_shots,1000,1200,300,300,300,200,200,200,200,200,200,200
round_queries,3600,3300,7500,18300,27400,59400,121800,278600,599000,1243400,2844600
round_k,0.1,1,5,12,30,68,148,304,696,1497,3108,7111
round_shots,1600,1200,400,500,300,200,200,200,200,300,200,100
round_queries,3600,4400,13500,21900,37400,82200,186600,375000,1149300,1961800,2141100
round_k,0.1,1,5,13,36,93,205,466,937,1915,4904,10705
round_shots,1000,1100,300,300,300,200,200,200,300,200,300,100
round_queries,3300,3300,7500,18300,29800,64600,146600,459300,755800,2424900,1994100
round_k,0.1,1,5,12,30,74,161,366,765,1889,4041,9970
round_shots,600,1100,400,400,300,200,200,200,200,200,200,200
round_queries,3300,4400,10800,18300,29800,62200,136600,305800,679000,1491800,3359400
round_k,0.1,1,5,13,30,74,155,341,764,1697,3729,8398
round_shots,1500,1300,400,400,300,200,300,300,200,300,300,200
round_queries,3900,4400,10800,18300,32200,101100,249300,389800,1194300,2421300,3421800
round_k,0.1,1,5,13,30,80,168,415,974,1990,4035,8554
round_shots,600,1300,300,300,300,200,200,200,200,200,200,200
round_queries,3900,3300,7500,18300,29800,59800,126600,263800,569400,1303000,3033800
round_k,0.1,1,5,12,30,74,149,316,659,1423,3257,7584
round_shots,800,1200,300,300,300,200,200,300,300,200,200,200
round_queries,3600,3300,7500,18900,34600,69800,212100,477900,833000,1937000,4508200
round_k,0.1,1,5,12,31,86,174,353,796,2082,4842,11270
round_shots,1600,1100,400,400,200,200,200,200,200,200,200,100,100
round_queries,3300,4400,10800,12200,25000,52200,111800,253400,559400,1285400,1460300,3059700
round_k,0.1,1,5,13,30,62,130,279,633,1398,3213,7301,15298
round_shots,1000,1300,400,400,300,200,200,200,200,400,300,200
round_queries,3900,4400,10800,18300,29800,62200,134200,301000,1272400,2525700,4189800
round_k,0.1,1,5,13,30,74,155,335,752,1590,4209,10474
round_shots,1700,1300,400,300,200,200,200,200,200,200,200,200
round_queries,3900,4400,7500,12200,25000,54600,117000,251000,559400,1290600,2999000
round_k,0.1,1,5,12,30,62,136,292,627,1398,3226,7497
round_shots,700,1200,400,400,300,400,400,400,300,400,300,100
round_queries,3600,4400,10800,18900,58800,120400,258000,545100,1550800,3133500,2807300
round_k,0.1,1,5,13,31,73,150,322,908,1938,5222,14036
round_shots,1400,1200,400,500,300,200,200,200,200,200,200,200
round_queries,3600,4400,13500,21900,35000,72200,161800,325400,659000,1501800,3329800
round_k,0.1,1,5,13,36,87,180,404,813,1647,3754,8324
round_shots,1300,1100,300,300,200,300,200,200,200,200,200,200
round_queries,3300,3300,7500,12200,37500,67000,141800,323400,748600,1663400,3854200
round_k,0.1,1,5,12,30,62,167,354,808,1871,4158,9635
round_shots,1300,1200,300,200,300,200,200,200,200,200,200,300
round_queries,3600,3300,5000,15300,24600,49800,109400,251000,561800,1268200,4424100
round_k,0.1,1,5,12,25,61,124,273,627,1404,3170,7373
round_shots,1300,1100,400,400,300,200,200,200,200,200,300,200
round_queries,3300,4400,10800,18300,29800,64600,141800,308200,679000,2159100,3583400
round_k,0.1,1,5,13,30,74,161,354,770,1697,3598,8958
round_shots,1500,1100,300,300,300,200,300,300,300,300,200
round_queries,3300,3300,7500,18300,29800,101100,260700,653100,1707900,3021400
round_k,0.1,1,5,12,30,74,168,434,1088,2846,7553
