round_shots,500,300,200,100
round_queries,500,1500,3400,25100
round_k,2,8,33,125
round_shots,400,300,200,100
round_queries,400,1500,3800,36100
round_k,2,9,38,180
round_shots,600,200,200,100
round_queries,600,1000,4600,28700
round_k,2,11,39,143
round_shots,900,300,200,100,100
round_queries,900,1500,3800,6500,68900
round_k,2,9,32,102,344
round_shots,800,300,200,100
round_queries,800,1500,3800,21500
round_k,2,9,35,107
round_shots,900,300,200,100
round_queries,900,1500,3800,32300
round_k,2,9,42,161
round_shots,600,200,200,200,100
round_queries,600,1000,3400,11000,59300
round_k,2,8,27,96,296
round_shots,800,300,200,100
round_queries,800,2100,4600,26300
round_k,3,11,36,131
round_shots,700,300,200,200
round_queries,700,1500,3400,40600
round_k,2,8,27,101
round_shots,500,300,200,100
round_queries,500,1500,3800,23300
round_k,2,9,29,116
round_shots,700,300,200,100
round_queries,700,1500,3400,22900
round_k,2,8,26,114
round_shots,500,300,200,100
round_queries,500,1500,3400,37100
round_k,2,8,38,185
round_shots,600,200,200,100,100
round_queries,600,1000,3400,5500,64700
round_k,2,8,27,96,323
round_shots,500,300,200,100
round_queries,500,1500,3800,27500
round_k,2,9,32,137
round_shots,600,300,200,100
round_queries,600,1500,3800,34700
round_k,2,9,32,173
round_shots,800,300,200,100
round_queries,800,1500,3400,37300
round_k,2,8,38,186
round_shots,700,300,200,100
round_queries,700,1500,3800,33100
round_k,2,9,35,165
round_shots,500,300,200,100
round_queries,500,1500,3800,25900
round_k,2,9,32,129
round_shots,700,300,200,100
round_queries,700,1500,3400,23900
round_k,2,8,38,119
round_shots,400,300,200,100
round_queries,400,1500,3800,25700
round_k,2,9,39,128
round_shots,600,200,300,100
round_queries,600,1000,5100,23300
round_k,2,8,36,116
round_shots,600,200,200,100
round_queries,600,1400,4600,39500
round_k,3,11,45,197
round_shots,500,300,200,100
round_queries,500,1500,3800,26300
round_k,2,9,30,131
round_shots,700,300,200,100
round_queries,700,2100,5000,36700
round_k,3,12,44,183
round_shots,900,200,200,100
round_queries,900,1000,3800,21100
round_k,2,9,29,105
round_shots,700,300,200,100
round_queries,700,1500,5000,50900
round_k,2,12,57,254
round_shots,400,200,200,100
round_queries,400,1000,3800,23500
round_k,2,9,38,117
round_shots,500,300,100,100
round_queries,500,1500,1900,23900
round_k,2,9,30,119
round_shots,800,300,200,100
round_queries,800,1500,3800,40100
round_k,2,9,42,200
round_shots,500,300,200,100
round_queries,500,1500,3400,30100
round_k,2,8,32,150
round_shots,900,200,200,100
round_queries,900,1000,3400,28900
round_k,2,8,27,144
round_shots,600,300,200,100
round_queries,600,1500,4600,31100
round_k,2,11,42,155
round_shots,500,300,200,100
round_queries,500,1500,3400,20900
round_k,2,8,27,104
round_shots,700,300,200,100
round_queries,700,1500,3800,22900
round_k,2,9,29,114
round_shots,600,300,200,100
round_queries,600,1500,3800,24700
round_k,2,9,29,123
round_shots,700,300,200,100
round_queries,700,1500,3400,22700
round_k,2,8,30,113
round_shots,600,300,200,100
round_queries,600,1500,3800,27100
round_k,2,9,32,135
round_shots,500,300,200,100
round_queries,500,1500,4600,44300
round_k,2,11,48,221
round_shots,800,200,200,100
round_queries,800,1000,3800,23900
round_k,2,9,39,119
round_shots,900,200,200,100
round_queries,900,1400,4600,50900
round_k,3,11,53,254
round_shots,900,300,200,100
round_queries,900,2100,5000,28100
round_k,3,12,44,140
round_shots,600,300,200,100
round_queries,600,1500,4600,37100
round_k,2,11,45,185
round_shots,500,300,200,100
round_queries,500,1500,3800,35900
round_k,2,9,41,179
round_shots,700,200,200,100
round_queries,700,1000,3800,32300
round_k,2,9,36,161
round_shots,500,300,200,100
round_queries,500,1500,3800,23500
round_k,2,9,32,117
round_shots,500,200,200,100
round_queries,500,1000,3800,22900
round_k,2,9,35,114
round_shots,800,300,200,100
round_queries,800,1500,3400,32900
round_k,2,8,36,164
round_shots,600,300,200,100
round_queries,600,1500,3800,36100
round_k,2,9,38,180
round_shots,400,200,200,100
round_queries,400,1000,3400,25900
round_k,2,8,29,129
round_shots,600,200,200,100,100
round_queries,600,1000,3800,5900,58100
round_k,2,9,29,93,290
round_shots,700,300,200,100
round_queries,700,1500,3800,31300
round_k,2,9,35,156
round_shots,500,300,200,100
round_queries,500,1500,3800,23500
round_k,2,9,32,117
round_shots,600,300,300,100
round_queries,600,1500,5100,31100
round_k,2,8,39,155
round_shots,600,300,200,100
round_queries,600,2100,5000,37300
round_k,3,12,57,186
round_shots,900,300,200,100
round_queries,900,2100,4600,31100
round_k,3,11,36,155
round_shots,500,300,200,100
round_queries,500,1500,3800,27100
round_k,2,9,32,135
round_shots,900,300,200,100
round_queries,900,2100,4600,38300
round_k,3,11,42,191
round_shots,500,300,200,100
round_queries,500,1500,5000,37700
round_k,2,12,45,188
round_shots,400,300,200,200,100
round_queries,400,1500,3400,11000,65500
round_k,2,8,27,92,327
round_shots,500,300,200,100
round_queries,500,1500,3800,28700
round_k,2,9,38,143
round_shots,800,300,200,200,100
round_queries,800,1500,3800,11800,69700
round_k,2,9,29,110,348
round_shots,600,300,200,100
round_queries,600,1500,3800,30100
round_k,2,9,32,150
round_shots,500,300,200,100
round_queries,500,1500,3800,37300
round_k,2,9,41,186
round_shots,600,300,200,100
round_queries,600,1500,3800,33500
round_k,2,9,42,167
round_shots,700,300,200,100
round_queries,700,1500,3800,25900
round_k,2,9,35,129
round_shots,800,300,200,100,100
round_queries,800,1500,3800,6100,63700
round_k,2,9,30,95,318
round_shots,500,300,200,100
round_queries,500,1500,3400,24100
round_k,2,8,27,120
round_shots,700,300,200,200
round_queries,700,1500,3400,37400
round_k,2,8,26,93
round_shots,800,300,100,200,100
round_queries,800,1500,1900,12200,75100
round_k,2,9,30,104,375
round_shots,600,300,200,100
round_queries,600,1500,3800,24100
round_k,2,9,39,120
round_shots,500,300,200,200
round_queries,500,1500,3400,35000
round_k,2,8,27,87
round_shots,500,300,200,100
round_queries,500,1500,3400,24700
round_k,2,8,35,123
round_shots,900,300,200,200
round_queries,900,1500,3400,43400
round_k,2,8,30,108
round_shots,800,200,200,100
round_queries,800,1000,3400,26300
round_k,2,8,33,131
round_shots,400,300,200,100
round_queries,400,1500,5000,42100
round_k,2,12,50,210
round_shots,500,200,200,100
round_queries,500,1000,3400,21500
round_k,2,8,33,107
