round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
round_shots,100,100
round_queries,100,2900
round_k,2,14
