round_shots,200,200,100,100,200,200,100
round_queries,200,600,1100,3300,21400,71000,712900
round_k,1,5,16,53,177,845,3564
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,4700,14700,51900,562900
round_k,1,5,23,73,259,901,2814
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,3900,12100,42300,601900
round_k,1,5,19,60,211,761,3009
round_shots,200,200,100,200,100,200,100
round_queries,200,600,900,5400,9300,55800,432300
round_k,1,4,13,46,139,616,2161
round_shots,200,200,100,200,200,100,100
round_queries,200,600,900,5400,23000,56500,680100
round_k,1,4,13,57,282,896,3400
round_shots,200,200,200,100,100,200
round_queries,200,600,2200,4100,14100,414200
round_k,1,5,20,70,261,1035
round_shots,200,200,100,200,100,200,100
round_queries,200,600,900,5400,13100,83400,751300
round_k,1,4,13,65,208,887,3756
round_shots,200,200,200,200,200,100,100
round_queries,200,600,1800,7000,25000,46100,837500
round_k,1,4,17,62,230,928,4187
round_shots,200,200,200,200,200,100
round_queries,200,600,1800,7800,37400,266900
round_k,1,4,19,93,392,1334
round_shots,200,200,100,200,200,100,100
round_queries,200,600,1100,7000,31400,55700,650900
round_k,1,5,17,78,278,1077,3254
round_shots,200,200,200,200,100,100
round_queries,200,600,1800,7000,16700,283300
round_k,1,4,17,83,297,1416
round_shots,200,200,100,100,100,100,100
round_queries,200,600,900,2700,8300,28300,527100
round_k,1,4,13,41,141,451,2635
round_shots,200,200,200,200,200,100,100
round_queries,200,600,2200,8600,31800,57900,776900
round_k,1,5,21,79,289,964,3884
round_shots,200,200,200,200,200,100
round_queries,200,600,2200,9000,38200,311300
round_k,1,5,22,95,453,1556
round_shots,200,200,200,200,200,100
round_queries,200,600,1800,7400,33000,251700
round_k,1,4,18,82,388,1258
round_shots,200,100,200,200,200,100
round_queries,200,300,1800,7000,33400,319300
round_k,1,4,17,83,381,1596
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,7800,17500,59500,806500
round_k,1,4,19,87,297,947,4032
round_shots,200,200,200,200,200,100
round_queries,200,600,2200,7400,28600,286100
round_k,1,5,18,71,344,1430
round_shots,200,200,200,200,100,100,100
round_queries,200,600,2200,9000,20300,69700,865900
round_k,1,5,22,101,348,1121,4329
round_shots,300,100,200,100,100,100,100
round_queries,300,300,1800,3500,11300,37500,405300
round_k,1,4,17,56,187,580,2026
round_shots,300,200,200,200,100,200,100
round_queries,300,600,2200,6600,10100,63400,949700
round_k,1,5,16,50,158,750,4748
round_shots,200,200,200,100,200,100
round_queries,200,600,2200,4300,27000,290500
round_k,1,5,21,67,295,1452
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,7000,13500,47500,623500
round_k,1,4,17,67,237,908,3117
round_shots,200,200,200,100,100,200,100
round_queries,200,600,1800,3500,11300,71400,475900
round_k,1,4,17,56,178,674,2379
round_shots,200,200,100,300,200,100,100
round_queries,200,600,1100,9900,24200,43500,532300
round_k,1,5,16,60,217,679,2661
round_shots,200,200,100,200,200,100
round_queries,200,600,1100,7000,33400,306500
round_k,1,5,17,83,406,1532
round_shots,200,200,100,100,100,200,100
round_queries,200,600,1100,3300,10100,69800,454700
round_k,1,5,16,50,174,676,2273
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,7000,14300,48100,828700
round_k,1,4,17,71,240,971,4143
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,3900,12100,38500,398300
round_k,1,5,19,60,192,597,1991
round_shots,200,200,100,200,100,100,100
round_queries,200,600,1100,7000,15700,50700,634300
round_k,1,5,17,78,253,799,3171
round_shots,200,200,100,100,200,100,100
round_queries,200,600,900,2700,17000,34300,385300
round_k,1,4,13,42,171,553,1926
round_shots,200,200,200,100,100,100,100
round_queries,200,600,1800,3500,10900,32900,409700
round_k,1,4,17,54,164,613,2048
round_shots,200,200,200,200,200,100
round_queries,200,600,1800,7800,33000,293700
round_k,1,4,19,82,429,1468
round_shots,200,200,100,200,200,100,100
round_queries,200,600,900,5400,23000,56500,840700
round_k,1,4,13,57,282,1037,4203
round_shots,200,200,200,100,100,100,100
round_queries,200,600,1800,3300,10100,36700,576100
round_k,1,4,16,50,183,727,2880
round_shots,200,300,200,100,100,100,100
round_queries,200,900,1800,3100,9500,31100,403100
round_k,1,4,15,47,155,577,2015
round_shots,200,200,200,100,200,100,100
round_queries,200,600,2200,4700,28200,52300,591900
round_k,1,5,23,70,261,826,2959
round_shots,200,200,100,200,200,100
round_queries,200,600,900,5400,23800,271300
round_k,1,4,13,59,251,1356
round_shots,200,200,200,200,100,100
round_queries,200,600,2600,11000,24300,260300
round_k,1,6,27,121,383,1301
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,4500,13500,41300,804300
round_k,1,5,22,67,206,742,4021
round_shots,200,200,200,200,100,200,100
round_queries,200,600,2200,7000,16700,108200,950900
round_k,1,5,17,83,270,1102,4754
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,3700,12100,36700,572900
round_k,1,5,18,60,183,727,2864
round_shots,300,200,200,200,200,100,100
round_queries,300,600,2200,7800,27800,57500,816100
round_k,1,5,19,69,287,1114,4080
round_shots,200,200,200,200,200,200
round_queries,200,600,1800,7800,33000,433400
round_k,1,4,19,82,316,1083
round_shots,200,200,200,100,200,100
round_queries,200,600,2200,4900,32200,467700
round_k,1,5,24,80,418,2338
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,9500,29700,423700
round_k,1,4,13,47,148,522,2118
round_shots,200,200,100,200,100,100,100
round_queries,200,600,900,5400,11900,37700,624700
round_k,1,4,13,59,188,748,3123
