round_k,3,11,41,142,560,2283,9734,38755
round_shots,1100,300,100,300,200,100,200,100
round_queries,1100,2100,2500,22500,60200,118500,857800,5578900
round_k,3,12,37,150,592,2144,9085,27894
round_shots,1300,300,300,200,100,100,100,100
round_queries,1300,2700,9300,19800,35900,116100,407700,6497300
round_k,4,15,49,179,580,2038,7257,32486
round_shots,1100,200,200,200,100,100,200,100
round_queries,1100,1400,5000,16200,31900,100500,691800,5643300
round_k,3,12,40,159,502,1729,6664,28216
round_shots,1000,300,100,200,300,100,100,100
round_queries,1000,2100,2500,15000,68100,86700,291700,4775300
round_k,3,12,37,113,433,1458,5504,23876
round_shots,1000,200,300,300,300,200,100,100
round_queries,1000,1400,6900,24900,97500,246600,588100,5758900
round_k,3,11,41,162,616,2940,9538,28794
round_shots,900,300,200,200,100,200,100,100
round_queries,900,2100,5000,17800,31900,194200,388300,5504500
round_k,3,12,44,159,485,1941,6950,27522
round_shots,1500,400,200,200,200,100,100
round_queries,1500,2800,5000,19400,73800,156900,2384900
round_k,3,12,48,184,784,2913,11924
round_shots,1300,300,200,200,200,100,200,100
round_queries,1300,2100,5000,16200,61800,108700,786600,4572900
round_k,3,12,40,154,543,1966,6874,22864
round_shots,900,300,200,200,200,100,100,100
round_queries,900,2100,5000,21400,81400,143100,491100,6402700
round_k,3,12,53,203,715,2455,9851,32013
round_shots,1596,288,288,192,96,96,96,96
round_queries,1596,2016,6624,14016,29088,87840,304416,4348128
round_k,3,11,36,151,457,1585,6097,22646
round_shots,1300,300,200,200,100,100,100
round_queries,1300,2100,5000,21400,44100,151100,2138100
round_k,3,12,53,220,755,2627,10690
round_shots,1400,300,300,200,100,100,100,100
round_queries,1400,2100,9300,19800,35900,119300,438100,6435100
round_k,3,15,49,179,596,2190,8343,32175
round_shots,1400,200,200,200,100,100,100,100
round_queries,1400,1400,5000,16200,31100,95500,295900,4339700
round_k,3,12,40,155,477,1479,5540,21698
round_shots,1596,192,192,96,192,192,96
round_queries,1596,1728,6336,11808,75456,329280,2806560
round_k,4,16,61,196,857,3735,14617
round_shots,1300,300,200,200,100,100,200,100
round_queries,1300,2100,5000,19400,35900,114500,709000,6666300
round_k,3,12,48,179,572,1772,7408,33331
round_shots,900,300,200,200,300,300,100,100
round_queries,900,2100,5000,17800,99900,299700,419700,4368300
round_k,3,12,44,166,499,2098,7280,21841
round_shots,1000,300,200,200,100,100,100
round_queries,1000,2100,5000,16200,34300,117700,1757100
round_k,3,12,40,171,588,2161,8785
round_shots,900,300,200,200,100,100,100,100
