round_queries,200,600,1100,3700,12700,53900,978500
round_k,1,5,18,63,269,1032,4892
round_shots,200,200,100,100,200,100,100
round_queries,200,600,1300,4300,27400,61700,762300
round_k,1,6,21,68,308,998,3811
round_shots,100,200,100,100,100,100,100
round_queries,100,600,1300,4100,15300,59500,853700
round_k,1,6,20,76,297,960,4268
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3100,11900,38300,604100
round_k,1,4,15,59,191,628,3020
round_shots,100,200,100,100,100,100,100
round_queries,100,600,1100,3300,11700,40900,500100
round_k,1,5,16,58,204,703,2500
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1300,4300,13100,50500,825100
round_k,1,6,21,65,252,1123,4125
round_shots,200,100,100,200,100,100,100
round_queries,200,300,900,5400,11100,44300,665100
round_k,1,4,13,55,221,879,3325
round_shots,200,200,100,200,100,100
round_queries,200,600,1100,7400,15500,287300
round_k,1,5,18,77,333,1436
round_shots,200,200,100,200,100,100,100
round_queries,200,600,900,5800,12100,48700,797500
round_k,1,4,14,60,243,810,3987
round_shots,100,100,200,100,100,100,100
round_queries,100,300,1800,3500,10900,43500,590300
round_k,1,4,17,54,217,821,2951
round_shots,200,100,200,100,100,200,100
round_queries,200,300,1800,2700,10300,71400,717100
round_k,1,4,13,51,178,776,3585
round_shots,200,200,200,200,100,100,100
round_queries,200,600,2200,9000,20900,63900,1270900
round_k,1,5,22,104,319,1238,6354
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,9100,27700,370100
round_k,1,4,13,45,138,508,1850
round_shots,100,200,200,200,200,100
round_queries,100,600,2600,12200,67400,720500
round_k,1,6,30,168,821,3602
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3700,13900,44900,790700
round_k,1,5,18,69,224,849,3953
round_shots,200,200,100,100,200,100,100
round_queries,200,600,1300,4300,32200,67300,1350500
round_k,1,6,21,80,336,1308,6752
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,2900,9300,33500,593500
round_k,1,4,14,46,167,652,2967
round_shots,100,100,200,100,200,100,100
round_queries,100,300,1800,3700,22200,48100,1013700
round_k,1,4,18,55,240,1066,5068
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1300,4100,13500,52100,1348500
round_k,1,6,20,67,260,1230,6742
round_shots,100,100,200,100,100,100,100
round_queries,100,300,1800,3300,10700,38900,669900
round_k,1,4,16,53,194,729,3349
round_shots,100,300,100,100,100,100,100
round_queries,100,900,1100,3700,11100,38700,629300
round_k,1,5,18,55,193,761,3146
round_shots,200,200,300,100,100,100,100
round_queries,200,600,3900,5100,17700,55700,1073300
round_k,1,6,25,88,278,1123,5366
round_shots,200,100,200,100,100,100,100
round_queries,200,300,1800,3500,12500,41900,596500
round_k,1,4,17,62,209,972,2982
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,2700,10300,32900,553500
round_k,1,4,13,51,164,708,2767
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8700,34300,561100
round_k,1,4,13,43,171,783,2805
round_shots,200,200,200,100,100,100,100
round_queries,200,600,1800,4300,15500,54900,806700
round_k,1,4,21,77,274,1052,4033
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1300,4300,15500,52700,711900
round_k,1,6,21,77,263,812,3559
round_shots,100,100,200,100,100,100,100
round_queries,100,300,1800,2900,8900,31900,509300
round_k,1,4,14,44,159,685,2546
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,9900,35700,642900
