round_shots,600,500,400,500,300,200,200
round_queries,1500,3600,11500,19500,34200,72600
round_k,0.1,1,4,11,32,85,181
round_shots,600,400,300,300,200,300,200,200
round_queries,1200,2700,6300,9400,30900,50200,101400
round_k,0.1,1,4,10,23,51,125,253
round_shots,600,400,300,300,300,200,200,100
round_queries,1200,2700,6300,14100,24200,55400,63100
round_k,0.1,1,4,10,23,60,138,315
round_shots,500,400,300,300,300,200,300,100
round_queries,1200,2700,6300,14100,25400,77700,63700
round_k,0.1,1,4,10,23,63,129,318
round_shots,600,600,400,500,300,300,200
round_queries,1800,3600,11500,19500,49500,87400
round_k,0.1,1,4,11,32,82,218
round_shots,600,500,400,300,300,300,200
round_queries,1500,3600,6300,15900,39900,67800
round_k,0.1,1,4,10,26,66,169
round_shots,600,400,300,300,200,200,200,200
round_queries,1200,2700,6300,9400,21800,49000,102600
round_k,0.1,1,4,10,23,54,122,256
round_shots,600,500,200,300,200,200,200,100
round_queries,1500,1800,6300,10600,24200,56600,63100
round_k,0.1,1,4,10,26,60,141,315
round_shots,500,300,400,300,300,300,200
round_queries,900,3600,6300,15900,41700,67800
round_k,0.1,1,4,10,26,69,169
round_shots,700,400,300,400,200,200,200,200
round_queries,1200,2700,8400,10600,23000,47800,102600
round_k,0.1,1,4,10,26,57,119,256
round_shots,700,600,400,300,300,300,200
round_queries,1800,3600,6300,14100,36300,69000
round_k,0.1,1,4,10,23,60,172
round_shots,700,500,400,300,200,200,200,200
round_queries,1500,3600,6300,9400,21800,47800,107400
round_k,0.1,1,4,10,23,54,119,268
round_shots,500,500,500,400,200,300,200
round_queries,1500,4500,11600,14200,45900,81400
round_k,0.1,1,4,14,35,76,203
round_shots,600,400,500,500,200,200,200,200
round_queries,1200,4500,11500,10600,21800,46600,106200
round_k,0.1,1,4,11,26,54,116,265
round_shots,600,400,300,600,300,300,400
round_queries,1200,2700,13800,21300,45900,147600
round_k,0.1,1,4,11,35,76,184
round_shots,600,400,400,300,200,200,200,100
round_queries,1200,3600,6300,10600,24200,57800,68100
round_k,0.1,1,4,10,26,60,144,340
round_shots,500,400,400,300,300,300,200
round_queries,1200,3600,6300,15900,41700,67800
round_k,0.1,1,4,10,26,69,169
round_shots,500,400,300,300,200,200,200,100
round_queries,1200,2700,6300,10600,21800,47800,51300
round_k,0.1,1,4,10,26,54,119,256
round_shots,600,400,400,300,200,200,200,100
round_queries,1200,3600,6300,10600,23000,46600,51900
round_k,0.1,1,4,10,26,57,116,259
round_shots,600,400,400,300,200,300,300,100
round_queries,1200,3600,6300,9400,30900,77100,61300
round_k,0.1,1,4,10,23,51,128,306
round_shots,600,400,400,500,200,200,300,100
round_queries,1200,3600,11500,10600,24200,81300,70500
round_k,0.1,1,4,11,26,60,135,352
round_shots,500,500,400,300,200,200,200,200
round_queries,1500,3600,6300,9400,21800,49000,101400
round_k,0.1,1,4,10,23,54,122,253
round_shots,600,400,400,300,300,200,300,100
round_queries,1200,3600,6300,14100,26600,81300,75500
round_k,0.1,1,4,10,23,66,135,377
round_shots,700,400,400,500,300,200,200,100
round_queries,1200,3600,11500,14100,24200,55400,59300
round_k,0.1,1,4,11,23,60,138,296
round_shots,500,400,400,300,200,200,200,200
round_queries,1200,3600,6300,10600,23000,49000,101400
round_k,0.1,1,4,10,26,57,122,253
round_shots,600,500,300,300,200,200,200,100
round_queries,1500,2700,6300,10600,24200,55400,58700
round_k,0.1,1,4,10,26,60,138,293
round_shots,600,600,300,300,300,200,200,200
round_queries,1800,2700,6300,14100,24200,49000,103800
round_k,0.1,1,4,10,23,60,122,259
round_shots,500,400,400,300,200,200,300,100
round_queries,1200,3600,6300,10600,24200,79500,69900
round_k,0.1,1,4,10,26,60,132,349
round_shots,500,400,400,300,300,200,200,200
round_queries,1200,3600,6300,14100,24200,49000,105000
round_k,0.1,1,4,10,23,60,122,262
round_shots,500,400,300,300,200,400,300,200
round_queries,1200,2700,6300,9400,38000,60900,95000
round_k,0.1,1,4,10,23,47,101,237
round_shots,500,400,400,300,300,200,200,100
round_queries,1200,3600,6300,14100,25400,56600,64900
round_k,0.1,1,4,10,23,63,141,324
round_shots,500,400,300,300,300,200,200,100
round_queries,1200,2700,6300,14100,26600,54200,57500
round_k,0.1,1,4,10,23,66,135,287
round_shots,500,500,400,300,200,200,200,100
round_queries,1500,3600,6300,10600,24200,55400,62500
round_k,0.1,1,4,10,26,60,138,312
round_shots,600,500,400,400,300,400,400,100
round_queries,1500,3600,8400,14100,38000,81200,53700
round_k,0.1,1,4,10,23,47,101,268
round_shots,600,400,400,300,300,200,200,100
round_queries,1200,3600,6300,14100,25400,55400,63700
round_k,0.1,1,4,10,23,63,138,318
round_shots,500,500,400,300,200,200,200,200
round_queries,1500,3600,6300,10600,23000,49000,101400
round_k,0.1,1,4,10,26,57,122,253
round_shots,400,400,400,600,200,200,200,200
round_queries,1200,3600,13800,10600,21800,47800,97800
round_k,0.1,1,4,11,26,54,119,244
round_shots,600,400,400,300,200,200,200,200
round_queries,1200,3600,6300,10600,23000,49000,102600
round_k,0.1,1,4,10,26,57,122,256
round_shots,600,600,300,300,300,200,200,100
round_queries,1800,2700,6300,14100,25400,54200,58700
round_k,0.1,1,4,10,23,63,135,293
round_shots,600,400,400,300,200,200,200,100
