round_shots,100,200,100,100,100,100
round_queries,600,1900,9100,45100,233500
round_k,0.1,1,9,45,225,1167
round_shots,100,100,100,100,100,100,100
round_queries,300,700,2900,12700,62700,325900
round_k,0.1,1,3,14,63,313,1629
round_shots,100,100,100,100,100,100,100
round_queries,300,700,2500,10700,52700,273300
round_k,0.1,1,3,12,53,263,1366
round_shots,100,200,100,100,100,100
round_queries,600,1900,8700,50900,253500
round_k,0.1,1,9,43,254,1267
round_shots,100,100,100,100,100,100,100
round_queries,300,700,2500,10500,50300,263500
round_k,0.1,1,3,12,52,251,1317
round_shots,100,100,100,100,100,100,100
round_queries,300,700,2700,12300,60300,307700
round_k,0.1,1,3,13,61,301,1538
round_shots,100,200,100,100,100,100,100
round_queries,600,700,3100,14500,72100,361100
round_k,0.1,1,3,15,72,360,1805
round_shots,100,200,100,100,100,100
round_queries,600,1900,9900,49500,257300
round_k,0.1,1,9,49,247,1286
round_shots,100,200,100,100,100,100,100
round_queries,600,700,2900,12900,62900,322700
round_k,0.1,1,3,14,64,314,1613
round_shots,200,100,100,100,100,100,100
round_queries,300,700,2700,12300,62700,327900
round_k,0.1,1,3,13,61,313,1639
round_shots,100,200,100,100,100,100,100
round_queries,600,700,3100,12900,65100,333300
round_k,0.1,1,3,15,64,325,1666
round_shots,200,200,100,100,100,100,100
round_queries,600,700,2500,10500,53100,278700
round_k,0.1,1,3,12,52,265,1393
round_shots,200,200,100,100,100,100,100
round_queries,600,900,2700,12500,62700,326100
round_k,0.1,1,4,13,62,313,1630
round_shots,100,200,100,100,100,100
round_queries,1000,2900,13100,65100,335500
round_k,0.1,2,14,65,325,1677
round_shots,200,200,100,100,100,100
round_queries,600,1900,7700,37300,187900
round_k,0.1,1,9,38,186,939
round_shots,200,200,100,100,100,100
round_queries,1000,2900,12500,64300,328500
round_k,0.1,2,14,62,321,1642
round_shots,100,100,100,100,100,100,100
round_queries,300,700,3100,15100,75100,383300
round_k,0.1,1,3,15,75,375,1916
round_shots,100,100,100,100,100,100,100
round_queries,300,700,2500,12100,60100,305700
round_k,0.1,1,3,12,60,300,1528
round_shots,100,200,100,100,100,100
round_queries,600,1900,9900,49700,250700
round_k,0.1,1,9,49,248,1253
round_shots,100,100,100,100,100,100,100
round_queries,300,700,2700,12500,63100,330300
round_k,0.1,1,3,13,62,315,1651
round_shots,100,200,100,100,100,100
round_queries,600,1900,9300,47500,242700
round_k,0.1,1,9,46,237,1213
round_shots,100,100,100,100,100,100,100
round_queries,300,700,2700,12500,60700,311300
round_k,0.1,1,3,13,62,303,1556
round_shots,200,200,100,100,100,100,100
round_queries,600,700,2700,12100,60100,308300
round_k,0.1,1,3,13,60,300,1541
round_shots,100,200,100,100,100,100,100
round_queries,600,700,3100,14300,72700,378700
round_k,0.1,1,3,15,71,363,1893
round_shots,100,200,100,100,100,100,100
round_queries,600,700,2700,12900,65100,333300
round_k,0.1,1,3,13,64,325,1666
round_shots,100,100,100,100,100,100,100
round_queries,300,700,3100,15300,77500,395700
round_k,0.1,1,3,15,76,387,1978
round_shots,100,100,100,100,100,100,100
round_queries,300,700,3100,14900,75700,390900
round_k,0.1,1,3,15,74,378,1954
round_shots,200,100,100,100,100,100,100
round_queries,300,700,2500,12700,62900,328700
round_k,0.1,1,3,12,63,314,1643
round_shots,100,100,100,100,100,100,100
round_queries,300,700,2700,13100,67700,350900
round_k,0.1,1,3,13,65,338,1754
round_shots,100,200,100,100,100,100,100
round_queries,600,700,2700,12900,65700,335900
round_k,0.1,1,3,13,64,328,1679
round_shots,100,100,100,100,100,100,100
round_queries,300,700,3300,15100,77500,408500
round_k,0.1,1,3,16,75,387,2042
round_shots,100,100,100,100,100,100,100
round_queries,300,700,2500,11900,59700,307900
round_k,0.1,1,3,12,59,298,1539
round_shots,200,200,100,100,100,100,100
round_queries,600,700,2700,12500,64900,338300
round_k,0.1,1,3,13,62,324,1691
round_shots,100,100,100,100,100,100,100
round_queries,300,700,2700,12500,60300,314900
round_k,0.1,1,3,13,62,301,1574
round_shots,100,100,100,100,100,100
round_queries,300,1500,6900,35100,180300
round_k,0.1,1,7,34,175,901
round_shots,100,200,100,100,100,100,100
