round_shots,1300,500,300,300,200
round_queries,1500,2100,4500,6600
round_k,0.1,1,3,7,16
round_shots,1100,600,400,400,100
round_queries,1800,2800,7600,5500
round_k,0.1,1,3,9,27
round_shots,1000,700,300,200,300
round_queries,2100,2100,3000,9900
round_k,0.1,1,3,7,16
round_shots,1100,700,300,200,200
round_queries,2100,2100,3000,6600
round_k,0.1,1,3,7,16
round_shots,1100,700,300,200,200
round_queries,2100,2100,3000,7400
round_k,0.1,1,3,7,18
round_shots,800,700,300,300,200
round_queries,2100,2100,5700,8200
round_k,0.1,1,3,9,20
round_shots,1100,600,300,200,200,100
round_queries,1800,2100,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1000,700,300,300,200
round_queries,2100,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1200,600,300,200,200
round_queries,1800,2100,3000,6600
round_k,0.1,1,3,7,16
round_shots,900,600,300,200,200,100
round_queries,1800,2100,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1100,600,200,200,200,100
round_queries,1800,1400,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1000,600,300,400,100
round_queries,1800,2100,7600,5500
round_k,0.1,1,3,9,27
round_shots,1200,600,300,300,200
round_queries,1800,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1300,600,200,300,200
round_queries,1800,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,1100,600,300,200,200,100
round_queries,1800,2100,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1100,400,300,300,200
round_queries,1200,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1200,800,300,200,300
round_queries,2400,2100,3000,9900
round_k,0.1,1,3,7,16
round_shots,1100,600,300,200,300
round_queries,1800,2100,3000,9900
round_k,0.1,1,3,7,16
round_shots,1200,600,300,200,200,100
round_queries,1800,2100,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1300,800,200,300,200
round_queries,2400,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,1200,500,300,300,200
round_queries,1500,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1200,500,200,300,200,100
round_queries,1500,1400,4500,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1400,700,200,200,200,100
round_queries,2100,1400,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,800,700,300,300,200
round_queries,2100,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1200,400,300,300,200
round_queries,1200,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1200,700,200,200,200,100
round_queries,2100,1400,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1100,700,300,300,200
round_queries,2100,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1100,600,300,200,200
round_queries,1800,2100,3000,6600
round_k,0.1,1,3,7,16
round_shots,1100,700,300,300,200
round_queries,2100,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1100,500,300,300,200
round_queries,1500,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1100,700,300,300,200
round_queries,2100,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1600,800,300,200,200,100
round_queries,2400,2100,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1100,600,200,300,200
round_queries,1800,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,800,700,300,300,200
round_queries,2100,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1400,500,200,300,200
round_queries,1500,1400,4500,8200
round_k,0.1,1,3,7,20
round_shots,1000,600,300,200,200
round_queries,1800,2100,3000,7400
round_k,0.1,1,3,7,18
round_shots,1300,500,300,300,200
round_queries,1500,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,900,400,200,300,200
round_queries,1200,1400,4500,8200
round_k,0.1,1,3,7,20
round_shots,1100,500,300,300,200
round_queries,1500,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1300,700,300,300,200
round_queries,2100,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1100,800,300,300,200
round_queries,2400,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1300,600,300,300,200
round_queries,1800,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1100,700,300,300,200
round_queries,2100,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1300,800,300,200,200
round_queries,2400,2100,3000,7400
round_k,0.1,1,3,7,18
round_shots,1100,700,200,200,300
round_queries,2100,1400,3000,9900
round_k,0.1,1,3,7,16
round_shots,1300,700,300,300,200
round_queries,2100,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,900,700,200,300,200
round_queries,2100,1400,4500,8200
round_k,0.1,1,3,7,20
round_shots,1300,700,300,300,200
round_queries,2100,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1000,700,300,200,200
round_queries,2100,2100,3000,6600
round_k,0.1,1,3,7,16
round_shots,1100,600,300,300,200
round_queries,1800,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1200,600,300,300,200
round_queries,1800,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1300,600,300,200,200
round_queries,1800,2100,3000,6600
round_k,0.1,1,3,7,16
round_shots,800,800,300,200,200,100
round_queries,2400,2100,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1100,800,200,300,200
round_queries,2400,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,1300,600,300,200,200
round_queries,1800,2100,3000,6600
round_k,0.1,1,3,7,16
round_shots,900,700,300,300,200
round_queries,2100,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1000,700,200,200,200,100
round_queries,2100,1400,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1000,700,300,200,200,100
round_queries,2100,2100,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1200,800,300,300,200
round_queries,2400,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,900,800,300,200,300
round_queries,2400,2100,3000,9900
round_k,0.1,1,3,7,16
round_shots,800,400,200,300,200
round_queries,1200,1400,4500,8200
round_k,0.1,1,3,7,20
round_shots,1100,600,300,400,200
round_queries,1800,2100,7600,8200
round_k,0.1,1,3,9,20
round_shots,1200,700,300,300,200
round_queries,2100,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1000,600,300,300,200
round_queries,1800,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1000,600,200,300,200
round_queries,1800,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,900,700,200,200,200,100
round_queries,2100,1400,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1000,700,300,200,200,100
round_queries,2100,2100,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1000,700,200,300,200
round_queries,2100,1400,4500,8200
round_k,0.1,1,3,7,20
round_shots,1400,500,300,200,200
round_queries,1500,2100,3800,8200
round_k,0.1,1,3,9,20
round_shots,1000,600,200,200,200,100
round_queries,1800,1400,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1200,800,300,300,200
round_queries,2400,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1200,600,300,300,200
round_queries,1800,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1300,600,300,200,200,100
round_queries,1800,2100,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1000,700,200,300,200
round_queries,2100,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,900,500,200,300,200
round_queries,1500,1400,4500,8200
round_k,0.1,1,3,7,20
round_shots,1500,500,200,300,200
round_queries,1500,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,1100,700,300,300,200
round_queries,2100,2100,5700,8200
round_k,0.1,1,3,9,20
round_shots,1100,500,200,300,200
round_queries,1500,1400,4500,8200
round_k,0.1,1,3,7,20
round_shots,1300,700,400,200,200
round_queries,2100,2800,3000,6600
round_k,0.1,1,3,7,16
round_shots,900,400,200,200,200
round_queries,1200,1400,3000,6600
round_k,0.1,1,3,7,16
round_shots,1200,800,200,300,200,100
round_queries,2400,1400,4500,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1200,1000,300,300,200
round_queries,3000,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1300,900,300,300,200
round_queries,2700,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1200,800,300,200,200
round_queries,2400,2100,3000,6600
round_k,0.1,1,3,7,16
round_shots,1200,600,200,300,200
round_queries,1800,1400,4500,8200
round_k,0.1,1,3,7,20
round_shots,900,500,200,300,200
round_queries,1500,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,1200,700,200,300,200
round_queries,2100,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,1300,500,300,200,200
round_queries,1500,2100,3000,7400
round_k,0.1,1,3,7,18
round_shots,1400,500,300,200,300
round_queries,1500,2100,3000,9900
round_k,0.1,1,3,7,16
round_shots,1300,600,200,200,200,100
round_queries,1800,1400,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1300,500,300,300,200
round_queries,1500,2100,5700,8200
round_k,0.1,1,3,9,20
round_shots,900,800,200,200,200
round_queries,2400,1400,3000,6600
round_k,0.1,1,3,7,16
round_shots,1400,700,200,200,200
round_queries,2100,1400,3000,6600
round_k,0.1,1,3,7,16
round_shots,1000,700,300,300,200
round_queries,2100,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1200,700,300,300,200
round_queries,2100,2100,4500,8200
round_k,0.1,1,3,7,20
round_shots,1400,600,300,300,200
round_queries,1800,2100,4500,7400
round_k,0.1,1,3,7,18
round_shots,1300,700,200,300,200
round_queries,2100,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,1300,700,300,200,200,100
round_queries,2100,2100,3000,6600,6700
round_k,0.1,1,3,7,16,33
round_shots,1100,600,200,300,200
round_queries,1800,1400,4500,7400
round_k,0.1,1,3,7,18
round_shots,900,600,300,200,200
round_queries,1800,2100,3000,6600
round_k,0.1,1,3,7,16
