round_shots,1700,300,200,200,200,100,100,200,100,100
round_queries,1700,2100,5000,16200,57000,111100,344900,2359000,5055700,71886100
round_k,3,12,40,142,555,1724,5897,25278,102508,359430
round_shots,1600,300,200,200,200,300,200,100,100,100
round_queries,1600,2100,5000,16200,60600,332700,699800,1468500,4678900,62888700
round_k,3,12,40,151,554,1749,7342,23394,93354,314443
round_shots,1200,300,400,200,200,200,200,100,100,100
round_queries,1200,2100,9200,15000,49000,196200,879000,1449100,5329500,66634500
round_k,3,11,37,122,490,2197,7245,26647,106629,333172
round_shots,1600,400,200,200,100,100,100,200,100
round_queries,1600,3600,8200,32600,62100,191300,627700,4279000,37893900
round_k,4,20,81,310,956,3138,10697,48481,189469
round_shots,1400,400,200,200,200,100,200,100,100
round_queries,1400,2800,5000,16200,57000,107900,666600,1367300,20427900
round_k,3,12,40,142,539,1666,6836,25723,102139
round_shots,1300,300,300,200,200,100,100,100,100,100
round_queries,1300,2100,6900,15000,49000,101300,319500,1042100,3408700,47570300
round_k,3,11,37,122,506,1597,5210,17043,54422,237851
round_shots,1300,300,200,200,200,100,200,200,100
round_queries,1300,2100,5000,17800,63800,136500,869400,3756600,25419900
round_k,3,12,44,159,682,2173,9391,33581,127099
round_shots,1100,300,300,200,200,200,100,100,100
round_queries,1100,2100,7500,17800,61800,228600,454500,1390100,19690700
round_k,3,12,44,154,571,2272,6950,24138,98453
round_shots,1400,300,300,200,300,200,200,100,100
round_queries,1400,2100,7500,17800,97500,211800,743400,1379900,17542900
round_k,3,12,44,162,529,1858,6899,21498,87714
round_shots,1835,280,175,175,140,350,245,175,105,35
round_queries,1835,2520,5775,18375,50260,416850,938595,2107175,3891615,14833245
round_k,4,16,52,179,595,1915,6020,18531,68850,211903
round_shots,1200,300,200,200,200,200,100,100,200,100
round_queries,1200,2100,5000,16200,62200,249800,454500,1498100,10902200,73250900
round_k,3,12,40,155,624,2272,7490,27255,112826,366254
round_shots,1300,400,300,200,200,200,200,100,100
round_queries,1300,2800,7500,21000,73400,302200,1267000,2920100,48720700
round_k,3,12,52,183,755,3167,14600,57495,243603
round_shots,1600,300,200,300,100,200,300,100,100
round_queries,1600,2700,6600,33900,44900,271400,1828500,2649700,35625300
round_k,4,16,56,224,678,3047,13248,52025,178126
round_shots,1200,300,300,200,200,100,100,100,100
round_queries,1200,2100,7500,23000,95000,179700,554900,1943500,25248300
round_k,3,12,57,237,898,2774,9717,36805,126241
round_shots,1000,300,200,200,200,100,100,100,100,100
round_queries,1000,2100,5000,16200,57000,107900,337500,1151500,4164100,46833300
round_k,3,12,40,142,539,1687,5757,20820,74665,234166
round_shots,1000,300,200,200,200,200,100,100,100
round_queries,1000,2100,5000,17800,68600,287400,582700,2045700,33004100
