round_shots,500,400,200,200,100,100,100,100,100
round_queries,500,1200,2200,6600,11500,35900,109300,397100,5798900
round_k,1,5,16,57,179,546,1985,7718,28994
round_shots,600,400,200,200,200,100,200,100
round_queries,600,1200,2200,7400,28200,64100,441000,2831300
round_k,1,5,18,70,320,1102,3837,14156
round_shots,500,400,200,200,200,100,100,100
round_queries,500,1200,2200,7400,31800,71500,254100,3919700
round_k,1,5,18,79,357,1270,4658,19598
round_shots,600,300,200,200,200,100,100,100
round_queries,600,900,2200,6600,23800,49300,158500,2006700
round_k,1,5,16,59,246,792,2565,10033
round_shots,500,600,200,200,200,200,100
round_queries,500,1800,3000,12600,51800,229800,1989300
round_k,1,7,31,129,574,2244,9946
round_shots,600,300,200,200,100,200,200,100
round_queries,600,900,2200,8200,16300,106600,455800,2779500
round_k,1,5,20,81,266,1139,4263,13897
round_shots,500,500,200,200,100,200,100,100
round_queries,500,1500,2200,8200,16300,99400,203700,2748300
round_k,1,5,20,81,248,1018,3480,13741
round_shots,600,500,200,200,100,100,100,100
round_queries,600,1500,2200,7400,13700,41100,138500,2307100
round_k,1,5,18,68,205,692,2215,11535
round_shots,500,300,200,200,300,100,100,100
round_queries,500,900,2200,7400,45300,58900,209300,3151300
round_k,1,5,18,75,294,1046,3943,15756
round_shots,500,400,200,200,200,100,100,100,100
round_queries,500,1200,2200,7400,29000,53300,166700,626100,7437500
round_k,1,5,18,72,266,833,3130,10881,37187
round_shots,400,400,200,200,200,100,100,100
round_queries,400,1200,2200,8200,31800,69300,242300,3303300
round_k,1,5,20,79,346,1211,4402,16516
round_shots,600,400,200,200,200,100,100,100
round_queries,600,1200,2200,7400,31800,67100,206700,3331300
round_k,1,5,18,79,335,1033,3928,16656
round_shots,500,500,200,200,100,100,100,100
round_queries,500,1500,3000,9000,16300,49300,164100,2562700
round_k,1,7,22,81,246,820,3076,12813
round_shots,500,400,200,200,200,100,100,100
round_queries,500,1200,2200,7400,27400,61100,206700,3142900
round_k,1,5,18,68,305,1033,3882,15714
round_shots,500,400,200,200,200,100,100,100
round_queries,500,1200,2200,7400,26600,58500,182700,2260500
round_k,1,5,18,66,292,913,2763,11302
round_shots,800,500,200,200,100,100,200,100
round_queries,800,1500,2200,7400,15900,48500,304600,2826100
round_k,1,5,18,79,242,761,3637,14130
round_shots,500,300,200,200,100,200,300,100
round_queries,500,900,2200,8200,16300,101400,609300,2636100
round_k,1,5,20,81,253,1015,3824,13180
round_shots,500,400,200,200,200,100,100,100,100
round_queries,500,1200,2200,7400,29000,53300,167100,623500,7622900
round_k,1,5,18,72,266,835,3117,12682,38114
round_shots,700,400,200,200,200,100,100,100
round_queries,700,1200,2200,6600,26600,54100,184100,2844700
round_k,1,5,16,66,270,920,3430,14223
round_shots,400,300,200,200,200,100,100,100
round_queries,400,900,2200,7400,31800,71500,248900,3311100
round_k,1,5,18,79,357,1244,4665,16555
round_shots,500,300,200,200,200,100,100,100
round_queries,500,900,2200,8200,31000,63300,197100,3042500
round_k,1,5,20,77,316,985,3706,15212
round_shots,500,300,200,200,200,200,100,100
round_queries,500,900,2200,7400,31000,109800,221900,3123900
round_k,1,5,18,77,274,1109,4187,15619
round_shots,400,400,400,200,200,100,200,100
round_queries,400,1200,4400,11400,34200,66300,462200,2983500
round_k,1,5,28,85,331,1155,4851,14917
round_shots,800,300,200,200,100,100,100,100
round_queries,800,900,2200,7400,13700,41500,141900,1825900
round_k,1,5,18,68,207,709,2496,9129
round_shots,400,700,200,100,200,100,100,100
round_queries,400,2100,2200,4100,24600,43700,139700,1828900
round_k,1,5,20,61,218,698,2131,9144
round_shots,600,300,200,200,300,100,100,100
round_queries,600,900,2200,7400,44700,55900,184100,2947300
round_k,1,5,18,74,279,920,3478,14736
round_shots,700,500,200,200,200,100,200,100
round_queries,700,1500,2200,6600,23800,48900,311400,1883300
round_k,1,5,16,59,244,778,2335,9416
round_shots,500,400,200,200,200,100,200,100
round_queries,500,1200,2200,7400,29000,55900,377000,3262900
round_k,1,5,18,72,279,942,4221,16314
round_shots,600,300,200,200,200,100,100,100
round_queries,600,900,2200,8200,31000,61500,209300,3286100
round_k,1,5,20,77,307,1046,4017,16430
round_shots,600,600,200,200,200,200,200,100
round_queries,600,1800,2200,7400,31000,131000,446200,3360300
round_k,1,5,18,77,327,1115,4015,16801
round_shots,400,300,200,200,200,100,100,100
round_queries,400,900,2200,7400,29000,59700,184500,2911700
round_k,1,5,18,72,298,922,3452,14558
round_shots,700,300,200,200,200,100,200,100
round_queries,700,900,2200,7400,31000,61500,416600,2395300
round_k,1,5,18,77,307,1041,3161,11976
round_shots,400,400,200,200,200,100,100,100
round_queries,400,1200,2200,7400,28200,61500,214900,3309900
round_k,1,5,18,70,307,1074,3917,16549
round_shots,500,400,200,200,100,300,100,100
round_queries,500,1200,2200,8200,16300,150900,224900,3563700
round_k,1,5,20,81,251,1124,3711,17818
round_shots,500,300,200,200,200,200,200,100
round_queries,500,900,2200,8200,31800,139400,551800,4613900
round_k,1,5,20,79,348,1379,4749,23069
round_shots,600,500,200,200,100,100,100,100
round_queries,600,1500,3000,9000,16300,48900,163700,2417100
round_k,1,7,22,81,244,818,2913,12085
round_shots,600,300,200,200,200,100,100,100
round_queries,600,900,2200,8200,31000,59300,185900,2488700
round_k,1,5,20,77,296,929,2989,12443
round_shots,900,400,200,200,100,100,100,100
round_queries,900,1200,2200,8200,16300,51500,176700,2776100
round_k,1,5,20,81,257,883,3302,13880
round_shots,700,300,200,200,100,200,200,100
round_queries,700,900,2200,8200,16300,99400,386600,3579300
round_k,1,5,20,81,248,966,4491,17896
round_shots,400,400,200,200,200,100,100,100
round_queries,400,1200,2200,8200,30200,46700,157500,2127100
round_k,1,5,20,75,233,787,2665,10635
round_shots,500,600,300,200,200,100,100,100
round_queries,500,1800,3300,9000,33400,71100,244500,4047100
round_k,1,5,22,83,355,1222,4767,20235
round_shots,500,600,200,200,100,100,100,100
round_queries,500,1800,3000,11000,19300,58900,201900,2908700
round_k,1,7,27,96,294,1009,3882,14543
round_shots,600,500,200,200,200,100,100,100
round_queries,600,1500,2200,8200,31800,71900,247100,3140300
round_k,1,5,20,79,359,1235,4411,15701
round_shots,500,500,200,200,100,100,100,100
round_queries,500,1500,3000,11000,21500,71500,252300,4094500
round_k,1,7,27,107,357,1261,4782,20472
round_shots,500,400,200,200,200,100,100,100
round_queries,500,1200,2200,8200,31000,57100,187500,2436700
round_k,1,5,20,77,285,937,2961,12183
round_shots,500,700,200,200,200,100,100,100
round_queries,500,2100,2200,6600,23800,48500,147500,1778500
round_k,1,5,16,59,242,737,2504,8892
round_shots,800,400,200,200,100,100,100,100
round_queries,800,1200,2200,7400,15900,48500,154500,2336700
round_k,1,5,18,79,242,772,2813,11683
round_shots,500,500,200,200,100,100,100,100
round_queries,500,1500,2200,8200,16700,51500,178900,2806500
round_k,1,5,20,83,257,894,3352,14032
round_shots,600,500,200,200,300,100,100,100
round_queries,600,1500,3000,11000,52500,65900,209700,3282900
round_k,1,7,27,87,329,1048,3956,16414
round_shots,400,500,200,200,100,100,100,100
round_queries,400,1500,2200,8200,16300,49300,159300,2439300
round_k,1,5,20,81,246,796,2974,12196
round_shots,500,400,200,200,200,100,100,100
round_queries,500,1200,2200,8200,34200,68900,244500,4120500
round_k,1,5,20,85,344,1222,4769,20602
round_shots,400,400,200,200,100,100,100,100
round_queries,400,1200,2200,8200,16300,48900,164500,2280100
round_k,1,5,20,81,244,822,2961,11400
round_shots,600,300,200,200,100,200,100,100
round_queries,600,900,2200,8200,16300,99400,224900,2909900
round_k,1,5,20,81,248,1124,3876,14549
round_shots,900,600,200,200,200,100,200,100
round_queries,900,1800,3000,9000,31000,63700,447400,3809300
round_k,1,7,22,77,318,1118,5275,19046
round_shots,600,300,200,200,100,100,100,100
round_queries,600,900,2200,8200,16300,51500,179300,2854300
round_k,1,5,20,81,257,896,3391,14271
round_shots,600,400,200,200,200,100,100,100
round_queries,600,1200,2200,7400,31000,61500,217500,2352700
round_k,1,5,18,77,307,1087,3348,11763
round_shots,500,400,300,200,100,100,200,200,100
round_queries,500,1200,3300,9000,16300,49300,345400,1208200,6107900
round_k,1,5,22,81,246,863,3020,9124,30539
round_shots,500,500,200,200,200,100,100,100
round_queries,500,1500,2200,7400,28200,63300,216300,3210700
round_k,1,5,18,70,316,1081,3965,16053
round_shots,600,400,300,200,100,100,100,100
round_queries,600,1200,3300,9000,16300,51100,164900,2117100
round_k,1,5,22,81,255,824,2661,10585
