round_shots,2000,500,500,400,400,400,400,400,400,400,200
round_queries,2500,6500,14000,29200,59600,134800,302000,658000,1379600,1572200
round_k,0.1,2,6,17,36,74,168,377,822,1724,3930
round_shots,1800,500,400,400,400,500,500,400,400,400,100
round_queries,2500,5200,11600,24400,71500,198500,422000,972400,2133200,1164700
round_k,0.1,2,6,14,30,71,198,527,1215,2666,5823
round_shots,2400,600,400,400,400,500,400,400,400,400,400
round_queries,3000,4400,10000,21200,54500,119600,247600,582800,1284400,2865200
round_k,0.1,2,5,12,26,54,149,309,728,1605,3581
round_shots,2400,500,400,400,500,400,400,400,400,500,100
round_queries,2500,5200,11600,33500,59600,125200,297200,708400,2135500,1248700
round_k,0.1,2,6,14,33,74,156,371,885,2135,6243
round_shots,1600,600,400,400,500,400,400,400,400,400,300
round_queries,3000,5200,11600,30500,54800,125200,263600,552400,1269200,2349300
round_k,0.1,2,6,14,30,68,156,329,690,1586,3915
round_shots,1800,500,500,500,400,400,400,400,400,400,200
round_queries,2500,6500,17500,34000,74000,156400,354800,782800,1607600,1893800
round_k,0.1,2,6,17,42,92,195,443,978,2009,4734
round_shots,1500,500,500,400,400,400,400,500,400,500,200
round_queries,2500,6500,11600,26000,53200,108400,308500,594800,1590500,1763800
round_k,0.1,2,6,14,32,66,135,308,743,1590,4409
round_shots,1500,600,500,400,400,400,400,400,400,400,200
round_queries,3000,5500,10000,21200,48400,107600,250000,594800,1416400,1727800
round_k,0.1,2,5,12,26,60,134,312,743,1770,4319
round_shots,1300,600,400,400,400,400,400,100,400,300,100
round_queries,3000,5200,11600,24400,50000,113200,76500,645200,1301100,988300
round_k,0.1,2,6,14,30,62,141,382,806,2168,4941
round_shots,2100,500,400,400,400,400,400,400,500,400,100
round_queries,2500,5200,11600,26800,62000,144400,314000,966500,2023600,1234100
round_k,0.1,2,6,14,33,77,180,392,966,2529,6170
round_shots,2200,600,400,500,400,400,400,500,400,400,200
round_queries,3000,5200,14500,24400,57200,115600,329500,715600,1578800,1926200
round_k,0.1,2,6,14,30,71,144,329,894,1973,4815
round_shots,1800,600,400,500,400,400,400,400,400,400,300
round_queries,3000,4400,12500,22000,46000,107600,249200,586000,1204400,2255700
round_k,0.1,2,5,12,27,57,134,311,732,1505,3759
round_shots,2200,500,400,400,500,400,400,400,400,400,400
round_queries,2500,5200,11600,30500,54800,115600,278000,610000,1331600,2710000
round_k,0.1,2,6,14,30,68,144,347,762,1664,3387
round_shots,1500,600,500,400,500,400,400,400,400,400,100
round_queries,3000,6500,11600,30500,69200,149200,366800,864400,1888400,1064500
round_k,0.1,2,6,14,30,86,186,458,1080,2360,5322
round_shots,2500,500,400,400,400,400,400,400,400,400,200
round_queries,2500,5200,11600,26800,62000,134800,306800,703600,1696400,1796600
round_k,0.1,2,6,14,33,77,168,383,879,2120,4491
round_shots,1400,500,500,400,400,300,400,400,400,400,100
round_queries,2500,6500,11600,26800,44700,131600,274000,652400,1486000,928100
round_k,0.1,2,6,14,33,74,164,342,815,1857,4640
round_shots,2900,600,400,400,400,400,400,400,400,400,300
round_queries,3000,5200,11600,26800,57200,115600,275600,648400,1319600,2117100
round_k,0.1,2,6,14,33,71,144,344,810,1649,3528
round_shots,1800,500,500,400,400,400,400,400,400,200,200
round_queries,2500,5500,12400,26000,55600,114800,264400,671600,884200,1790200
round_k,0.1,2,5,15,32,69,143,330,839,2210,4475
round_shots,2100,600,500,400,400,400,500,400,400,400,100
round_queries,3000,6500,11600,26800,62000,165500,359600,818800,1732400,987100
round_k,0.1,2,6,14,33,77,165,449,1023,2165,4935
round_shots,1800,600,400,500,400,400,400,400,400,500,300
round_queries,3000,4400,12500,22000,45200,98800,210800,514000,1496500,2396100
round_k,0.1,2,5,12,27,56,123,263,642,1496,3993
round_shots,2500,500,500,500,400,400,400,400,400,400,200
round_queries,2500,6500,14500,26800,62000,126800,312400,760400,1642000,1851400
round_k,0.1,2,6,14,33,77,158,390,950,2052,4628
round_shots,2200,600,400,400,400,400,400,500,400,400,300
round_queries,3000,4400,10000,21200,50800,119600,315500,616400,1291600,2363100
round_k,0.1,2,5,12,26,63,149,315,770,1614,3938
round_shots,2300,600,400,400,400,400,400,400,400,400,200
round_queries,3000,5200,11600,24400,57200,125200,285200,648400,1420400,1753400
round_k,0.1,2,6,14,30,71,156,356,810,1775,4383
round_shots,2000,600,400,400,500,400,500,400,400,400,100
round_queries,3000,5200,11600,29500,62800,173500,355600,846800,1908400,1163900
round_k,0.1,2,6,14,29,78,173,444,1058,2385,5819
round_shots,2200,500,400,400,400,400,400,400,400,400,300
round_queries,2500,5200,11600,26800,54800,118000,251600,605200,1307600,2187300
round_k,0.1,2,6,14,33,68,147,314,756,1634,3645
round_shots,2400,400,500,400,400,400,500,400,400,500,100
round_queries,2000,5500,10000,21200,48400,137500,298000,734000,2091500,1138100
round_k,0.1,2,5,12,26,60,137,372,917,2091,5690
round_shots,2400,500,400,400,500,400,500,400,400,500
round_queries,3500,6800,14800,38500,86800,236500,487600,1134800,3381500
round_k,0.1,3,8,18,38,108,236,609,1418,3381
round_shots,2400,600,600,500,400,400,400,400,400,400
round_queries,3000,7800,17500,36400,83600,197200,458000,1092400,2603600
round_k,0.1,2,6,17,45,104,246,572,1365,3254
round_shots,2400,600,500,400,400,500,400,400,400,400,400
round_queries,3000,5500,10000,21200,57500,106000,220400,540400,1218800,2777200
round_k,0.1,2,5,12,26,57,132,275,675,1523,3471
round_shots,3000,600,400,400,400,400,400,400,400,500,100
round_queries,3000,5200,11600,24400,54800,119600,278000,653200,2015500,1170100
round_k,0.1,2,6,14,30,68,149,347,816,2015,5850
round_shots,2400,600,400,400,400,400,400,400,400,400,500
round_queries,3000,4400,10000,21200,50800,110000,235600,537200,1198000,3140500
round_k,0.1,2,5,12,26,63,137,294,671,1497,3140
round_shots,1700,500,500,400,500,400,400,400,400,400,400
round_queries,2500,6500,11600,33500,60400,131600,298000,623600,1375600,2861200
round_k,0.1,2,6,14,33,75,164,372,779,1719,3576
round_shots,2600,500,400,400,400,400,500,400,400,400,200
round_queries,2500,5200,11600,26800,55600,161500,353200,786800,1615600,1802200
round_k,0.1,2,6,14,33,69,161,441,983,2019,4505
round_shots,2100,600,400,400,400,400,400,400,400,500,200
round_queries,3000,4400,10000,23600,53200,110000,252400,621200,1713500,1653800
round_k,0.1,2,5,12,29,66,137,315,776,1713,4134
round_shots,1800,600,500,500,400,500,500,400,400,400,300
round_queries,3000,5500,12500,21200,60500,152500,331600,779600,1601200,2595900
round_k,0.1,2,5,12,26,60,152,414,974,2001,4326
round_shots,1700,600,500,500,400,400,400,400,400,500,100
round_queries,3000,6500,14500,26800,57200,134800,309200,770800,2000500,1149700
round_k,0.1,2,6,14,33,71,168,386,963,2000,5748
round_shots,1900,600,500,400,400,300,300,100,300,300,100,100
round_queries,3000,5500,9200,19600,37500,83100,60900,381900,851700,720300,1559100
round_k,0.1,2,5,11,24,62,138,304,636,1419,3601,7795
round_shots,2500,500,500,400,400,400,500,400,500,400
round_queries,2500,6500,14000,34000,78800,243500,474800,1308500,3004400
round_k,0.1,2,6,17,42,98,243,593,1308,3755
round_shots,2700,500,500,400,400,400,400,400,400,500,200
round_queries,2500,6500,11600,24400,50000,103600,232400,566800,1529500,1758200
round_k,0.1,2,6,14,30,62,129,290,708,1529,4395
round_shots,1800,500,400,400,500,400,400,400,400,500,100
round_queries,2500,4400,10000,26500,60400,131600,326800,779600,2106500,1102100
round_k,0.1,2,5,12,26,75,164,408,974,2106,5510
round_shots,1700,600,500,400,400,500,400,400,400,400,100
round_queries,3000,6500,11600,24400,74500,144400,321200,722800,1578800,941500
round_k,0.1,2,6,14,30,74,180,401,903,1973,4707
round_shots,1700,500,400,500,400,500,400,500,400,500
round_queries,2500,4400,12500,21200,60500,141200,396500,926000,2850500
round_k,0.1,2,5,12,26,60,176,396,1157,2850
round_shots,3000,600,500,400,400,400,500,400,400,400,300
round_queries,3000,5500,10000,23600,53200,155500,324400,738800,1517200,2386500
round_k,0.1,2,5,12,29,66,155,405,923,1896,3977
round_shots,2000,500,400,500,400,400,400,400,400,400,200
round_queries,2500,5200,14500,24400,59600,137200,314000,677200,1631600,1901000
round_k,0.1,2,6,14,30,74,171,392,846,2039,4752
round_shots,1600,500,500,400,400,400,400,400,400,400,300
round_queries,2500,5500,10000,21200,46000,110000,269200,580400,1279600,2139900
round_k,0.1,2,5,12,26,57,137,336,725,1599,3566
round_shots,1800,500,500,400,500,400,400,400,500,400,100
round_queries,2500,6500,11600,30500,69200,158800,364400,1098500,2094800,1248100
round_k,0.1,2,6,14,30,86,198,455,1098,2618,6240
round_shots,2100,600,400,400,400,400,400,400,300,100,300
round_queries,3000,5200,11600,24400,50000,122800,292400,459300,338100,2122500
round_k,0.1,2,6,14,30,62,153,365,765,1690,3537
round_shots,2300,500,400,500,400,400,500,400,400,400,100
round_queries,2500,5200,14500,26800,62000,171500,398000,970000,2095600,1207700
round_k,0.1,2,6,14,33,77,171,497,1212,2619,6038
round_shots,2500,600,400,400,400,400,400,400,400,400,400
round_queries,3000,4400,10000,23600,53200,122000,250000,527600,1272400,2901200
round_k,0.1,2,5,12,29,66,152,312,659,1590,3626
round_shots,1600,600,500,400,400,400,400,400,300,400,300
round_queries,3000,5500,10000,21200,46000,102800,242800,487500,1339600,2397900
round_k,0.1,2,5,12,26,57,128,303,812,1674,3996
round_shots,2500,500,500,400,400,500,400,400,400,400,200
round_queries,2500,6500,11600,24400,74500,149200,359600,838000,1773200,1977800
round_k,0.1,2,6,14,30,74,186,449,1047,2216,4944
round_shots,1400,500,500,500,400,400,500,500,400,400
round_queries,2500,5500,12500,24400,54800,162500,470500,1022800,2356400
round_k,0.1,2,5,12,30,68,162,470,1278,2945
round_shots,2200,500,400,500,400,400,400,400,400,400,400
round_queries,2500,5200,14500,26800,59600,132400,290000,580400,1382800,2990000
round_k,0.1,2,6,14,33,74,165,362,725,1728,3737
round_shots,2300,600,400,400,400,500,400,500,400,400,100
round_queries,3000,5200,11600,26800,77500,168400,449500,859600,1895600,1166500
round_k,0.1,2,6,14,33,77,210,449,1074,2369,5832
round_shots,2000,500,400,400,500,400,400,500,400,400
round_queries,2500,5200,11600,33500,74000,180400,497500,1104400,2363600
