round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,9300,41300,197500,996300,5062100,25634100
round_k,0,2,9,46,206,987,4981,25310,128170
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1900,8300,40700,202500,1022700,5178900,26294700
round_k,0,2,9,41,203,1012,5113,25894,131473
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,9300,44100,216300,1081300,5478100,27609100
round_k,0,2,9,46,220,1081,5406,27390,138045
round_shots,300,100,100,100,100,100,100,100
round_queries,300,500,2300,11300,53500,264300,1299300,6526500
round_k,0,2,11,56,267,1321,6496,32632
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,10700,51500,251500,1278100,6498100
round_k,0,2,11,53,257,1257,6390,32490
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1500,6900,30700,154700,757100,3822700,19482100
round_k,0,2,7,34,153,773,3785,19113,97410
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8700,40700,204300,1026500,5155300,26201900
round_k,0,2,9,43,203,1021,5132,25776,131009
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1900,7500,36500,173900,878900,4478300,22574500
round_k,0,2,9,37,182,869,4394,22391,112872
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1700,7700,33300,167500,837500,4243100,21543900
round_k,0,2,8,38,166,837,4187,21215,107719
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8900,44100,211900,1059100,5364100,27325500
round_k,0,2,9,44,220,1059,5295,26820,136627
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8700,42500,209500,1052500,5310500,26993900
round_k,0,2,9,43,212,1047,5262,26552,134969
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1300,4700,21700,105300,526500,2680500,13583700
round_k,0,2,6,23,108,526,2632,13402,67918
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,9100,42700,204500,1037100,5209900,26509500
round_k,0,2,9,45,213,1022,5185,26049,132547
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,900,3700,16300,81300,398500,2003700,10152900
round_k,0,1,4,18,81,406,1992,10018,50764
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8700,41500,202500,1009900,5120700,26102700
round_k,0,2,9,43,207,1012,5049,25603,130513
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1300,6500,28300,139100,693700,3504300,17766900
round_k,0,2,6,32,141,695,3468,17521,88834
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,7500,34700,173100,859100,4324300,21967100
round_k,0,2,9,37,173,865,4295,21621,109835
round_shots,300,100,100,100,100,100,100,100
round_queries,300,500,2300,11100,51900,257500,1306700,6643900
round_k,0,2,11,55,259,1287,6533,33219
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,7900,36900,180100,861900,4293900,21750500
round_k,0,2,9,39,184,900,4309,21469,108752
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,900,4300,19700,97900,450100,2261700,11394100
round_k,0,1,4,21,98,489,2250,11308,56970
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,2300,9300,41700,204300,1024100,5191900,26385100
round_k,0,2,11,46,208,1021,5120,25959,131925
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,7900,36500,177300,884700,4455300,22587500
round_k,0,2,9,39,182,886,4423,22276,112937
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,500,1900,8900,44700,215300,1091700,5460700,27790300
round_k,0,2,9,44,223,1076,5458,27303,138951
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,2300,10300,47100,211100,1065500,5405100,27554300
round_k,0,2,11,51,235,1055,5327,27025,137771
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8300,37700,189100,945300,4810700,24222300
round_k,0,2,9,41,188,945,4726,24053,121111
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,7900,35300,174300,869700,4416500,22390700
round_k,0,2,9,39,176,871,4348,22082,111953
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,500,2300,9900,46700,229300,1136700,5724300,29067500
round_k,0,2,11,49,233,1146,5683,28621,145337
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1500,6500,28300,140300,704900,3579900,18178700
round_k,0,2,7,32,141,701,3524,17899,90893
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1700,6900,32100,162100,805900,4073700,20733100
round_k,0,2,8,34,160,810,4029,20368,103665
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,2500,10700,47900,230700,1168700,5927300,29911100
round_k,0,2,12,53,239,1153,5843,29636,149555
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,500,2300,9100,41500,205300,1030300,5196500,26300500
round_k,0,2,11,45,207,1026,5151,25982,131502
