round_queries,100,300,1100,4700,23100,115900,608500
round_k,0,1,5,23,115,579,3042
round_shots,100,200,100,100,100,100,100
round_queries,100,600,1500,6300,28700,147500,750100
round_k,0,1,7,31,143,737,3750
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6100,30100,157700
round_k,0,1,6,30,150,788
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,30900,159100
round_k,0,1,6,31,154,795
round_shots,400,100,100,100,100,100
round_queries,400,900,3900,17300,85300,448300
round_k,0,4,19,86,426,2241
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,16500,79900,406100
round_k,0,1,5,19,82,399,2030
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24100,126300,650500
round_k,0,1,6,25,120,631,3252
round_shots,100,200,100,100,100,100
round_queries,100,600,1300,6300,31500,156700
round_k,0,1,6,31,157,783
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,21700,104100,534500
round_k,0,1,6,24,108,520,2672
round_shots,200,200,100,100,100,100
round_queries,200,600,1300,5900,29100,148300
round_k,0,1,6,29,145,741
round_shots,300,100,100,100,100,100
round_queries,300,700,3500,16300,80300,419700
round_k,0,3,17,81,401,2098
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,18700,92500,484300
round_k,0,1,5,20,93,462,2421
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,7700,39700,207300
round_k,0,1,7,38,198,1036
round_shots,400,100,100,100,100,100
round_queries,400,900,3700,16100,82700,426500
round_k,0,4,18,80,413,2132
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5100,26100,136300,714100
round_k,0,1,6,25,130,681,3570
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,28900,144700,736700
round_k,0,1,6,30,144,723,3683
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5100,23900,119500,629700
round_k,0,1,6,25,119,597,3148
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1300,5900,25500,122300,626900
round_k,0,1,6,29,127,611,3134
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1100,5100,25700,134700,702100
round_k,0,1,5,25,128,673,3510
round_shots,400,100,100,100,100,100
round_queries,400,900,3700,16500,81700,430500
round_k,0,4,18,82,408,2152
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,21900,97900,492900
round_k,0,1,5,24,109,489,2464
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5900,28100,140100,727700
round_k,0,1,6,29,140,700,3638
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,6300,28900,151500
round_k,0,1,7,31,144,757
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5900,27700,144700,743500
round_k,0,1,6,29,138,723,3717
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,21100,105700,540100
round_k,0,1,5,23,105,528,2700
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1300,5300,25100,127700,674100
round_k,0,1,6,26,125,638,3370
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,24300,120700,635900
round_k,0,1,6,26,121,603,3179
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,30300,153700
round_k,0,1,6,30,151,768
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,21900,110700,577300
round_k,0,1,5,23,109,553,2886
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5100,24700,123100,637500
round_k,0,1,6,25,123,615,3187
round_shots,300,100,100,100,100,100
round_queries,300,300,1300,6100,29700,153900
round_k,0,1,6,30,148,769
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5500,25300,125300,652700
round_k,0,1,6,27,126,626,3263
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,6700,31700,162100
round_k,0,1,7,33,158,810
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,7700,39300,200500
round_k,0,1,7,38,196,1002
round_shots,100,200,100,100,100,100,100
round_queries,100,600,1500,6100,31100,139900,710700
round_k,0,1,7,30,155,699,3553
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1100,4900,22300,110500,575300
round_k,0,1,5,24,111,552,2876
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,6700,33300,170500
round_k,0,1,7,33,166,852
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5100,26900,137100,712100
round_k,0,1,5,25,134,685,3560
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,6100,27100,137300,714500
round_k,0,1,6,30,135,686,3572
round_shots,100,200,100,100,100,100
round_queries,100,600,1700,6500,31900,163900
round_k,0,1,8,32,159,819
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6300,31700,161300
round_k,0,1,7,31,158,806
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,31500,155300
round_k,0,1,6,31,157,776
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,25500,130300,682300
round_k,0,1,6,25,127,651,3411
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5500,27100,138700,720900
round_k,0,1,6,27,135,693,3604
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,18900,93300,484500
round_k,0,1,5,20,94,466,2422
