round_shots,200,100,100,100,100,100,100
round_queries,200,300,1500,6700,30100,149500,772900
round_k,0,1,7,33,150,747,3864
round_shots,400,100,100,100,100,100
round_queries,400,700,3300,15300,78500,402700
round_k,0,3,16,76,392,2013
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,4300,19100,92900,471500
round_k,0,1,4,21,95,464,2357
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,11100,55700,282700,1480900
round_k,0,3,12,55,278,1413,7404
round_shots,300,100,100,100,100,100
round_queries,300,900,3900,18700,91500,464500
round_k,0,4,19,93,457,2322
round_shots,300,100,100,100,100,100
round_queries,300,700,3300,14300,68300,345300
round_k,0,3,16,71,341,1726
round_shots,400,100,100,100,100,100
round_queries,400,700,3100,13900,64700,337900
round_k,0,3,15,69,323,1689
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3300,14700,68700,357900
round_k,0,1,4,16,73,343,1789
round_shots,300,100,100,100,100,100,100
round_queries,300,300,900,3300,16300,78900,400500
round_k,0,1,4,16,81,394,2002
round_shots,400,100,100,100,100,100
round_queries,400,900,4100,19300,78700,407500
round_k,0,4,20,96,393,2037
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1500,6500,26500,124300,641100
round_k,0,2,7,32,132,621,3205
round_shots,200,100,100,100,100,100
round_queries,200,700,2300,11700,60900,314900
round_k,0,3,11,58,304,1574
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,25500,128700,661500
round_k,0,1,5,24,127,643,3307
round_shots,300,100,100,100,100,100,100
round_queries,300,300,900,3300,15700,81700,421300
round_k,0,1,4,16,78,408,2106
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,10900,53300,271700,1395900
round_k,0,3,12,54,266,1358,6979
round_shots,400,100,100,100,100,100
round_queries,400,900,4300,20100,101300,524500
round_k,0,4,21,100,506,2622
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,11300,44700,222100,1155700
round_k,0,3,12,56,223,1110,5778
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4100,20100,97500,478500
round_k,0,1,4,20,100,487,2392
round_shots,200,100,100,100,100,100
round_queries,200,700,3300,14100,67900,353100
round_k,0,3,16,70,339,1765
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2700,12100,56900,239500,1210100
round_k,0,3,13,60,284,1197,6050
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1500,6500,25900,131900,677900
round_k,0,1,7,32,129,659,3389
round_shots,400,100,100,100,100,100
round_queries,400,900,3900,16900,76100,362300
round_k,0,4,19,84,380,1811
round_shots,300,100,100,100,100,100
round_queries,300,700,3100,13700,67900,350100
round_k,0,3,15,68,339,1750
round_shots,400,100,100,100,100,100
round_queries,400,900,3300,14700,70900,364300
round_k,0,4,16,73,354,1821
round_shots,300,100,100,100,100,100
round_queries,300,900,3300,15300,75300,389700
round_k,0,4,16,76,376,1948
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,9700,40300,200100,1032900
round_k,0,3,12,48,201,1000,5164
round_shots,400,100,100,100,100,100
round_queries,400,700,3100,13700,62100,322700
round_k,0,3,15,68,310,1613
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3300,15700,81700,427900
round_k,0,1,4,16,78,408,2139
round_shots,300,100,100,100,100,100
round_queries,300,700,3300,13100,65500,339100
round_k,0,3,16,65,327,1695
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1500,7300,32300,150700,785300
round_k,0,1,7,36,161,753,3926
round_shots,400,100,100,100,100,100
round_queries,400,700,3500,13900,69700,355100
round_k,0,3,17,69,348,1775
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2500,10700,53500,274500,1430100
round_k,0,3,12,53,267,1372,7150
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2500,10300,44900,185300,917700
round_k,0,3,12,51,224,926,4588
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2300,8900,39100,195900,1029700
round_k,0,3,11,44,195,979,5148
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2500,10500,52900,263900,1366700
round_k,0,3,12,52,264,1319,6833
round_shots,300,100,100,100,100,100
round_queries,300,900,3900,16500,82100,426900
round_k,0,4,19,82,410,2134
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2500,11900,58900,277100,1425700
round_k,0,3,12,59,294,1385,7128
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3300,14100,70100,355300
round_k,0,1,4,16,70,350,1776
round_shots,300,100,100,100,100,100
round_queries,300,700,3500,15300,76700,394300
round_k,0,3,17,76,383,1971
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2300,10300,45900,222300,1143900
round_k,0,3,11,51,229,1111,5719
round_shots,300,100,100,100,100,100
round_queries,300,900,4100,19500,96100,489100
round_k,0,4,20,97,480,2445
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,10700,51300,265900,1393500
round_k,0,3,12,53,256,1329,6967
round_shots,200,100,100,100,100,100
round_queries,200,700,3500,14900,73300,378700
round_k,0,3,17,74,366,1893
round_shots,200,100,100,100,100,100,100
round_queries,200,500,2500,12900,55700,285700,1498900
round_k,0,2,12,64,278,1428,7494
round_shots,300,100,100,100,100,100,100
round_queries,300,500,1700,7500,34300,175100,898100
round_k,0,2,8,37,171,875,4490
round_shots,300,100,100,100,100,100
round_queries,300,900,4300,21300,105700,549500
round_k,0,4,21,106,528,2747
round_shots,300,100,100,100,100,100
round_queries,300,900,4100,19700,99300,514900
round_k,0,4,20,98,496,2574
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2300,10300,51900,264100,1360700
round_k,0,3,11,51,259,1320,6803
round_shots,200,100,100,100,100,100
round_queries,200,700,3100,12700,63900,319900
round_k,0,3,15,63,319,1599
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2300,9100,43700,220300,1138300
round_k,0,3,11,45,218,1101,5691
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,9500,41700,197500,995900
round_k,0,3,12,47,208,987,4979
round_shots,200,100,100,100,100,100
round_queries,200,700,3300,15300,75500,386700
round_k,0,3,16,76,377,1933
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1100,4300,18900,93500,474700
round_k,0,1,5,21,94,467,2373
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3100,12100,59100,295500,1529900
round_k,0,3,15,60,295,1477,7649
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3900,18500,93100,479500
round_k,0,1,4,19,92,465,2397
round_shots,100,100,100,100,100,100,100
round_queries,100,500,1700,6500,32100,158500,815500
round_k,0,2,8,32,160,792,4077
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,25700,130100,675300
round_k,0,1,5,25,128,650,3376
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2700,12300,57300,289300,1498700
round_k,0,3,13,61,286,1446,7493
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23300,117100,607500
round_k,0,1,5,25,116,585,3037
round_shots,400,100,100,100,100,100
round_queries,400,700,2500,12100,60300,306900
round_k,0,3,12,60,301,1534
round_shots,300,100,100,100,100,100
round_queries,300,700,2500,11500,58900,306700
round_k,0,3,12,57,294,1533
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22100,110100,571700
round_k,0,1,5,24,110,550,2858
round_shots,400,100,100,100,100,100
round_queries,400,900,4100,18700,94500,494500
round_k,0,4,20,93,472,2472
round_shots,300,100,100,100,100,100
round_queries,300,900,3300,15300,75700,392700
round_k,0,4,16,76,378,1963
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2300,9700,44300,225700,1153100
round_k,0,3,11,48,221,1128,5765
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,11500,55100,280500,1448500
round_k,0,3,12,57,275,1402,7242
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2300,9500,45900,218900,1131700
round_k,0,3,11,47,229,1094,5658
round_shots,300,100,100,100,100,100
