round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1300,5100,25100,122500,613900,3108500,15729500
round_k,0,1,6,25,125,612,3069,15542,78647
round_shots,300,200,100,100,100,100,100,100,100
round_queries,300,600,1500,7500,35500,177500,884100,4358100,22106300
round_k,0,1,7,37,177,887,4420,21790,110531
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,7500,34900,170700,848700,4248900,21527700
round_k,0,1,7,37,174,853,4243,21244,107638
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,21700,103300,510300,2555900,12879100,65356300
round_k,0,1,5,24,108,516,2551,12779,64395,326781
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,23700,115900,579300,2871300,14512700,73116700
round_k,0,1,5,24,118,579,2896,14356,72563,365583
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,16100,80500,392100,1967900,9893500,50125500
round_k,0,1,5,19,80,402,1960,9839,49467,250627
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6700,30300,149300,742900,3725300,18860100
round_k,0,1,7,33,151,746,3714,18626,94300
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22900,114300,572500,2884700,14598700,74003500
round_k,0,1,5,24,114,571,2862,14423,72993,370017
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,23700,112900,568500,2840500,14363300,72761500
round_k,0,1,5,24,118,564,2842,14202,71816,363807
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,20700,94500,465500,2328300,11782500,59682100
round_k,0,1,5,23,103,472,2327,11641,58912,298410
round_shots,400,100,100,100,100,100,100,100,100
round_queries,400,900,3700,17300,84300,425300,2137100,10750300,54398700
round_k,0,4,18,86,421,2126,10685,53751,271993
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,4900,22500,106900,533100,2656500,13459700,68216500
round_k,0,1,6,24,112,534,2665,13282,67298,341082
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,4900,24300,118500,585100,2949100,14942500,75427300
round_k,0,1,6,24,121,592,2925,14745,74712,377136
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,17100,82300,402500,2024900,10249500,51826100
round_k,0,1,5,19,85,411,2012,10124,51247,259130
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,20700,98300,494500,2478500,12527500,63509100
round_k,0,1,5,24,103,491,2472,12392,62637,317545
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4500,19700,98700,490700,2464900,12406100,62911100
round_k,0,1,5,22,98,493,2453,12324,62030,314555
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6100,25500,149900,744900,3731100,18842100
round_k,0,1,7,30,127,749,3724,18655,94210
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,19500,83300,402300,2015100,10176300,51316100
round_k,0,1,5,19,97,416,2011,10075,50881,256580
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,23900,119100,592100,2968900,14970700,75955300
round_k,0,1,6,25,119,595,2960,14844,74853,379776
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,23700,118500,582300,2937100,14853700,75355700
round_k,0,1,6,25,118,592,2911,14685,74268,376778
round_shots,200,200,100,100,100,100,100,100,100,100
round_queries,200,600,1300,5100,23500,110900,559900,2796500,13951700,69943100
round_k,0,1,6,25,117,554,2799,13982,69758,349715
round_shots,300,200,100,100,100,100,100,100,100
