round_shots,2400,600,500,400,200,300,300,300,300,300,200,200
round_queries,2400,3000,6500,11600,13000,42900,101100,206700,423300,941700,1479400,3373000
round_k,0,2,6,14,32,71,168,344,705,1569,3698,8432
round_shots,2200,500,400,400,300,200,200,200,200,200,200,300
round_queries,2200,2500,5200,12400,20100,27000,57800,130200,280200,637800,1338600,4026300
round_k,0,2,6,15,33,67,144,325,700,1594,3346,6710
round_shots,1300,600,300,200,200,300,200,200,200,200,300,300,100
round_queries,1300,3000,3300,4600,9400,28500,47000,94200,215400,444600,1429500,3467100,2874500
round_k,0,2,5,11,23,47,117,235,538,1111,2382,5778,14372
round_shots,2300,600,500,400,300,400,200,200,300,200,200
round_queries,2300,3000,5500,12400,20100,67600,113400,247400,834300,1360200,3183800
round_k,0,2,5,15,33,84,283,618,1390,3400,7959
round_shots,2700,600,400,500,400,400,300,200,200,200,200,100
round_queries,2700,3000,5200,14500,26000,54800,109500,199800,448600,966600,2228600,2484700
round_k,0,2,6,14,32,68,182,499,1121,2416,5571,12423
round_shots,2100,500,600,500,300,200,200,300,300,200,300,100
round_queries,2100,2500,7800,15500,20100,33800,72200,216900,540300,889400,2834100,2391500
round_k,0,2,6,15,33,84,180,361,900,2223,4723,11957
round_shots,1800,600,500,400,500,400,700,300,200,200,300,200
round_queries,1800,3000,5500,10000,26500,47600,168700,177900,328200,736600,2330100,3869000
round_k,0,2,5,12,26,59,120,296,820,1841,3883,9672
round_shots,2100,600,400,400,400,200,300,300,300,300,200,100
round_queries,2100,3000,5200,11600,24400,36200,125100,307500,669900,1530900,2513400,2839700
round_k,0,2,6,14,30,90,208,512,1116,2551,6283,14198
round_shots,2700,600,500,900,300,300,300,200,300,200,200,100
round_queries,2700,3000,6500,26100,20100,41700,89700,154600,536700,925400,2121000,2263300
round_k,0,2,6,14,33,69,149,386,894,2313,5302,11316
round_shots,2200,600,400,500,300,200,300,300,300,200,200
round_queries,2200,3000,5200,14500,20100,30200,97500,281700,709500,1330200,3114200
round_k,0,2,6,14,33,75,162,469,1182,3325,7785
round_shots,2600,500,500,300,300,400,300,200,200,200,200,100
round_queries,2600,2500,6500,11100,25500,74000,135900,230600,523800,1176200,2701800,2922700
round_k,0,2,6,18,42,92,226,576,1309,2940,6754,14613
round_shots,1600,600,500,500,400,200,200,200,200,100,200,100
round_queries,1600,3000,6500,14500,31600,32600,67400,140600,313400,361300,1537000,1769500
round_k,0,2,6,14,39,81,168,351,783,1806,3842,8847
round_shots,2300,500,400,200,300,200,200,200,200,200,200,200
round_queries,2300,2500,5200,6200,20100,31800,71000,151800,325800,763000,1746600,3684600
round_k,0,2,6,15,33,79,177,379,814,1907,4366,9211
round_shots,2200,500,500,400,400,400,300,300,400,200,300,200
round_queries,2200,2500,5500,10000,23600,53200,84300,231900,707600,821000,2535300,3877400
round_k,0,2,5,12,29,66,140,386,884,2052,4225,9693
round_shots,2400,500,500,300,300,200,300,200,300,300,200,100
round_queries,2400,2500,6500,8700,17700,25000,77100,139800,483900,1336500,2260200,2628100
round_k,0,2,6,14,29,62,128,349,806,2227,5650,13140
round_shots,2200,600,400,300,300,300,600,300,200,200,200
round_queries,2200,3000,5200,8700,19500,53700,244200,338100,551400,1268600,2835400
round_k,0,2,6,14,32,89,203,563,1378,3171,7088
round_shots,2100,600,500,600,300,300,200,300,200,200,200
round_queries,2100,3000,6500,17400,20100,54300,101400,333300,549800,1237400,2865000
round_k,0,2,6,14,33,90,253,555,1374,3093,7162
round_shots,1600,500,400,200,300,200,200,300,400,300,300
round_queries,1600,2500,5200,7400,23700,39000,80600,272700,838000,1734300,4604700
round_k,0,2,6,18,39,97,201,454,1047,2890,7674
round_shots,1700,600,300,200,300,200,200,300,200,300,200,200
round_queries,1700,3000,3300,4600,14100,23400,52600,159900,251400,873300,1328600,2759800
round_k,0,2,5,11,23,58,131,266,628,1455,3321,6899
round_shots,1800,600,500,400,400,400,400,300,200,200,200,100
round_queries,1800,3000,6500,11600,24400,53200,112400,198300,350200,741000,1522600,1758500
round_k,0,2,6,14,30,66,140,330,875,1852,3806,8792
round_shots,1400,600,600,300,300,300,200,200,200,200,200,100
round_queries,1400,3000,7800,9300,20100,54900,93800,195000,446200,1014200,2372200,2753700
round_k,0,2,6,15,33,91,234,487,1115,2535,5930,13768
round_shots,1800,500,600,200,300,500,200,200,200,200,200,200
round_queries,1800,2500,7800,7000,23100,77500,67400,136200,306600,711400,1641800,3827000
round_k,0,2,6,17,38,77,168,340,766,1778,4104,9567
round_shots,2400,500,500,400,400,300,300,200,200,300,200,200
round_queries,2400,2500,6500,11600,24400,42900,116700,162600,351400,1085100,1709400,3925800
round_k,0,2,6,14,30,71,194,406,878,1808,4273,9814
round_shots,2800,500,500,600,300,300,200,200,200,200,200,300
round_queries,2800,2500,6500,17400,18300,39900,53400,107000,241800,550600,1250600,4342500
round_k,0,2,6,14,30,66,133,267,604,1376,3126,7237
round_shots,2300,600,600,500,200,300,200,200,200,200,200,100
round_queries,2300,3000,7800,14500,15800,50700,85800,188600,421800,980200,2235800,2428100
round_k,0,2,6,14,39,84,214,471,1054,2450,5589,12140
round_shots,1600,600,400,400,500,500,200,300,200,200,200,100
round_queries,1600,3000,5200,11600,30500,72500,72200,219900,408600,911000,2044200,2348900
round_k,0,2,6,14,30,72,180,366,1021,2277,5110,11744
round_shots,1800,600,500,400,200,300,200,300,300,300,300,200
round_queries,1800,3000,5500,9200,11800,35700,48600,159900,393300,953100,2381700,4192600
round_k,0,2,5,11,29,59,121,266,655,1588,3969,10481
round_shots,2200,500,400,400,300,300,400,200,200,200,200,100
