round_k,1,4,14,46,205,708,2424,8390,36629
round_shots,200,200,200,300,200,100,100,100
round_queries,200,600,1800,8700,24600,51700,177900,2341500
round_k,1,4,14,61,258,889,2885,11707
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,1800,5800,20200,44100,146100,2100500
round_k,1,4,14,50,220,730,2703,10502
round_shots,200,200,400,200,100,100,100,100
round_queries,200,600,3600,8200,18100,54700,187300,2726300
round_k,1,4,20,90,273,936,3283,13631
round_shots,200,200,200,200,200,200,100,100
round_queries,200,600,1800,6600,22200,99400,176100,2374500
round_k,1,4,16,55,248,880,3153,11872
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,400,300,200,100,100,100,100
round_queries,200,600,3600,8100,21400,33500,108900,356100,5571100
round_k,1,4,13,53,167,544,1780,6426,27855
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,300,200,200,200,100,100,100,100
round_queries,200,900,1800,5800,21400,44300,136100,436700,7409100
round_k,1,4,14,53,221,680,2183,8283,37045
round_shots,200,200,300,200,200,100,100,100
round_queries,200,600,2700,7000,22600,41500,143500,2089300
round_k,1,4,17,56,207,717,2601,10446
round_shots,200,200,500,200,100,100,100,100
round_queries,200,600,4500,8600,17700,56300,193300,2204100
round_k,1,4,21,88,281,966,3428,11020
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,1800,6200,26200,40900,123900,1732500
round_k,1,4,15,65,204,619,2188,8662
round_shots,200,200,300,200,300,100,100,100,100
round_queries,200,600,2700,5400,24900,31700,101100,367900,4744500
round_k,1,4,13,41,158,505,1839,5616,23722
round_shots,200,200,500,200,200,100,100,100
round_queries,200,600,4500,8600,29400,61700,201700,2601900
round_k,1,4,21,73,308,1008,3653,13009
round_shots,200,200,400,200,200,200,200,100
round_queries,200,600,3600,8200,27800,106600,514600,4047300
round_k,1,4,20,69,266,1286,5231,20236
round_shots,200,200,200,100,100,100,100,100,100
