round_shots,2400,500,500,400,300,200,200,200,200,200
round_queries,2400,2500,6500,12400,25500,37800,83000,179400,422200,962600
round_k,0,2,6,15,42,94,207,448,1055,2406
round_shots,2100,500,500,500,400,300,200,100,200,100
round_queries,2100,2500,5500,12500,28400,48900,69000,81100,329400,375100
round_k,0,2,5,12,35,81,172,405,823,1875
round_shots,1500,500,400,400,500,400,300,300,200,100
round_queries,1500,2500,5200,11600,30500,59600,109500,267900,501000,557900
round_k,0,2,6,14,30,74,182,446,1252,2789
round_shots,1600,600,400,600,200,200,300,300,300,300,100
round_queries,1600,3000,4400,15000,13000,27400,89100,239100,497100,995100,751100
round_k,0,2,5,12,32,68,148,398,828,1658,3755
round_shots,3000,600,400,400,400,300,500,200,300,200
round_queries,3000,3000,5200,11600,26800,59700,210500,170200,573900,1012200
round_k,0,2,6,14,33,99,210,425,956,2530
round_shots,3100,500,400,400,300,300,200,200,200,100
round_queries,3100,3500,6800,14800,29100,79500,111000,230600,523000,605100
round_k,0,3,8,18,48,132,277,576,1307,3025
round_shots,2100,600,300,300,300,300,200,300,300,100
round_queries,2100,3000,3900,9300,26100,60900,105000,355500,933900,726700
round_k,0,2,6,15,43,101,262,592,1556,3633
round_shots,2500,500,400,300,300,300,200,200,200,200
round_queries,2500,2500,5200,9300,20100,41700,67000,153400,351800,804600
round_k,0,2,6,15,33,69,167,383,879,2011
round_shots,1900,400,500,700,300,300,300,300,300,200
round_queries,1900,2000,5500,17500,17700,37500,81900,200700,552900,869400
round_k,0,2,5,12,29,62,136,334,921,2173
round_shots,2300,600,500,500,300,300,300,200,200,300
round_queries,2300,3000,6500,17500,23100,50100,105900,161000,328200,1059300
round_k,0,2,6,17,38,83,176,402,820,1765
round_shots,2400,500,500,500,300,200,300,300,200,200
round_queries,2400,2500,6500,14500,21300,31000,99900,241500,408600,837800
round_k,0,2,6,14,35,77,166,402,1021,2094
round_shots,2100,600,500,300,300,300,300,200,200,200
round_queries,2100,3000,5500,6900,14100,37500,85500,142200,331800,778600
round_k,0,2,5,11,23,62,142,355,829,1946
round_shots,2700,500,400,400,300,300,300,200,200,100
round_queries,2700,2500,5200,12400,23700,59700,164700,256200,595800,677900
round_k,0,2,6,15,39,99,274,640,1489,3389
round_shots,2400,600,400,300,400,200,200,200,200,200
round_queries,2400,3000,5200,9300,26800,38200,88600,194600,447000,1024600
round_k,0,2,6,15,33,95,221,486,1117,2561
round_shots,2100,400,400,400,400,200,200,200,200,200,200
round_queries,2100,2000,4400,9200,22000,22600,49000,107400,217400,439400,960200
round_k,0,2,5,11,27,56,122,268,543,1098,2400
round_shots,2300,500,300,200,200,300,500,300,300,300
round_queries,2300,2500,3900,6200,13400,44100,176500,275100,552900,1178100
round_k,0,2,6,15,33,73,176,458,921,1963
round_shots,2100,500,500,900,300,200,300,200,200,200
round_queries,2100,2500,5500,22500,15900,28200,88500,148200,303800,701800
round_k,0,2,5,12,26,70,147,370,759,1754
round_shots,1800,600,400,300,200,200,300,200,300,300
round_queries,1800,3000,4400,6900,10600,22200,70500,121800,405900,1002300
round_k,0,2,5,11,26,55,117,304,676,1670
round_shots,2500,500,400,400,400,400,300,200,200,100
round_queries,2500,2500,4400,10000,22000,50800,130500,227000,518200,597900
round_k,0,2,5,12,27,63,217,567,1295,2989
round_shots,1300,600,500,400,500,200,300,300,300
round_queries,1300,3000,6500,11600,30500,32200,104100,299700,847500
round_k,0,2,6,14,30,80,173,499,1412
round_shots,2300,500,500,400,400,300,100,300,200,200
round_queries,2300,2500,6500,11600,26800,48900,43700,269700,419400,959400
round_k,0,2,6,14,33,81,218,449,1048,2398
round_shots,1900,600,400,500,300,300,300,200,200,200
round_queries,1900,3000,4400,11500,15900,39300,96300,155400,320600,726600
round_k,0,2,5,11,26,65,160,388,801,1816
round_shots,2800,500,400,500,400,400,300,300,300,300
round_queries,2800,2500,5200,14500,31600,69200,117300,261300,529500,1239900
round_k,0,2,6,14,39,86,195,435,882,2066
round_shots,2000,400,400,300,200,300,200,200,200,300,100
round_queries,2000,2000,4400,6900,10600,32100,49800,100600,222600,752700,668300
round_k,0,2,5,11,26,53,124,251,556,1254,3341
round_shots,2500,600,400,500,300,300,300,300,300,200,100
round_queries,2500,3000,4400,12500,16500,34500,72300,177900,420300,570600,596300
round_k,0,2,5,12,27,57,120,296,700,1426,2981
round_shots,2300,500,400,600,300,300,200,200,200,200
round_queries,2300,2500,5200,17400,20100,50700,93000,188600,408600,836200
round_k,0,2,6,14,33,84,232,471,1021,2090
round_shots,1500,500,400,700,400,200,200,200,200,200
round_queries,1500,2500,5200,20300,24400,39000,86600,191400,434200,990200
round_k,0,2,6,14,30,97,216,478,1085,2475
round_shots,2900,500,400,500,400,300,200,100,200,200
round_queries,2900,2500,5200,14500,26800,52500,93400,109300,459000,1065400
round_k,0,2,6,14,33,87,233,546,1147,2663
round_shots,2700,500,400,300,300,200,200,200,300,100
round_queries,2700,2500,5200,9300,26100,47000,100200,213000,647700,532900
round_k,0,2,6,15,43,117,250,532,1079,2664
round_shots,2700,500,500,300,200,200,200,200,200,200
round_queries,2700,2500,6500,9300,15800,35400,71000,160200,361000,787800
round_k,0,2,6,15,39,88,177,400,902,1969
round_shots,2200,600,500,400,300,300,200,200,200,200
round_queries,2200,3000,5500,9200,14100,37500,64200,137800,310200,702200
round_k,0,2,5,11,23,62,160,344,775,1755
round_shots,2500,500,400,200,200,300,200,200,200,200
round_queries,2500,2500,5200,6200,13400,44100,74600,173800,403800,817000
round_k,0,2,6,15,33,73,186,434,1009,2042
round_shots,1900,500,500,500,300,300,200,200,200,200,100
round_queries,1900,2500,6500,14500,21900,47100,65400,135800,288600,658600,702100
round_k,0,2,6,14,36,78,163,339,721,1646,3510
round_shots,2300,600,400,400,400,400,400,300,200,200
round_queries,2300,3000,5200,11600,26800,55600,132400,254100,462200,997800
round_k,0,2,6,14,33,69,165,423,1155,2494
round_shots,1800,400,300,400,200,300,200,200,200,400,100
round_queries,1800,2000,3300,9200,9400,28500,45000,104200,239000,978000,544900
round_k,0,2,5,11,23,47,112,260,597,1222,2724
round_shots,2500,500,500,400,300,300,200,200,200,200
round_queries,2500,2500,5500,9200,14100,37500,69000,157000,356600,794200
round_k,0,2,5,11,23,62,172,392,891,1985
round_shots,2000,500,500,500,400,300,200,200,300,200
round_queries,2000,2500,6500,14500,26000,59100,84600,193000,591900,985400
round_k,0,2,6,14,32,98,211,482,986,2463
round_shots,2800,500,300,300,400,200,200,300,200,200
round_queries,2800,2500,3900,9300,26800,38200,88600,272700,418200,890200
round_k,0,2,6,15,33,95,221,454,1045,2225
round_shots,2000,600,400,400,400,300,300,400,300,200
round_queries,2000,3000,5200,11600,26000,42900,91500,244400,401700,697400
round_k,0,2,6,14,32,71,152,305,669,1743
round_shots,2500,500,400,400,600,300,300,400,200,200
round_queries,2500,2500,5200,11600,36600,44700,93300,300400,423800,943000
round_k,0,2,6,14,30,74,155,375,1059,2357
round_shots,2100,500,500,200,200,400,200,200,200,200,100
round_queries,2100,2500,6500,7000,14200,59600,66200,137400,297000,606200,662300
round_k,0,2,6,17,35,74,165,343,742,1515,3311
round_shots,1900,600,600,300,300,200,200,200,200,200
round_queries,1900,3000,7800,8700,23100,31800,74200,173000,387400,831000
round_k,0,2,6,14,38,79,185,432,968,2077
round_shots,2500,400,500,400,300,400,200,200,200,200,100
round_queries,2500,2000,5500,9200,15900,45200,53000,107400,241800,551000,608700
round_k,0,2,5,11,26,56,132,268,604,1377,3043
round_shots,2400,500,600,500,300,200,200,200,200,200
round_queries,2400,2500,7800,15500,21900,36200,76200,169400,356600,747400
round_k,0,2,6,15,36,90,190,423,891,1868
round_shots,2400,600,400,300,300,200,200,200,200,200
round_queries,2400,3000,5200,9300,23700,38200,77400,179400,410200,951800
round_k,0,2,6,15,39,95,193,448,1025,2379
round_shots,1300,600,400,600,200,200,200,300,200,200,100
round_queries,1300,3000,4400,15000,13000,26200,53400,169500,283800,667400,745300
round_k,0,2,5,12,32,65,133,282,709,1668,3726
round_shots,2300,500,400,500,500,300,300,400,200,200
round_queries,2300,2500,5200,15500,33500,54300,144300,389200,436600,921000
round_k,0,2,6,15,33,90,240,486,1091,2302
round_shots,2300,500,400,800,300,300,300,200,300,200
round_queries,2300,2500,5200,23200,18300,53100,129300,227400,699900,1063800
round_k,0,2,6,14,30,88,215,568,1166,2659
round_shots,1500,500,400,400,300,300,300,300,300,100
round_queries,1500,2500,5200,11600,20100,47100,128100,320100,731700,559100
round_k,0,2,6,14,33,78,213,533,1219,2795
round_shots,1800,500,400,300,200,300,400,200,200,200
round_queries,1800,2500,5200,8700,11800,35700,95600,140600,321800,711400
round_k,0,2,6,14,29,59,119,351,804,1778
round_shots,2000,600,500,300,300,200,200,200,200,100
round_queries,2000,3000,6500,9300,25500,47400,99800,219000,515800,588900
round_k,0,2,6,15,42,118,249,547,1289,2944
round_shots,3000,500,500,300,300,200,200,200,200,200
round_queries,3000,2500,6500,12900,29100,40200,81800,183000,423400,857400
round_k,0,2,6,21,48,100,204,457,1058,2143
round_shots,2100,600,500,500,1100,300,300,200,200,200
round_queries,2100,3000,5500,12500,58300,45900,94500,149400,341400,781000
round_k,0,2,5,12,26,76,157,373,853,1952
round_shots,2000,500,500,300,300,200,200,200,200,100
round_queries,2000,2500,6500,12900,36900,61400,124200,281400,611000,686500
