round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1800,2700,8300,26500,96500,398300,9508100
round_k,4,13,41,132,482,1991,9127,47540
round_shots,1200,200,200,100,100,100,100,100
round_queries,1200,1400,4600,9700,33100,110900,456700,11441100
round_k,3,11,48,165,554,2283,10621,57205
round_shots,1000,200,200,100,100,100,100
round_queries,1000,1800,6200,11700,40900,158900,3232300
round_k,4,15,58,204,794,3395,16161
round_shots,700,200,100,200,100,100,100,100
round_queries,700,1400,2300,14200,34700,130900,551100,14298100
round_k,3,11,35,173,654,2755,13014,71490
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,3300,10700,37500,143700,597700,15578300
round_k,4,16,53,187,718,2988,14073,77891
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1800,6600,13700,46900,174500,3581900
round_k,4,16,68,234,872,3730,17909
round_shots,900,200,100,100,100,100,100,100
round_queries,900,1400,2300,7300,23700,89100,367300,8637300
round_k,3,11,36,118,445,1836,8259,43186
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,2700,8500,28100,102100,413100,9558900
round_k,4,13,42,140,510,2065,9116,47794
round_shots,900,200,200,200,100,100,100
round_queries,900,1400,4600,17800,39700,147300,2960300
round_k,3,11,44,198,736,3118,14801
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,5000,8900,30700,110100,449300,11122900
round_k,3,12,44,153,550,2246,10363,55614
round_shots,800,200,200,200,100,100,100,100
round_queries,800,600,1800,6600,13900,50300,191700,3972100
round_k,1,4,16,69,251,958,4074,19860
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,5000,9700,34700,127700,531300,13429100
round_k,3,12,48,173,638,2656,12331,67145
round_shots,1000,200,200,100,100,100,100
round_queries,1000,1400,6200,13500,48900,186100,3875700
round_k,3,15,67,244,930,3988,19378
round_shots,1300,200,200,100,100,100,100
round_queries,1300,1800,6600,14100,48900,189300,3916700
round_k,4,16,70,244,946,4050,19583
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1400,2500,8100,24900,80100,305500,6900700
round_k,3,12,40,124,400,1527,6729,34503
round_shots,800,100,300,100,100,100,100,100
round_queries,800,300,2700,4100,13100,47700,186700,3854300
round_k,1,4,20,65,238,933,3961,19271
round_shots,800,200,200,100,100,100,100,100
round_queries,800,1400,5000,9700,34700,123900,510900,12788500
round_k,3,12,48,173,619,2554,11898,63942
round_shots,900,200,100,100,100,100,100,100
round_queries,900,1400,2700,9100,30300,114100,478500,11849100
round_k,3,13,45,151,570,2392,11048,59245
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,4600,10300,33100,120100,505100,12813100
round_k,3,11,51,165,600,2525,11780,64065
round_shots,1200,200,200,100,100,100,100
round_queries,1200,1800,8200,15300,48700,191900,4010300
round_k,4,20,76,243,959,4095,20051
round_shots,700,100,200,200,100,100,100,100,100
round_queries,700,300,1800,6600,12900,42300,146300,593500,14610300
round_k,1,4,16,64,211,731,2967,13401,73051
round_shots,900,100,200,100,100,100,100,100,100
round_queries,900,300,1800,3300,11100,36100,140100,581900,14679700
round_k,1,4,16,55,180,700,2909,13436,73398
round_shots,800,200,200,200,100,100,100,100
round_queries,800,600,1800,6600,14700,47100,184500,3890500
round_k,1,4,16,73,235,922,3968,19452
round_shots,1000,200,100,100,100,100,100
round_queries,1000,1800,4100,13900,49900,197100,4114900
round_k,4,20,69,249,985,4188,20574
round_shots,1200,200,200,100,100,100,100
round_queries,1200,1800,6600,13900,50100,191900,3960500
round_k,4,16,69,250,959,4096,19802
round_shots,1100,200,200,200,100,100,100,100
round_queries,1100,1400,4600,16200,33500,123300,507900,12727900
round_k,3,11,40,167,616,2539,11861,63639
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,5000,10300,35700,138700,580900,14967500
round_k,3,12,51,178,693,2904,13626,74837
round_shots,800,200,200,200,100,100,100,100
round_queries,800,600,1800,6600,14900,51100,195900,4169300
round_k,1,4,16,74,255,979,4251,20846
round_shots,900,200,200,100,100,100,100
round_queries,900,1800,6600,13700,47700,178900,3707300
round_k,4,16,68,238,894,3836,18536
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,5000,10700,33900,129300,530700,13578100
round_k,3,12,53,169,646,2653,12420,67890
round_shots,800,200,200,100,100,100,100
round_queries,800,1400,5000,10700,38300,146100,2883700
round_k,3,12,53,191,730,3048,14418
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,3300,9900,32900,122100,513500,13143300
round_k,4,16,49,164,610,2567,12043,65716
round_shots,600,200,100,100,100,100,100,100
round_queries,600,1400,2500,8100,24900,85100,338900,7777500
round_k,3,12,40,124,425,1694,7557,38887
round_shots,800,100,100,200,100,100,100,100
round_queries,800,500,1500,9400,17700,58100,221500,4798500
round_k,2,7,23,88,290,1107,4852,23992
round_shots,700,100,200,200,100,100,100,100,100
round_queries,700,300,1800,6600,12100,37500,137700,578700,14929700
round_k,1,4,16,60,187,688,2893,13712,74648
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1400,2500,7700,26100,95900,393300,9428900
round_k,3,12,38,130,479,1966,8954,47144
round_shots,1000,300,200,100,100,100,100
round_queries,1000,2700,7800,16100,54500,210100,4432900
round_k,4,19,80,272,1050,4541,22164
round_shots,700,200,200,200,100,100,100,100
round_queries,700,1400,5000,19000,37700,139100,589500,15294300
round_k,3,12,47,188,695,2947,13884,76471
round_shots,900,200,100,100,100,100,100,100
round_queries,900,1400,2500,8300,29500,109700,461700,11330700
round_k,3,12,41,147,548,2308,10695,56653
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,8900,26900,101300,517900,13095300
round_k,3,12,44,134,506,2589,12084,65476
round_shots,1100,200,100,200,100,100,100,100
round_queries,1100,1400,2500,16200,34900,128100,526300,13328900
round_k,3,12,40,174,640,2631,12259,66644
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,4600,10300,34300,118900,476300,11838700
round_k,3,11,51,171,594,2381,10996,59193
round_shots,700,200,100,100,100,100,100,100
round_queries,700,1400,2300,7300,22700,83900,344500,8120900
round_k,3,11,36,113,419,1722,7824,40604
round_shots,600,200,200,100,100,100,100,100
round_queries,600,1400,5000,8900,30300,114700,459100,11268500
round_k,3,12,44,151,573,2295,10520,56342
round_shots,800,200,200,100,100,100,100,100
round_queries,800,1400,4600,9700,33900,119300,500300,12640900
round_k,3,11,48,169,596,2501,11656,63204
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,5000,9700,33500,125300,527100,13344900
round_k,3,12,48,167,626,2635,12374,66724
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,4600,7900,24100,77300,297100,6714900
round_k,3,11,39,120,386,1485,6588,33574
round_shots,600,200,200,200,100,100,100
round_queries,600,1400,5000,17800,44500,166900,3412900
round_k,3,12,44,222,834,3534,17064
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,2500,7900,23900,72700,281700,6219100
round_k,3,12,39,119,363,1408,6121,31095
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,4600,9900,31100,116100,487100,12231900
round_k,3,11,49,155,580,2435,11297,61159
round_shots,1100,200,100,100,100,100,100
round_queries,1100,1800,4100,12300,41300,157100,3200900
round_k,4,20,61,206,785,3326,16004
round_shots,700,200,100,100,100,100,100,100
round_queries,700,1400,2500,8100,27100,96900,391100,9487100
round_k,3,12,40,135,484,1955,9004,47435
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,3300,11300,36500,136900,569300,14799300
round_k,4,16,56,182,684,2846,13408,73996
round_shots,1100,200,200,200,100,100,100
round_queries,1100,1400,4600,19400,45500,150700,2881300
round_k,3,11,48,227,753,3029,14406
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,5000,10100,35700,132700,557700,14487900
round_k,3,12,50,178,663,2788,13191,72439
round_shots,700,100,200,200,100,100,100,100
round_queries,700,300,1800,6600,13100,46500,181100,3765500
round_k,1,4,16,65,232,905,3907,18827
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,4600,8700,29300,104900,426700,10493700
round_k,3,11,43,146,524,2133,9858,52468
round_shots,800,200,200,200,100,100,100,100
round_queries,800,600,1800,6600,13300,44700,170300,3483300
round_k,1,4,16,66,223,851,3621,17416
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1400,5000,11500,37700,147300,2963100
round_k,3,12,57,188,736,3145,14815
round_shots,600,200,200,100,100,100,100,100
round_queries,600,1400,4600,9900,33300,126300,518100,13072900
round_k,3,11,49,166,631,2590,12189,65364
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,5000,8900,28700,104900,433700,10495100
round_k,3,12,44,143,524,2168,9854,52475
round_shots,900,200,200,100,100,100,100
round_queries,900,1400,5400,10700,38700,147100,2949700
round_k,3,13,53,193,735,3091,14748
round_shots,900,200,100,100,100,100,100,100
round_queries,900,1400,2500,8300,28500,104900,432700,10580100
round_k,3,12,41,142,524,2163,9912,52900
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,2300,7100,24300,84100,343700,8115900
round_k,3,11,35,121,420,1718,7787,40579
round_shots,800,200,100,200,100,100,100
round_queries,800,1400,3100,19400,45500,172700,3542300
round_k,3,15,48,227,863,3678,17711
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,5000,10900,36300,134700,568700,14869700
round_k,3,12,54,181,673,2843,13500,74348
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,2700,8500,30300,115100,476500,11770100
round_k,4,13,42,151,575,2382,11071,58850
round_shots,900,200,200,200,100,100,100,100
round_queries,900,600,1800,6600,12900,46900,181100,3712900
round_k,1,4,16,64,234,905,3858,18564
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,4600,8100,27100,96700,379100,7000700
round_k,3,11,40,135,483,1895,7716,35003
round_shots,1200,200,100,100,100,100,100
round_queries,1200,1800,3300,11300,36900,143300,2889500
round_k,4,16,56,184,716,3045,14447
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,3100,10500,33900,127500,525900,13424100
round_k,3,15,52,169,637,2629,12274,67120
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,4600,8900,30300,109700,452700,11095100
round_k,3,11,44,151,548,2263,10356,55475
round_shots,1200,200,200,100,200,100,100,100
round_queries,1200,1400,4600,9500,62200,154900,601100,15604700
round_k,3,11,47,155,774,3005,14090,78023
round_shots,900,200,200,100,100,100,100
round_queries,900,1800,7000,14500,54100,215300,4580500
round_k,4,17,72,270,1076,4659,22902
round_shots,900,200,200,200,100,100,100,100
round_queries,900,600,1800,6200,13500,49900,197100,4210700
round_k,1,4,15,67,249,985,4294,21053
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,3300,9900,32900,123900,517500,12993300
round_k,4,16,49,164,619,2587,11965,64966
round_shots,800,200,100,200,100,100,100,100
round_queries,800,1400,2300,14200,28900,99500,396700,9491100
round_k,3,11,35,144,497,1983,9003,47455
round_shots,600,100,200,100,200,100,100,100
round_queries,600,300,1800,3300,21000,48500,191700,4042500
round_k,1,4,16,52,242,958,4140,20212
round_shots,800,100,200,100,100,100,100,100
round_queries,800,300,1800,3300,10900,38300,145700,2938900
round_k,1,4,16,54,191,728,3099,14694
round_shots,1000,200,200,100,100,100,100
round_queries,1000,1800,6600,13100,42700,160700,3276700
round_k,4,16,65,213,803,3412,16383
round_shots,1100,200,200,200,100,100,100
round_queries,1100,1800,6200,23800,49500,190500,3886500
round_k,4,15,59,247,952,4021,19432
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,4600,10300,31700,117100,480900,12012900
round_k,3,11,51,158,585,2404,11168,60064
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1400,2500,7900,24700,80100,252300,4697300
round_k,3,12,39,123,400,1261,4900,23486
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1800,3300,10700,37100,140100,576300,15055900
round_k,4,16,53,185,700,2881,13676,75279
round_shots,1200,200,200,100,100,100,100,100
round_queries,1200,1400,5000,10700,36300,136900,575500,15044900
round_k,3,12,53,181,684,2877,13605,75224
round_shots,1000,200,100,200,100,100,100
round_queries,1000,1400,2500,16200,38900,145500,2905300
round_k,3,12,40,194,727,3069,14526
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1800,5400,10500,32700,121500,504100,12876500
round_k,4,13,52,163,607,2520,11824,64382
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,5000,10700,36100,135900,565900,14702500
round_k,3,12,53,180,679,2829,13354,73512
round_shots,800,100,200,100,100,100,100,100,100
