round_shots,1100,1200,400,400,300,300,200,200,200,300,200,200,200,200,100
round_queries,1100,3600,4400,10800,22500,50100,83800,168200,369400,1245300,2213800,5013400,11313000,25407400,26762900
round_k,0,1,5,13,37,83,209,420,923,2075,5534,12533,28282,63518,133814
round_shots,1000,1200,300,400,200,300,200,300,200,200,200,200,200,200,200
round_queries,1000,3600,3300,10000,11800,35700,57400,174900,265000,565400,1290600,2860600,6551400,14944600,34176600
round_k,0,1,5,12,29,59,143,291,662,1413,3226,7151,16378,37361,85441
round_shots,900,1500,300,400,200,300,300,300,300,200,200,200,200,200,100
round_queries,900,4500,3900,10800,12600,38100,98100,242700,620700,1078200,2446600,5423000,11755400,25088200,27380900
round_k,0,1,6,13,31,63,163,404,1034,2695,6116,13557,29388,62720,136904
round_shots,1300,1200,400,300,200,300,200,300,200,200,200,200,200,200,200
round_queries,1300,3600,4400,7500,12600,41100,67800,210300,361400,803000,1791400,3861800,8445800,19072200,43677000
round_k,0,1,5,12,31,68,169,350,903,2007,4478,9654,21114,47680,109192
round_shots,1800,1500,1100,400,300,200,300,300,200,200,200,200,200,400
round_queries,1800,4500,9900,10800,18300,29800,100500,270900,461000,1003400,2205400,5003000,11465400,50605200
round_k,0,1,4,13,30,74,167,451,1152,2508,5513,12507,28663,63256
round_shots,1000,1300,400,400,200,200,200,200,200,200,200,200,200,200,200
round_queries,1000,3900,4400,10800,15000,30200,60600,131400,295400,624200,1280600,2781400,6373800,14490600,30517800
round_k,0,1,5,13,37,75,151,328,738,1560,3201,6953,15934,36226,76294
round_shots,1100,1400,400,200,300,200,200,200,300,200,200,100,100,300,100,100
round_queries,1100,4200,4400,5000,15300,25400,55800,116600,360300,592600,1337000,1445300,3000500,18721500,13756300,29472700
round_k,0,1,5,12,25,63,139,291,600,1481,3342,7226,15002,31202,68781,147363
round_shots,1200,1300,400,500,300,200,200,200,200,200,300,300,300,200,200
round_queries,1200,3900,4400,13500,21900,34600,76600,160200,340600,750600,2376900,5203500,10830900,18636200,42259400
round_k,0,1,5,13,36,86,191,400,851,1876,3961,8672,18051,46590,105648
round_shots,600,1300,400,300,300,200,300,200,200,200,200,200,200,200,100
round_queries,600,3900,4400,8100,19500,35800,119100,204200,457000,955400,2130200,4809400,11018600,25046200,28502100
round_k,0,1,5,13,32,89,198,510,1142,2388,5325,12023,27546,62615,142510
round_shots,1000,1500,500,400,200,200,200,200,200,200,200,200,200,200,300
round_queries,1000,4500,5500,10800,15400,33800,70200,150600,301800,669000,1418200,3172200,7223800,14812600,45935700
round_k,0,1,5,13,38,84,175,376,754,1672,3545,7930,18059,37031,76559
round_shots,1000,1200,400,200,300,300,200,200,200,300,300,200,300,200,200
round_queries,1000,3600,4400,5000,15300,36900,64200,143000,318200,1065300,2728500,3644200,11514900,20277000,42939800
round_k,0,1,5,12,25,61,160,357,795,1775,4547,9110,19191,50692,107349
round_shots,1300,1200,300,400,200,300,200,200,200,200,200,200,200,200,200
round_queries,1300,3600,3300,10000,14600,44100,75400,151000,328600,735400,1675400,3803800,8262200,18317000,41767400
round_k,0,1,5,12,36,73,188,377,821,1838,4188,9509,20655,45792,104418
round_shots,1100,1300,300,300,300,200,200,200,400,200,200,300,300,200,200
round_queries,1100,3900,3300,7500,19500,33400,72200,149800,610800,741400,1568600,4941300,12720900,21443400,45703800
round_k,0,1,5,12,32,83,180,374,763,1853,3921,8235,21201,53608,114259
round_shots,1200,1300,300,300,300,200,200,200,300,300,300,300,300,200,100
round_queries,1200,3900,3300,7500,18900,32600,67800,150600,471300,1050300,2640300,6420300,14871900,23360600,26298100
round_k,0,1,5,12,31,81,169,376,785,1750,4400,10700,24786,58401,131490
round_shots,1200,1500,300,300,200,300,200,200,200,200,200,200,200,200,300,100
round_queries,1200,4500,3300,7500,12200,36900,63800,137800,297400,656600,1364200,3033400,6097000,12281800,39733500,29582300
round_k,0,1,5,12,30,61,159,344,743,1641,3410,7583,15242,30704,66222,147911
round_shots,1400,1400,500,300,300,200,200,200,200,200,200,400,200,200,200
round_queries,1400,4200,5500,8100,19500,33800,69800,142600,303400,687400,1457400,6043600,8807400,19526600,42113000
round_k,0,1,5,13,32,84,174,356,758,1718,3643,7554,22018,48816,105282
round_shots,1100,1200,400,300,300,200,200,200,200,200,200,200,200,200,200
round_queries,1100,3600,4400,7500,18900,29800,62600,129800,282200,636600,1371000,3119000,7049800,15390200,34838600
round_k,0,1,5,12,31,74,156,324,705,1591,3427,7797,17624,38475,87096
round_shots,1100,1300,400,300,300,200,300,200,200,100,200,200,200,200,100
round_queries,1100,3900,4400,8100,18900,31000,96300,162600,329800,357500,1496600,3235000,7375800,15570600,17689700
round_k,0,1,5,13,31,77,160,406,824,1787,3741,8087,18439,38926,88448
round_shots,1600,1500,1200,500,400,300,200,200,200,200,200,200,200,200,200
round_queries,1600,4500,10800,13500,23600,36900,63400,127000,257000,530600,1181000,2665000,5887800,13399000,30690600
round_k,0,1,4,13,29,61,158,317,642,1326,2952,6662,14719,33497,76726
round_shots,1200,1300,400,300,300,300,300,300,300,200,200,200,300,200
round_queries,1200,3900,4400,8100,18900,42900,116100,300900,757500,1349400,2864200,6508600,22303500,35305000
round_k,0,1,5,13,31,71,193,501,1262,3373,7160,16271,37172,88262
round_shots,1100,1300,400,300,200,300,300,300,200,200,200,300,200,200
round_queries,1100,3900,5200,11100,15400,46500,123300,302100,443000,991800,2269400,7569900,13722200,28990600
round_k,0,1,6,18,38,77,205,503,1107,2479,5673,12616,34305,72476
round_shots,1300,1500,300,300,300,400,300,300,300,300,300,200,200,200,100
round_queries,1300,4500,3300,6900,14100,47600,87300,193500,470100,1078500,2517300,4157800,8841800,20214200,22887700
round_k,0,1,5,11,23,59,145,322,783,1797,4195,10394,22104,50535,114438
round_shots,1100,1300,400,400,200,200,200,400,300,200,200,200,200,300,200
round_queries,1100,3900,4400,10800,12600,25400,53400,219600,415500,646600,1307800,2903400,6429800,20866500,38019800
round_k,0,1,5,13,31,63,133,274,692,1616,3269,7258,16074,34777,95049
round_shots,1100,1300,400,400,300,200,200,200,100,200,200,100,200,100,200,100
round_queries,1100,3900,4400,10800,18300,27400,57000,126200,132900,535400,1123400,1317900,5629800,6336900,27144200,31294100
round_k,0,1,5,13,30,68,142,315,664,1338,2808,6589,14074,31684,67860,156470
round_shots,1100,1100,300,300,300,300,300,200,200,200,200,200,200,200,200
round_queries,1100,3300,3300,7500,17700,37500,84900,131400,299800,664200,1499400,3343000,7573400,17226200,39153400
round_k,0,1,5,12,29,62,141,328,749,1660,3748,8357,18933,43065,97883
round_shots,1700,1100,400,600,200,200,300,200,200,200,200,200,200,200,200
round_queries,1700,3300,4400,16200,12200,24600,80700,139800,303800,664200,1502600,3439000,7829000,17873800,40598200
round_k,0,1,5,13,30,61,134,349,759,1660,3756,8597,19572,44684,101495
round_shots,1200,1400,500,300,300,200,200,200,300,400,300,200,300,200,100
round_queries,1200,4200,5500,8100,19500,31800,65800,145000,463500,1333200,2709300,4307400,12994500,21377000,24191300
round_k,0,1,5,13,32,79,164,362,772,1666,4515,10768,21657,53442,120956
round_shots,1200,1400,400,300,300,200,200,200,200,200,200,200,300,300,300,100
round_queries,1200,4200,4400,8100,18900,30600,63800,138200,299000,667000,1490200,3251800,9903900,21297300,45530100,31077500
round_k,0,1,5,13,31,76,159,345,747,1667,3725,8129,16506,35495,75883,155387
round_shots,1200,1100,300,300,300,200,300,200,200,200,200,200,200,200,100
round_queries,1200,3300,3300,7500,17700,29000,98100,176600,369800,807000,1776200,4018600,8765000,20053000,22476700
round_k,0,1,5,12,29,72,163,441,924,2017,4440,10046,21912,50132,112383
round_shots,1000,1400,400,300,300,200,300,200,300,200,200,200,200,200
round_queries,1000,4200,5200,11100,26700,45000,141900,239800,759900,1311000,2783800,6301800,13867400,30341000
round_k,0,1,6,18,44,112,236,599,1266,3277,6959,15754,34668,75852
round_shots,1300,1200,300,300,300,300,200,200,200,200,200,200,200,200,100
round_queries,1300,3600,3300,7500,18300,48300,78600,174600,361000,813000,1813000,3999000,8541400,19441000,22224300
round_k,0,1,5,12,30,80,196,436,902,2032,4532,9997,21353,48602,111121
round_shots,900,1200,300,300,300,200,300,200,200,200,200,200,200,200,200
round_queries,900,3600,3300,7500,17700,29000,87300,152200,321400,689000,1532600,3452200,7854600,17626600,38966200
round_k,0,1,5,12,29,72,145,380,803,1722,3831,8630,19636,44066,97415
round_shots,1500,1200,400,400,300,200,200,200,200,200,200,200,200,200,200
round_queries,1500,3600,4400,10800,18300,32200,64600,139000,298200,628200,1413000,3185800,7151000,16325800,37478600
round_k,0,1,5,13,30,80,161,347,745,1570,3532,7964,17877,40814,93696
round_shots,1300,1100,400,300,300,200,200,200,200,200,200,200,200,200,200
round_queries,1300,3300,4400,7500,15900,28600,62200,135000,295800,638200,1431800,3144200,7001400,15982200,35736600
round_k,0,1,5,12,26,71,155,337,739,1595,3579,7860,17503,39955,89341
round_shots,1400,1200,300,300,300,200,200,300,200,200,200,300,200,300,100
round_queries,1400,3600,3300,7500,18900,32200,65000,213300,375000,777000,1766600,5482500,8110600,25788900,21599300
round_k,0,1,5,12,31,80,162,355,937,1942,4416,9137,20276,42981,107996
round_shots,800,1400,200,400,300,200,300,200,200,300,200,300,200,200,100
round_queries,800,4200,2600,10800,23100,41400,125100,181400,399400,1265100,1953000,6318900,10377400,22003000,24971700
round_k,0,1,6,13,38,103,208,453,998,2108,4882,10531,25943,55007,124858
