round_k,1,4,14,55,245,778,2874,11527,49182
round_shots,200,300,300,200,200,200,200,100
round_queries,200,900,2700,8200,33000,137000,416200,3461300
round_k,1,4,20,82,342,1040,4219,17306
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5800,19400,40900,137700,499300,6794700
round_k,1,4,14,48,204,688,2496,7748,33973
round_shots,300,200,200,200,200,200,200,100
round_queries,300,600,1800,6600,25800,93000,326200,2758100
round_k,1,4,16,64,232,815,2969,13790
round_shots,200,200,300,200,100,100,100,100,100
round_queries,200,600,2700,8200,17300,55700,186100,624700,10270500
round_k,1,4,20,86,278,930,3123,11353,51352
round_shots,300,200,200,300,200,100,100,100,100
round_queries,300,600,1800,8100,19000,33700,106100,376100,4255700
round_k,1,4,13,47,168,530,1880,6424,21278
round_shots,300,200,300,200,200,200,100,100
round_queries,300,600,2700,5800,17800,77000,170700,2560700
round_k,1,4,14,44,192,853,3143,12803
round_shots,300,200,200,200,200,200,200,200
round_queries,300,600,1800,5400,18600,63800,297800,5818200
round_k,1,4,13,46,159,744,3514,14545
round_shots,400,200,300,200,100,200,100,100
round_queries,400,600,2700,8200,14700,91000,174300,2401500
round_k,1,4,20,73,227,871,3240,12007
round_shots,400,300,200,100,200,100,100,200,100
round_queries,400,900,1800,2700,16200,28900,94100,584600,4711700
round_k,1,4,13,40,144,470,1461,5963,23558
round_shots,300,200,200,300,200,200,200,100,100
round_queries,300,600,1800,8100,23000,98200,357400,738100,10413100
round_k,1,4,13,57,245,893,3690,12280,52065
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,22600,43300,137700,484700,7907700
round_k,1,4,13,56,216,688,2423,9409,39538
round_shots,200,200,300,200,200,300,200,100
round_queries,200,600,2700,7000,27000,179100,367000,2525900
round_k,1,4,17,67,298,917,3891,12629
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,6600,10900,33300,106100,384900,5730900
round_k,1,4,16,54,166,530,1924,6823,28654
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,7000,23000,40500,134700,462900,8194100
round_k,1,4,17,57,202,673,2314,9203,40970
round_shots,300,200,300,200,200,100,100,100,100
round_queries,300,600,2700,5400,21800,46500,157300,551500,8710500
round_k,1,4,13,54,232,786,2757,11070,43552
round_shots,200,300,200,200,100,100,100,100,100
round_queries,200,900,1800,5800,10700,33500,112300,394100,6564700
round_k,1,4,14,53,167,561,1970,7792,32823
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5800,25000,52500,173500,554300,6839100
round_k,1,4,14,62,262,867,2771,10940,34195
