round_shots,1700,300,200,200,200,100,100,100,100
round_queries,1700,2700,6600,25000,92600,199500,662300,2255700,36827700
round_k,4,16,62,231,997,3311,11278,43714,184138
round_shots,1400,300,400,200,200,100,100,200,100
round_queries,1400,2700,12400,22600,77800,164700,538700,3623800,31935100
round_k,4,15,56,194,823,2693,9059,40571,159675
round_shots,1400,300,400,200,300,100,100,100,100
round_queries,1400,2700,12400,26200,144300,167100,519900,1818300,28750500
round_k,4,15,65,240,835,2599,9091,33892,143752
round_shots,1400,300,300,200,200,100,100,200,100
round_queries,1400,2100,7500,20600,76200,160900,529500,3499400,35169900
round_k,3,12,51,190,804,2647,8748,41416,175849
round_shots,1400,300,200,200,200,200,100,100,100,100
round_queries,1400,2100,4600,14600,44600,157400,323100,1035100,3807100,66848500
round_k,3,11,36,111,393,1615,5175,19035,74285,334242
round_shots,1500,300,200,200,200,100,100,100,100
round_queries,1500,2700,6200,21000,85800,178700,594300,2118500,33723300
round_k,4,15,52,214,893,2971,10592,39670,168616
round_shots,1700,400,300,300,200,100,100,200,100
round_queries,1700,3600,9900,38100,92600,167100,509900,3502600,26493500
round_k,4,16,63,231,835,2549,8756,36021,132467
round_shots,1400,400,300,200,200,200,100,100,100
round_queries,1400,2800,7500,22600,75000,326600,673900,2400300,36541500
round_k,3,12,56,187,816,3369,12001,42847,182707
round_shots,1300,200,400,200,200,200,200,100,100,100
round_queries,1300,600,3600,6600,22600,84600,355800,749500,2603500,43125500
round_k,1,4,16,56,211,889,3747,13017,51074,215627
round_shots,1500,300,200,300,200,200,100,100,100
round_queries,1500,2700,6200,29100,84600,302200,701700,2527900,32038100
round_k,4,15,48,211,755,3508,12639,40641,160190
round_shots,1600,300,300,200,200,200,100,100,100
round_queries,1600,2700,9300,24200,91800,360200,750700,2576900,31229700
round_k,4,15,60,229,900,3753,12884,50464,156148
round_shots,1500,300,200,200,200,100,100,100,100
round_queries,1500,2700,6600,25000,94200,199900,648500,2040900,25106700
round_k,4,16,62,235,999,3242,10204,30666,125533
round_shots,1200,300,200,200,200,100,100,100,100,100
round_queries,1200,2100,5000,16200,54600,87900,264500,875900,3187500,52599300
round_k,3,12,40,136,439,1322,4379,15937,61573,262996
round_shots,1500,300,200,200,200,100,100,200,100
