round_shots,500,500,500,300,300,300,200,200,200,300,200,200,200
round_queries,500,1500,4500,6900,15900,33300,58600,121800,269400,918900,1584600,3571000,8239400
round_k,0,1,4,11,26,55,146,304,673,1531,3961,8927,20598
round_shots,500,700,400,300,500,200,300,200,200,200,200,300,200
round_queries,500,2100,3600,6900,23500,23800,75900,133000,287000,647800,1397400,4461300,8028600
round_k,0,1,4,11,23,59,126,332,717,1619,3493,7435,20071
round_shots,500,400,300,400,300,300,200,300,300,400,300,300,100
round_queries,500,1200,2700,8400,14100,30300,52200,174300,448500,1544400,3053700,7641900,6456300
round_k,0,1,4,10,23,50,130,290,747,1930,5089,12736,32281
round_shots,500,400,400,300,400,200,200,200,200,200,200,200,200,100
round_queries,500,1200,3600,6900,18800,25000,50600,112200,244200,546600,1209400,2691000,6113400,6814100
round_k,0,1,4,11,23,62,126,280,610,1366,3023,6727,15283,34070
round_shots,700,500,300,400,400,400,300,200,200,200,200,200,200
round_queries,700,1500,2700,8400,18800,47600,95100,159000,347000,799000,1819800,4147400,9275400
round_k,0,1,4,10,23,59,158,397,867,1997,4549,10368,23188
round_shots,600,500,300,300,400,300,300,200,200,400,200,300,200,100
round_queries,600,1500,2700,6300,18000,29700,70500,115000,256600,1092400,1217400,3695100,6388200,6720300
round_k,0,1,4,10,22,49,117,287,641,1365,3043,6158,15970,33601
round_shots,700,400,300,300,300,200,200,200,200,300,300,200,200
round_queries,700,1200,2700,6900,14100,22200,45000,98200,218600,717900,1917300,3285000,7159800
round_k,0,1,4,11,23,55,112,245,546,1196,3195,8212,17899
round_shots,700,500,300,400,400,200,200,300,400,300,300,300,200,100
round_queries,700,1500,2700,8400,18000,18200,38200,122700,410000,877500,2310900,4865100,6746600,7715700
round_k,0,1,4,10,22,45,95,204,512,1462,3851,8108,16866,38578
round_shots,700,400,300,400,300,300,300,300,300,300,200,200,200,100
round_queries,700,1200,2700,8400,13500,32100,66300,168300,378300,822300,1364600,2887400,6324600,7295900
round_k,0,1,4,10,22,53,110,280,630,1370,3411,7218,15811,36479
round_shots,500,500,400,300,300,200,200,200,200,200,300,200,200,100
round_queries,500,1500,3600,6900,14100,19800,41400,87400,188200,388200,1250100,2242200,5149400,5701300
round_k,0,1,4,11,23,49,103,218,470,970,2083,5605,12873,28506
round_shots,600,500,400,300,200,300,200,200,200,300,200,200,200
round_queries,600,1500,3600,6300,10600,32700,59000,126200,284200,931500,1539000,3459000,7968200
round_k,0,1,4,10,26,54,147,315,710,1552,3847,8647,19920
round_shots,700,400,400,300,300,200,200,200,200,200,200,300,200
round_queries,700,1200,3600,6900,15900,28200,63400,137400,298200,677400,1545000,5046900,8435800
round_k,0,1,4,11,26,70,158,343,745,1693,3862,8411,21089
round_shots,600,400,500,500,300,300,200,200,200,200,200,200,200
round_queries,600,1200,4500,11500,17700,38100,62600,127400,282600,647800,1443000,3197000,7283000
round_k,0,1,4,11,29,63,156,318,706,1619,3607,7992,18207
round_shots,600,400,500,600,300,200,200,200,200,200,200,200,200
round_queries,600,1200,4500,13800,21300,34200,76600,158600,347800,789400,1814600,4147400,9212600
