round_shots,200,200,200,300,600,200,100,100,300,100
round_queries,200,600,1800,9300,58200,127800,260100,846900,8320500,52053100
round_k,1,4,15,48,319,1300,4234,13867,60058,260265
round_shots,300,200,300,600,300,300,200,100,100,100
round_queries,300,600,2700,19800,30900,92700,239800,502100,1735500,26132300
round_k,1,4,16,51,154,599,2510,8677,32441,130661
round_shots,200,200,200,200,500,300,200,100,100,100
round_queries,200,600,1800,5800,49500,92700,185400,398100,1308100,18804500
round_k,1,4,14,49,154,463,1990,6540,22363,94022
round_shots,200,300,300,800,200,100,100,100,100
round_queries,200,900,3300,31200,57400,122100,399700,1386500,19852100
round_k,1,5,19,143,610,1998,6932,24120,99260
round_shots,200,200,200,300,700,100,200,100,100,100
round_queries,200,600,1800,8700,74900,76700,467400,1057900,3364900,46601100
round_k,1,4,14,53,383,1168,5289,16824,67309,233005
round_shots,200,200,200,600,400,200,200,100,100,100
round_queries,200,600,1800,18600,39600,71000,241000,500500,1732900,26114500
round_k,1,4,15,49,177,602,2502,8664,31642,130572
round_shots,200,300,200,500,400,200,200,100,100,100
round_queries,200,900,1800,14500,34800,77800,298600,654100,2204500,27666500
round_k,1,4,14,43,194,746,3270,11022,42140,138332
round_shots,200,200,200,200,800,200,200,100,100,100
round_queries,200,600,1800,6600,80800,159000,547400,1122700,4074900,68523300
round_k,1,4,16,50,397,1368,5613,20374,81582,342616
round_shots,200,200,200,300,500,200,100,100,100,100
round_queries,200,600,1800,9900,57500,131000,283300,914500,3295900,56531500
round_k,1,4,16,57,327,1416,4572,16479,65898,282657
round_shots,200,200,300,500,200,200,100,100,100,100
round_queries,200,600,2700,15500,32200,134600,278900,897300,2863300,49558100
round_k,1,4,15,80,336,1394,4486,14316,56695,247790
round_shots,200,200,200,300,900,200,100,100,100,100
round_queries,200,600,1800,8100,76500,143400,251500,827500,2869700,44773300
round_k,1,4,13,42,358,1257,4137,14348,53457,223866
round_shots,200,300,200,1000,200,200,100,100,100
round_queries,200,900,1800,31000,52600,202200,419300,1444100,21221100
round_k,1,4,15,131,505,2096,7220,26888,106105
round_shots,200,200,200,300,600,200,200,100,100,100
round_queries,200,600,2200,10500,78600,163800,567400,1056100,3473500,54608700
round_k,1,5,17,65,409,1418,5280,17367,67099,273043
round_shots,300,200,300,500,400,300,300,200,100,100,100
round_queries,300,600,2700,14500,36400,101700,397500,795000,1504300,5560500,72624900
round_k,1,4,14,45,169,662,1987,7521,27802,100572,363124
round_shots,200,200,200,800,400,100,100,200,100,100,100
round_queries,200,600,1800,21600,32400,29300,88100,537400,1182500,4361500,76360100
round_k,1,4,13,40,146,440,1343,5912,21807,88462,381800
round_shots,300,200,200,200,400,400,200,100,100,100
round_queries,300,600,1800,6200,40400,127600,296200,574300,1808300,29453500
round_k,1,4,15,50,159,740,2871,9041,34737,147267
round_shots,200,300,200,400,500,100,200,100,100,100
round_queries,200,900,2200,17200,73500,84100,531800,906100,3097500,41305100
round_k,1,5,21,73,420,1329,4530,15487,52405,206525
round_shots,200,200,200,200,300,300,300,100,100,100
round_queries,200,600,1800,6600,35100,124500,380100,513100,1613700,21565700
round_k,1,4,16,58,207,633,2565,8068,29302,107828
round_shots,300,200,200,200,200,300,300,600,100,100
