round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2700,13100,61300,305500,1561300,7973300
round_k,0,1,3,13,65,306,1527,7806,39866
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,2100,9700,47500,234700,1189100,6016900
round_k,0,1,10,48,237,1173,5945,30084
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2900,13700,64500,322300,1606100,8052300
round_k,0,1,3,14,68,322,1611,8030,40261
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13500,65300,329500,1637500,8352500
round_k,0,1,3,14,67,326,1647,8187,41762
round_shots,100,200,100,100,100,100,100,100
round_queries,100,1000,3500,15900,75900,381100,1929700,9877500
round_k,0,2,17,79,379,1905,9648,49387
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,7500,35900,178300,882700,4514300
round_k,0,1,9,37,179,891,4413,22571
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,11900,57700,285500,1463700,7486100
round_k,0,1,3,13,59,288,1427,7318,37430
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,13100,65500,331900,1680500,8560100
round_k,0,1,3,13,65,327,1659,8402,42800
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2900,13300,62900,318900,1601300,8169900
round_k,0,1,3,14,66,314,1594,8006,40849
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2300,9500,43900,224300,1130900,5749900
round_k,0,1,3,11,47,219,1121,5654,28749
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,11900,57900,274100,1391900,7053100
round_k,0,1,3,12,59,289,1370,6959,35265
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,11100,54900,274500,1382300,7098500
round_k,0,1,3,12,55,274,1372,6911,35492
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,10300,48100,238500,1200100,6135300
round_k,0,1,10,51,240,1192,6000,30676
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2500,11300,55900,277900,1415300,7166300
round_k,0,1,3,12,56,279,1389,7076,35831
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,13500,62500,311900,1551100,7934900
round_k,0,1,3,13,67,312,1559,7755,39674
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11900,55100,275300,1387100,7013100
round_k,0,1,3,13,59,275,1376,6935,35065
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13500,67700,328100,1667500,8480500
round_k,0,1,3,14,67,338,1640,8337,42402
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,12300,61500,310100,1549700,7906300
round_k,0,1,3,13,61,307,1550,7748,39531
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6500,37700,180100,1100300,5596900
round_k,0,1,6,32,188,900,5501,27984
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3300,15500,77700,464900,2346900,11951300
round_k,0,1,3,16,77,388,2324,11734,59756
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,3100,14100,69500,349500,1757500,8981900
round_k,0,1,3,15,70,347,1747,8787,44909
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2500,11500,58100,295300,1421500,7272700
round_k,0,1,3,12,57,290,1476,7107,36363
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,13300,64100,321300,1619900,8276500
round_k,0,1,3,13,66,320,1606,8099,41382
round_shots,200,300,100,100,100,100,100,100
round_queries,200,900,2300,10700,54100,269500,1349100,6873700
round_k,0,1,11,53,270,1347,6745,34368
round_shots,100,300,100,100,100,100,100,100
round_queries,100,900,2300,9500,46300,233700,1182700,6045100
round_k,0,1,11,47,231,1168,5913,30225
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,3300,13700,68300,334300,1698300,8579100
round_k,0,1,3,16,68,341,1671,8491,42895
round_shots,100,200,100,100,100,100,100,100,100
