round_shots,300,800,200,200,200,100,100,100,100
round_queries,300,2400,1800,5400,17000,36100,113100,389300,5346300
round_k,1,4,13,42,180,565,1946,7468,26731
round_shots,400,900,300,200,100,100,100,100
round_queries,400,2700,6300,15400,30500,99300,330300,5644100
round_k,1,10,38,152,496,1651,6025,28220
round_shots,300,900,200,200,200,100,200,100
round_queries,300,2700,4600,15400,60600,137100,855400,7108900
round_k,1,11,38,151,685,2138,8516,35544
round_shots,300,1200,200,200,200,200,100,100
round_queries,300,3600,5000,19000,73000,225000,499300,7248300
round_k,1,12,47,182,562,2496,8705,36241
round_shots,300,700,200,200,100,100,100,100,100
round_queries,300,2100,1800,5400,10300,31300,101500,348900,5913500
round_k,1,4,13,51,156,507,1744,6434,29567
round_shots,400,1000,200,200,200,200,100,100
round_queries,400,3000,4600,18600,79400,343800,678500,11564100
round_k,1,11,46,198,859,3392,13092,57820
round_shots,300,1100,300,200,200,400,100,100,100,100
round_queries,300,3300,2700,5400,17400,107600,105300,351300,1163100,12354700
round_k,1,4,13,43,134,526,1756,5815,19969,61773
round_shots,300,1100,200,200,200,200,200,100
round_queries,300,3300,5000,15800,60200,194600,841400,6058300
round_k,1,12,39,150,486,2103,8948,30291
round_shots,300,800,200,200,100,100,100,100,100
round_queries,300,2400,4200,14600,25500,78700,268900,1003500,14041100
round_k,1,10,36,127,393,1344,5017,16010,70205
round_shots,300,900,200,200,100,100,100,100
round_queries,300,2700,4200,13800,29900,98900,335700,5875300
round_k,1,10,34,149,494,1678,6107,29376
round_shots,200,1000,200,200,200,100,100,100
round_queries,200,3000,4600,14600,56200,128300,452500,6342100
round_k,1,11,36,140,641,2262,8550,31710
round_shots,400,1000,200,100,200,100,100,100
round_queries,400,3000,4600,7700,47000,89900,303300,3631300
round_k,1,11,38,117,449,1516,5261,18156
round_shots,300,900,200,200,100,100,100,100,100
round_queries,300,2700,1800,5400,10100,30300,91500,312700,4184100
round_k,1,4,13,50,151,457,1563,5597,20920
round_shots,300,1100,200,400,200,100,100,100
round_queries,300,3300,5000,39600,79800,171500,608900,9063500
round_k,1,12,49,199,857,3044,11103,45317
round_shots,300,1100,200,200,100,100,100,100
round_queries,300,3300,5000,16200,31500,96900,315100,4892300
round_k,1,12,40,157,484,1575,5882,24461
round_shots,300,1100,200,200,300,100,100,100
round_queries,300,3300,5000,19400,104700,116300,352500,5489500
round_k,1,12,48,174,581,1762,6633,27447
round_shots,200,1200,200,200,200,100,100,100
round_queries,200,3600,5400,19000,73800,145900,463100,7537500
round_k,1,13,47,184,729,2315,8918,37687
round_shots,200,1200,200,200,100,200,100,100
round_queries,200,3600,5000,20200,42100,263800,598100,10282300
round_k,1,12,50,210,659,2990,11876,51411
round_shots,200,1200,200,200,100,200,100,100
round_queries,200,3600,5000,15800,30900,200200,402500,6635500
round_k,1,12,39,154,500,2012,7765,33177
round_shots,200,1100,200,200,100,200,200,100
round_queries,200,3300,5000,18600,39100,244600,882200,5378300
round_k,1,12,46,195,611,2205,8740,26891
round_shots,200,1100,200,200,200,100,100,100
round_queries,200,3300,5000,20600,84200,155900,538700,7691700
round_k,1,12,51,210,779,2693,9337,38458
round_shots,300,1000,200,200,100,100,200,100,100
round_queries,300,3000,4600,15400,29900,94300,660200,1509500,14305500
round_k,1,11,38,149,471,1650,7547,22713,71527
round_shots,300,1100,200,200,100,100,100,200,100
round_queries,300,3300,4600,15400,30100,95300,333500,2441000,14535700
round_k,1,11,38,150,476,1667,6102,19737,72678
round_shots,300,800,200,200,200,200,100,200,100
round_queries,300,2400,1800,5400,22600,97400,198500,1359000,14144900
round_k,1,4,13,56,243,992,3397,16659,70724
round_shots,200,900,200,200,200,200,100,100
round_queries,200,2700,4200,15000,58200,197800,401100,6529900
round_k,1,10,37,145,494,2005,7642,32649
round_shots,300,1000,200,200,200,200,100,100
round_queries,300,3000,4600,15400,62600,189000,392700,6044700
round_k,1,11,38,156,472,1963,7454,30223
round_shots,300,1100,200,200,300,100,300,100
round_queries,300,3300,4600,15800,90300,117900,1134900,5612100
round_k,1,11,39,150,589,1891,7849,28060
round_shots,300,900,200,200,200,100,100,100
round_queries,300,2700,4600,18600,67800,146500,466900,6673500
round_k,1,11,46,169,732,2334,8902,33367
round_shots,200,1100,200,200,100,100,100,100
round_queries,200,3300,5000,18600,36100,110900,360900,5320500
round_k,1,12,46,180,554,1804,6811,26602
round_shots,300,1000,200,200,200,300,200,100
round_queries,300,3000,4600,15400,59000,371700,1040200,10200900
round_k,1,11,38,147,619,2600,12039,51004
round_shots,400,800,200,200,100,200,100,100,100
round_queries,400,2400,1800,5400,9900,60200,131700,438300,7230900
round_k,1,4,13,49,150,658,2191,8465,36154
round_shots,300,800,300,200,200,100,100,100
round_queries,300,2400,6300,15800,64600,108300,373100,6023300
round_k,1,10,39,161,541,1865,7105,30116
round_shots,200,700,300,200,200,100,200,100
round_queries,200,2100,5700,14200,57400,133100,932200,6355500
round_k,1,9,35,143,665,2330,9548,31777
round_shots,200,700,500,200,100,100,100,100
round_queries,200,2100,9500,15800,29900,95100,289100,3624700
round_k,1,9,39,149,475,1445,5332,18123
round_shots,400,1100,200,200,100,100,100,100
round_queries,400,3300,5000,16200,32100,96900,333300,4625700
round_k,1,12,40,160,484,1666,5597,23128
round_shots,200,900,200,200,100,200,100,100,100
round_queries,200,2700,1800,5400,10100,61000,113700,397700,5442900
round_k,1,4,13,50,152,568,1988,7382,27214
round_shots,300,1100,200,200,200,100,100,100
round_queries,300,3300,4600,15400,59400,129700,425700,5704300
round_k,1,11,38,148,648,2128,7337,28521
round_shots,400,1100,200,100,100,100,100,100
round_queries,400,3300,5000,9500,28500,92300,289700,4458900
round_k,1,12,47,142,461,1448,5437,22294
round_shots,400,1100,200,200,100,200,100,100
round_queries,400,3300,5000,19400,37300,227400,493700,8745300
round_k,1,12,48,186,568,2468,9343,43726
round_shots,200,900,300,200,300,200,100,100,100
round_queries,200,2700,2700,5400,29700,63800,109700,366100,5661300
round_k,1,4,13,49,159,548,1830,6892,28306
round_shots,600,1000,200,200,200,100,200,100
round_queries,600,3000,4600,14200,60600,133900,939000,7262900
round_k,1,11,35,151,669,2347,8638,36314
round_shots,400,1100,200,200,200,200,100,100
round_queries,400,3300,5000,16200,63400,239000,490300,7908700
