round_shots,300,900,200,200,100,100,200
round_queries,300,2700,4600,19400,43100,136900,3905800
round_k,1,11,48,215,684,2390,9764
round_shots,200,1000,200,100,100,100,100,100
round_queries,200,3000,4600,7700,23100,71100,243300,3943300
round_k,1,11,38,115,355,1216,4676,19716
round_shots,300,1200,200,200,100,100,100
round_queries,300,3600,5400,21000,46700,158100,2321300
round_k,1,13,52,233,790,2876,11606
round_shots,300,1000,200,300,200,100,100
round_queries,300,3000,5000,24300,65000,151100,1779700
round_k,1,12,40,162,755,2461,8898
round_shots,300,1100,200,200,200,100,100
round_queries,300,3300,5000,21000,69400,162300,3039300
round_k,1,12,52,173,811,3034,15196
round_shots,300,1000,200,200,100,100,100
round_queries,300,3000,5000,19800,41900,134900,1947900
round_k,1,12,49,209,674,2438,9739
round_shots,300,1000,200,200,100,100,100
round_queries,300,3000,5000,20200,43700,139300,2034900
round_k,1,12,50,218,696,2485,10174
round_shots,300,900,200,200,200,100,100,100,100
round_queries,300,2700,1800,5400,19800,40500,134300,449900,7782900
round_k,1,4,13,49,202,671,2249,8994,38914
round_shots,300,1100,200,100,100,100,100,100
round_queries,300,3300,5000,9700,29500,95700,344100,5282900
round_k,1,12,48,147,478,1720,6076,26414
round_shots,300,900,300,200,300,200,200,100
round_queries,300,2700,2700,5400,26700,59800,243000,2109700
round_k,1,4,13,44,149,607,2639,10548
round_shots,200,1000,200,200,100,200,100,100
round_queries,200,3000,5000,16600,31700,202200,303300,5568700
round_k,1,12,41,158,505,1516,5945,27843
round_shots,300,1100,200,200,200,100,100,100,100
round_queries,300,3300,1800,5400,19800,40500,125700,462300,7274300
round_k,1,4,13,49,202,628,2311,8761,36371
round_shots,200,1000,300,200,200,100,100,100
round_queries,200,3000,2700,5400,21000,47100,157700,2008100
round_k,1,4,13,52,235,788,2954,10040
round_shots,300,900,200,200,100,200,100,100
round_queries,300,2700,4200,14200,30100,193000,413100,5138700
round_k,1,10,35,150,482,2065,7828,25693
round_shots,400,1000,200,200,100,200,100,100,100
round_queries,400,3000,1800,5400,10300,63000,110700,371700,6457900
round_k,1,4,13,51,157,553,1858,7263,32289
round_shots,300,1000,300,200,100,100,100,100
round_queries,300,3000,6900,17000,32100,106300,383300,4397300
round_k,1,11,42,160,531,1916,6821,21986
round_shots,300,500,200,200,200,100,100,200,100
round_queries,300,1500,1800,5400,21000,45500,137700,839400,7070900
round_k,1,4,13,52,227,688,2098,9093,35354
round_shots,300,900,200,100,100,100,100,100
round_queries,300,2700,4600,9500,28500,91900,321100,5383100
round_k,1,11,47,142,459,1605,6278,26915
round_shots,200,1200,200,200,100,100,100
round_queries,200,3600,5400,22200,47700,162300,2397700
round_k,1,13,55,238,811,2913,11988
round_shots,200,900,200,200,100,100,100
round_queries,200,2700,4600,18600,38100,124300,1809300
round_k,1,11,46,190,621,2246,9046
round_shots,400,1000,200,100,200,100,100,100
round_queries,400,3000,5000,10100,61000,106300,333100,4677100
round_k,1,12,50,152,531,1665,6612,23385
round_shots,200,1200,200,100,100,100,100,100
round_queries,200,3600,5400,10300,31100,97900,352700,4756300
round_k,1,13,51,155,489,1763,6889,23781
round_shots,300,1100,200,200,100,100,100,100
round_queries,300,3300,5000,19000,41100,137900,436700,7220900
round_k,1,12,47,205,689,2183,7438,36104
round_shots,200,900,200,200,200,200,100
round_queries,200,2700,4600,18200,75800,240200,2211700
round_k,1,11,45,189,600,2710,11058
round_shots,200,900,200,200,100,100,100,100
round_queries,200,2700,4600,15000,31300,105900,382900,4992900
round_k,1,11,37,156,529,1914,6773,24964
round_shots,300,900,200,200,100,200,300,200,100
round_queries,300,2700,1800,5400,10300,62200,296700,629400,5581900
round_k,1,4,13,51,155,494,1573,6934,27909
round_shots,300,900,300,300,200,200,100,100
round_queries,300,2700,6300,23100,56600,206600,450100,7531500
round_k,1,10,38,141,516,2250,8682,37657
round_shots,400,800,200,100,100,100,100,100
round_queries,400,2400,4200,7300,22100,70900,235500,3105100
round_k,1,10,36,110,354,1177,4238,15525
round_shots,400,1000,200,200,100,100,300,100
round_queries,400,3000,5000,15800,29900,95300,995100,7465100
round_k,1,12,39,149,476,1658,8232,37325
round_shots,200,1200,200,200,200,100,100
round_queries,200,3600,5400,21800,96200,220300,3425700
round_k,1,13,54,240,1101,4220,17128
round_shots,400,900,200,200,100,100,100,100
round_queries,400,2700,4600,15400,32500,105100,356100,6005100
round_k,1,11,38,162,525,1780,7094,30025
round_shots,300,900,200,100,200,200,200,100
