round_k,1,9,37,134,555,2583,14143
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7700,28300,114100,2897500
round_k,1,11,38,141,570,2658,14487
round_shots,300,700,100,200,100,100,100
round_queries,300,2100,900,5400,12500,50300,1069900
round_k,1,4,13,62,251,1075,5349
round_shots,300,700,100,100,100,100,100
round_queries,300,2100,2500,7700,28700,113100,2913700
round_k,1,12,38,143,565,2672,14568
round_shots,200,600,200,100,100,100
round_queries,200,1800,4200,9700,38500,777500
round_k,1,10,48,192,808,3887
round_shots,200,400,200,100,100,100,100
round_queries,200,1200,3800,7500,26500,105700,2634500
round_k,1,9,37,132,528,2417,13172
round_shots,100,800,200,100,100,100
round_queries,100,2400,5400,12500,49100,1049300
round_k,1,13,62,245,1054,5246
round_shots,300,500,100,100,100,100,100
round_queries,300,1500,2100,7500,27100,109900,2758700
round_k,1,10,37,135,549,2532,13793
round_shots,200,700,100,200,100,100,100
round_queries,200,2100,900,5400,12300,47700,1004700
round_k,1,4,13,61,238,1019,5023
round_shots,200,400,200,100,100,100,100
round_queries,200,1200,3800,7300,26500,108300,2724900
round_k,1,9,36,132,541,2524,13624
round_shots,100,700,100,100,100,100,100
round_queries,100,2100,2500,7900,28100,116100,2895500
round_k,1,12,39,140,580,2685,14477
round_shots,100,600,100,100,100,100,100,100
round_queries,100,1800,900,2700,8100,27900,117900,3016100
round_k,1,4,13,40,139,589,2765,15080
round_shots,100,500,100,200,100,100,100
round_queries,100,1500,900,5400,12700,47700,997900
round_k,1,4,13,63,238,1013,4989
round_shots,300,500,200,100,100,100
round_queries,300,1500,4200,9900,38100,778900
round_k,1,10,49,190,804,3894
round_shots,200,700,100,200,100,100,100
round_queries,200,2100,900,5400,12700,48500,1010900
round_k,1,4,13,63,242,1038,5054
round_shots,300,500,100,200,100,100,100
round_queries,300,1500,900,5400,13100,49900,1047300
round_k,1,4,13,65,249,1064,5236
round_shots,200,400,100,100,100,100,100
round_queries,200,1200,900,2900,9500,33100,673900
round_k,1,4,14,47,165,712,3369
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2500,7500,27100,111100,2786300
round_k,1,12,37,135,555,2576,13931
round_shots,100,500,100,200,100,100,100
round_queries,100,1500,900,5400,12900,47500,1008300
round_k,1,4,13,64,237,1030,5041
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,900,2700,8300,30900,598900
round_k,1,4,13,41,154,643,2994
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7700,26500,111300,2842300
round_k,1,11,38,132,556,2605,14211
round_shots,200,700,100,200,100,100,100
round_queries,200,2100,900,5800,13500,53500,1154100
round_k,1,4,14,67,267,1161,5770
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7500,27100,109700,2761900
round_k,1,11,37,135,548,2534,13809
round_shots,200,700,200,100,100,100
round_queries,200,2100,5000,11900,44500,949300
round_k,1,12,59,222,968,4746
round_shots,200,300,100,100,100,100,100
round_queries,200,900,900,2900,10300,39100,779700
round_k,1,4,14,51,195,814,3898
round_shots,200,400,200,100,100,100,100
round_queries,200,1200,3400,6900,25100,102300,2518700
round_k,1,8,34,125,511,2352,12593
round_shots,200,600,100,100,100,100,100
